bar,repeat,movement,onset
1,0,1,5.7792324259704575
2,0,1,13.543948979258438
3,0,2,19.54177210851014
4,0,2,23.381318593770917
5,0,2,27.169164398759573
6,0,2,31.45847052120855
7,0,2,35.04671541916774
8,0,2,38.85778117880493
9,0,2,43.06204421735369
10,0,2,46.91800793617452
11,0,2,50.959731292183584
12,0,2,54.74603514705886
13,0,2,58.62521882052826
14,0,2,62.57252040782986
15,0,2,66.52136394524483
16,0,2,70.56308730125389
17,0,2,74.3044931969455
18,0,3,78.80444784547157
19,0,3,84.15428911531286
20,0,3,89.57841609943985
21,0,3,95.81061564592508
22,0,4,101.63505102007476
23,0,4,105.34920975023346
24,0,4,109.20671541916774
25,0,4,113.15555895658268
26,0,4,117.08118253934916
27,0,4,120.67066099739904
28,0,4,124.64189606920552
29,0,4,128.37506009036957
30,0,4,132.27746371848744
31,0,4,136.08698752801126
32,0,4,139.98939115612916
33,0,5,146.23084240329473
34,0,5,146.5943969072219
35,0,5,147.49551360510878
36,0,5,148.57288321962122
37,0,5,149.62703287948517
38,0,5,150.86540022642396
39,0,5,151.96290589535818
40,0,5,153.01705555522213
41,0,5,154.16100113345342
42,0,5,155.16871088402038
43,0,5,156.29097845771648
44,0,5,157.43646598606122
45,0,5,158.48907369581173
46,0,5,159.61288321962132
47,0,5,160.6438129248367
48,0,5,161.76299659830613
49,0,5,162.81252040782988
50,0,5,163.90848412665076
51,0,5,165.00907369581174
52,0,5,166.04000340102723
53,0,5,167.11737301553967
54,0,5,168.16998072529023
55,0,5,169.3170102037483
33,1,5,170.5058537411632
34,1,5,170.83637269160053
35,1,5,171.79374489762586
36,1,5,172.8478945574898
37,1,5,173.87882426270517
38,1,5,175.09397165499544
39,1,5,176.26113718787522
40,1,5,177.29206689309072
41,1,5,178.50567233526752
42,1,5,179.53660204048302
43,1,5,180.7053095234762
44,1,5,181.75791723322675
45,1,5,182.9034047615714
46,1,5,184.00399433073238
47,1,5,185.03492403594782
48,1,5,186.13088775476862
49,1,5,187.1804115642925
50,1,5,188.2763752831134
51,1,5,189.35374489762583
52,1,5,190.3614546481927
53,1,5,191.4156043080567
54,1,5,192.51465192710427
55,1,5,193.59202154161682
56,0,5,194.80408503368022
57,0,5,195.14734459102428
58,0,5,196.04553628084574
59,0,5,197.07646598606124
60,0,5,198.13061564592516
61,0,5,199.22966326497283
62,0,5,200.2590510200748
63,0,5,201.3116587298254
64,0,5,202.3874863942245
65,0,5,203.53297392256908
66,0,5,204.65678344637868
67,0,5,205.70784920601582
68,0,5,206.8068968250635
69,0,5,207.76816666633331
70,0,5,209.00345011304535
71,0,5,210.0529739225691
72,0,5,211.19537755068703
73,0,5,212.17986734660548
74,0,5,213.28045691576645
75,0,5,214.28662471621988
56,1,5,215.70766780012016
57,1,5,216.09129462227756
58,1,5,216.94911904728568
59,1,5,217.98004875250112
60,1,5,218.94131859377097
61,1,5,220.06358616746704
62,1,5,221.09297392256917
63,1,5,222.16880158696821
64,1,5,223.26784920601588
65,1,5,224.39011677971195
66,1,5,225.58358616746708
67,1,5,226.61143197245576
68,1,5,227.68725963685492
69,1,5,228.6253095234762
70,1,5,229.90703287948523
71,1,5,230.97977664365757
72,1,5,232.09896031712694
73,1,5,233.12989002234235
74,1,5,240.03546825363492
75,1,5,245.68562698379364
