bar,repeat,movement,onset
1,0,1,5.763967120181428
2,0,1,13.52868367346941
3,0,2,19.526506802721112
4,0,2,23.366053287981888
5,0,2,27.153899092970548
6,0,2,31.44320521541952
7,0,2,35.03145011337871
8,0,2,38.8425158730159
9,0,2,43.04677891156466
10,0,2,46.90274263038549
11,0,2,50.944465986394555
12,0,2,54.73076984126984
13,0,2,58.60995351473923
14,0,2,62.557255102040834
15,0,2,66.5060986394558
16,0,2,70.54782199546487
17,0,2,74.28922789115649
18,0,3,78.78918253968254
19,0,3,84.13902380952383
20,0,3,89.56315079365083
21,0,3,95.79535034013605
22,0,4,101.61978571428573
23,0,4,105.33394444444443
24,0,4,109.1914501133787
25,0,4,113.14029365079365
26,0,4,117.06591723356013
27,0,4,120.65539569161001
28,0,4,124.62663076341649
29,0,4,128.35979478458054
30,0,4,132.2621984126984
31,0,4,136.0717222222222
32,0,4,139.97412585034013
33,0,5,146.21557709750567
34,0,5,146.57913160143286
35,0,5,147.48024829931973
36,0,5,148.5576179138322
37,0,5,149.6117675736961
38,0,5,150.8501349206349
39,0,5,151.94764058956915
40,0,5,153.00179024943307
41,0,5,154.14573582766437
42,0,5,155.15344557823133
43,0,5,156.27571315192742
44,0,5,157.4212006802722
45,0,5,158.4738083900227
46,0,5,159.59761791383227
47,0,5,160.62854761904765
48,0,5,161.7477312925171
49,0,5,162.79725510204082
50,0,5,163.8932188208617
51,0,5,164.99380839002268
52,0,5,166.0247380952382
53,0,5,167.1021077097506
54,0,5,168.15471541950117
55,0,5,169.30174489795925
33,1,5,170.49058843537418
34,1,5,170.82110738581147
35,1,5,171.7784795918368
36,1,5,172.83262925170078
37,1,5,173.86355895691614
38,1,5,175.07870634920639
39,1,5,176.2458718820862
40,1,5,177.2768015873017
41,1,5,178.4904070294785
42,1,5,179.52133673469396
43,1,5,180.69004421768716
44,1,5,181.74265192743772
45,1,5,182.88813945578238
46,1,5,183.98872902494335
47,1,5,185.0196587301588
48,1,5,186.1156224489796
49,1,5,187.16514625850346
50,1,5,188.26110997732434
51,1,5,189.33847959183677
52,1,5,190.34618934240368
53,1,5,191.40033900226763
54,1,5,192.49938662131524
55,1,5,193.5767562358278
56,0,5,194.7888197278912
57,0,5,195.13207928523522
58,0,5,196.03027097505668
59,0,5,197.06120068027218
60,0,5,198.11535034013613
61,0,5,199.2143979591838
62,0,5,200.24378571428574
63,0,5,201.29639342403635
64,0,5,202.37222108843548
65,0,5,203.51770861678003
66,0,5,204.64151814058965
67,0,5,205.69258390022677
68,0,5,206.79163151927443
69,0,5,207.75290136054426
70,0,5,208.9881848072563
71,0,5,210.03770861678007
72,0,5,211.180112244898
73,0,5,212.16460204081645
74,0,5,213.2651916099774
75,0,5,214.27135941043082
56,1,5,215.69240249433113
57,1,5,216.0760293164885
58,1,5,216.93385374149662
59,1,5,217.96478344671206
60,1,5,218.92605328798192
61,1,5,220.04832086167798
62,1,5,221.07770861678011
63,1,5,222.15353628117916
64,1,5,223.25258390022682
65,1,5,224.3748514739229
66,1,5,225.56832086167805
67,1,5,226.5961666666667
68,1,5,227.6719943310659
69,1,5,228.61004421768715
70,1,5,229.89176757369617
71,1,5,230.96451133786852
72,1,5,232.0836950113379
73,1,5,233.11462471655332
74,1,5,240.0202029478459
75,1,5,245.67036167800458
