bar,repeat,movement,onset
1,0,1,5.7758730158015315
2,0,1,13.540589569089512
3,0,2,19.53841269834121
4,0,2,23.37795918360199
5,0,2,27.165804988590647
6,0,2,31.455111111039624
7,0,2,35.04335600899881
8,0,2,38.85442176863601
9,0,2,43.05868480718476
10,0,2,46.91464852600559
11,0,2,50.95637188201466
12,0,2,54.74267573688994
13,0,2,58.621859410359335
14,0,2,62.56916099766094
15,0,2,66.5180045350759
16,0,2,70.55972789108498
17,0,2,74.30113378677659
18,0,3,78.80108843530265
19,0,3,84.15092970514394
20,0,3,89.57505668927094
21,0,3,95.80725623575616
22,0,4,101.63169160990583
23,0,4,105.34585034006453
24,0,4,109.20335600899881
25,0,4,113.15219954641375
26,0,4,117.07782312918023
27,0,4,120.66730158723011
28,0,4,124.63853665903659
29,0,4,128.37170068020063
30,0,4,132.27410430831853
31,0,4,136.08362811784235
32,0,4,139.98603174596025
33,0,5,146.2274829931258
34,0,5,146.59103749705298
35,0,5,147.49215419493984
36,0,5,148.5695238094523
37,0,5,149.62367346931623
38,0,5,150.86204081625502
39,0,5,151.95954648518926
40,0,5,153.0136961450532
41,0,5,154.15764172328448
42,0,5,155.16535147385144
43,0,5,156.28761904754754
44,0,5,157.4331065758923
45,0,5,158.4857142856428
46,0,5,159.60952380945238
47,0,5,160.64045351466777
48,0,5,161.75963718813722
49,0,5,162.80916099766094
50,0,5,163.90512471648182
51,0,5,165.00571428564282
52,0,5,166.03664399085832
53,0,5,167.11401360537073
54,0,5,168.1666213151213
55,0,5,169.31365079357937
33,1,5,170.5024943309943
34,1,5,170.8330132814316
35,1,5,171.79038548745692
36,1,5,172.8445351473209
37,1,5,173.87546485253625
38,1,5,175.0906122448265
39,1,5,176.2577777777063
40,1,5,177.2887074829218
41,1,5,178.5023129250986
42,1,5,179.53324263031408
43,1,5,180.70195011330728
44,1,5,181.75455782305784
45,1,5,182.9000453514025
46,1,5,184.00063492056347
47,1,5,185.0315646257789
48,1,5,186.1275283445997
49,1,5,187.17705215412357
50,1,5,188.27301587294446
51,1,5,189.3503854874569
52,1,5,190.3580952380238
53,1,5,191.41224489788775
54,1,5,192.51129251693536
55,1,5,193.5886621314479
56,0,5,194.8007256235113
57,0,5,195.14398518085534
58,0,5,196.0421768706768
59,0,5,197.0731065758923
60,0,5,198.12725623575625
61,0,5,199.22630385480392
62,0,5,200.25569160990585
63,0,5,201.30829931965647
64,0,5,202.3841269840556
65,0,5,203.52961451240014
66,0,5,204.65342403620977
67,0,5,205.70448979584688
68,0,5,206.80353741489455
69,0,5,207.76480725616437
70,0,5,209.0000907028764
71,0,5,210.04961451240018
72,0,5,211.19201814051812
73,0,5,212.17650793643656
74,0,5,213.2770975055975
75,0,5,214.28326530605094
56,1,5,215.70430838995125
57,1,5,216.08793521210862
58,1,5,216.94575963711674
59,1,5,217.97668934233218
60,1,5,218.93795918360203
61,1,5,220.0602267572981
62,1,5,221.08961451240023
63,1,5,222.1654421767993
64,1,5,223.26448979584694
65,1,5,224.386757369543
66,1,5,225.58022675729816
67,1,5,226.60807256228682
68,1,5,227.683900226686
69,1,5,228.62195011330726
70,1,5,229.9036734693163
71,1,5,230.97641723348863
72,1,5,232.09560090695803
73,1,5,233.12653061217344
74,1,5,240.032108843466
75,1,5,245.6822675736247
