bar,repeat,movement,onset
1,0,1,0.20037315792974142
2,0,1,5.573434382419538
3,0,2,11.385497874483027
4,0,2,14.574885629585067
5,0,2,17.642912840469428
6,0,2,20.888855179309726
7,0,2,23.871847080832246
8,0,2,27.009534155662173
9,0,2,30.09923937108167
10,0,2,33.14250467720411
11,0,2,36.27864980192068
12,0,2,39.43801488128575
13,0,2,42.52772009670526
14,0,2,45.778423044551054
15,0,2,48.96100807856466
16,0,2,52.166813067226784
17,0,2,55.25806023275968
18,0,3,60.24563392890478
19,0,3,65.42513506269167
20,0,3,71.2285817747098
21,0,3,76.25334367947171
22,0,4,81.38582440509526
23,0,4,84.49162032346264
24,0,4,87.35066794251023
25,0,4,90.39393324863268
26,0,4,93.2282189629184
27,0,4,96.38901821595294
28,0,4,98.92309424636511
29,0,4,101.82858177470978
30,0,4,104.82540717153516
31,0,4,107.59003302187534
32,0,4,110.47190591517678
33,0,5,115.24935274976649
34,0,5,115.72833122640301
35,0,5,116.6533436794717
36,0,5,117.66105343003859
37,0,5,118.59910331665994
38,0,5,119.69815093570752
39,0,5,120.79565660464176
40,0,5,121.87302621915421
41,0,5,122.97053188808847
42,0,5,123.95502168400682
43,0,5,124.96118948446035
44,0,5,126.03701714885953
45,0,5,127.04318494931297
46,0,5,127.98123483593436
47,0,5,129.75520308990258
48,0,5,129.99973175851287
49,0,5,131.0183323416032
50,0,5,131.85887655929034
51,0,5,132.95946612845134
52,0,5,133.92073596972122
53,0,5,134.88200581099102
54,0,5,135.88817361144459
55,0,5,136.9423232713085
33,1,5,137.9454071715353
34,1,5,138.25289655226402
35,1,5,139.0243187361611
36,1,5,140.1481282599706
37,1,5,141.0629581919434
38,1,5,142.18522576563956
39,1,5,143.1434117066827
40,1,5,144.12790150260102
41,1,5,145.2254071715352
42,1,5,146.23311692210217
43,1,5,147.2857246318527
44,1,5,148.22223256836068
45,1,5,149.25162032346267
46,1,5,150.23611011938107
47,1,5,151.15094005135387
48,1,5,152.1772439062292
49,1,5,153.1106679425103
50,1,5,154.06731193344004
51,1,5,155.02858177470983
52,1,5,155.96663166133123
53,1,5,156.95112145724954
54,1,5,157.91084934840597
55,1,5,159.12753869080964
56,0,5,160.06096272709075
57,0,5,160.3585798310752
58,0,5,161.23275411031082
59,0,5,162.21724390622916
60,0,5,163.15529379285042
61,0,5,164.23112145724957
62,0,5,165.26050921235154
63,0,5,166.26667701280513
64,0,5,167.29606476790713
65,0,5,168.2790126137121
66,0,5,169.28672236427903
67,0,5,170.31456816926763
68,0,5,171.3207359697212
69,0,5,172.30522576563953
70,0,5,173.33152962051486
71,0,5,174.31139356609313
72,0,5,175.26803755702275
73,0,5,176.29896726223822
74,0,5,177.3066770128051
75,0,5,178.3360647679071
56,1,5,179.432028486728
57,1,5,179.51659922641622
58,1,5,180.41806023275964
59,1,5,181.3561101193811
60,1,5,182.24772009670536
61,1,5,183.36998767040146
62,1,5,184.37615547085497
63,1,5,185.38232327130848
64,1,5,186.45815093570764
65,1,5,187.44109878151255
66,1,5,188.4488085320795
67,1,5,189.45343438241963
68,1,5,190.5060420921702
69,1,5,191.39765206949448
70,1,5,192.33107610577565
71,1,5,193.24128018740817
72,1,5,194.17470422368942
73,1,5,195.13597406495927
74,1,5,199.6266770128051
75,1,5,204.6266770128051
