bar,repeat,movement,onset
1,0,1,0.5594271775105298
2,0,1,5.537749172975382
3,0,2,11.31266073760123
4,0,2,14.585640329437965
5,0,2,17.6304475856738
6,0,2,20.898946451886946
7,0,2,23.882601780685135
8,0,2,26.997068900866545
9,0,2,30.08677411628604
10,0,2,33.13003942240848
11,0,2,36.24296459247651
12,0,2,39.47198953578718
13,0,2,42.492034887261106
14,0,2,45.78917774440395
15,0,2,48.94854282376903
16,0,2,52.15434781243116
17,0,2,55.24559497796405
18,0,3,60.372488402000315
19,0,3,65.46691017070782
20,0,3,71.40187615710236
21,0,3,76.21765847002756
22,0,4,81.49874690540167
23,0,4,84.50237502331555
24,0,4,87.36142264236315
25,0,4,90.35824803918854
26,0,4,93.2389736627713
27,0,4,96.10910863739608
28,0,4,99.07316867410916
29,0,4,101.81611651991416
30,0,4,104.81294191673953
31,0,4,107.57756776707971
32,0,4,110.45829339066243
33,0,5,115.39942717751056
34,0,5,115.69433138073771
35,0,5,116.66164939973275
36,0,5,117.64858817524296
37,0,5,118.60985801651283
38,0,5,119.70890563556041
39,0,5,120.80641130449467
40,0,5,121.83734100971006
41,0,5,122.93484667864432
42,0,5,123.9425564292112
43,0,5,124.94872422966473
44,0,5,126.00133193941535
45,0,5,127.00749973986883
46,0,5,127.99198953578725
47,0,5,129.13901901424526
48,0,5,129.9795632319324
49,0,5,131.0058670868076
50,0,5,132.00895098703435
51,0,5,132.92378091900716
52,0,5,133.93149066957406
53,0,5,134.8927605108439
54,0,5,135.89892831129745
55,0,5,136.90663806186433
33,1,5,137.9561618713882
34,1,5,138.26338021077862
35,1,5,139.01185348136545
36,1,5,140.11244305052642
37,1,5,141.09693284644482
38,1,5,142.1495405561954
39,1,5,143.15416640653558
40,1,5,144.13865620245392
41,1,5,145.21294191673957
42,1,5,146.197431712658
43,1,5,147.27325937705706
44,1,5,148.20976731356504
45,1,5,149.07378298043773
46,1,5,150.22364486458542
47,1,5,151.11525484190972
48,1,5,152.16477865143352
49,1,5,153.12142264236314
50,1,5,154.0780666332929
51,1,5,155.0161165199142
52,1,5,155.90772649723854
53,1,5,156.96187615710244
54,1,5,157.92160404825884
55,1,5,159.115073436014
56,0,5,160.07171742694365
57,0,5,160.30006577529196
58,0,5,161.22028885551515
59,0,5,162.4834181072158
60,0,5,163.14282853805477
61,0,5,164.19543624780536
62,0,5,165.44460732364305
63,0,5,166.2542117580095
64,0,5,167.28359951311145
65,0,5,168.28976731356502
66,0,5,169.36713692807746
67,0,5,170.32532286912055
68,0,5,171.30827071492556
69,0,5,172.2927605108439
70,0,5,173.3190643657192
71,0,5,174.29892831129746
72,0,5,175.2787922568756
73,0,5,176.28650200744258
74,0,5,177.29421175800945
75,0,5,178.34681946775996
56,1,5,179.18736368544708
57,1,5,179.50218595238195
58,1,5,180.4288149326126
59,1,5,181.34364486458546
60,1,5,182.3513546151523
61,1,5,183.3575224156058
62,1,5,184.36369021605933
63,1,5,185.36985801651284
64,1,5,186.4689056355605
65,1,5,187.4286335267169
66,1,5,188.43634327728387
67,1,5,189.440969127624
68,1,5,190.49357683737455
69,1,5,191.5895511030497
70,1,5,192.2953908963315
71,1,5,193.22881493261252
72,1,5,194.16223896889377
73,1,5,195.12350881016363
74,1,5,199.93929112308882
75,1,5,204.8696312591432
