bar,repeat,movement,onset
1,0,1,0.57227834467122
2,0,1,5.550600340136072
3,0,2,11.32551190476192
4,0,2,14.598491496598655
5,0,2,17.64329875283449
6,0,2,20.911797619047636
7,0,2,23.895452947845826
8,0,2,27.009920068027235
9,0,2,30.09962528344673
10,0,2,33.14289058956917
11,0,2,36.2558157596372
12,0,2,39.48484070294787
13,0,2,42.504886054421796
14,0,2,45.80202891156464
15,0,2,48.96139399092972
16,0,2,52.16719897959185
17,0,2,55.25844614512474
18,0,3,60.385339569161005
19,0,3,65.47976133786851
20,0,3,71.41472732426304
21,0,3,76.23050963718823
22,0,4,81.51159807256235
23,0,4,84.51522619047623
24,0,4,87.37427380952383
25,0,4,90.37109920634921
26,0,4,93.25182482993198
27,0,4,96.12195980455675
28,0,4,99.08601984126983
29,0,4,101.82896768707484
30,0,4,104.82579308390022
31,0,4,107.5904189342404
32,0,4,110.47114455782312
33,0,5,115.41227834467124
34,0,5,115.7071825478984
35,0,5,116.67450056689343
36,0,5,117.66143934240365
37,0,5,118.62270918367352
38,0,5,119.72175680272109
39,0,5,120.81926247165535
40,0,5,121.85019217687073
41,0,5,122.947697845805
42,0,5,123.95540759637188
43,0,5,124.96157539682541
44,0,5,126.01418310657604
45,0,5,127.02035090702951
46,0,5,128.00484070294794
47,0,5,129.15187018140597
48,0,5,129.99241439909306
49,0,5,131.01871825396827
50,0,5,132.02180215419506
51,0,5,132.93663208616786
52,0,5,133.94434183673476
53,0,5,134.90561167800462
54,0,5,135.91177947845816
55,0,5,136.91948922902503
33,1,5,137.96901303854887
34,1,5,138.27623137793933
35,1,5,139.02470464852615
36,1,5,140.12529421768713
37,1,5,141.1097840136055
38,1,5,142.16239172335608
39,1,5,143.16701757369626
40,1,5,144.15150736961462
41,1,5,145.22579308390027
42,1,5,146.2102828798187
43,1,5,147.28611054421776
44,1,5,148.22261848072574
45,1,5,149.08663414759843
46,1,5,150.23649603174613
47,1,5,151.12810600907042
48,1,5,152.17762981859423
49,1,5,153.13427380952385
50,1,5,154.0909178004536
51,1,5,155.02896768707487
52,1,5,155.92057766439922
53,1,5,156.97472732426314
54,1,5,157.93445521541952
55,1,5,159.1279246031747
56,0,5,160.08456859410435
57,0,5,160.31291694245266
58,0,5,161.23314002267585
59,0,5,162.49626927437652
60,0,5,163.15567970521548
61,0,5,164.20828741496607
62,0,5,165.45745849080376
63,0,5,166.26706292517017
64,0,5,167.29645068027216
65,0,5,168.3026184807257
66,0,5,169.37998809523816
67,0,5,170.33817403628123
68,0,5,171.32112188208623
69,0,5,172.3056116780046
70,0,5,173.33191553287992
71,0,5,174.31177947845816
72,0,5,175.2916434240363
73,0,5,176.29935317460328
74,0,5,177.30706292517016
75,0,5,178.35967063492066
56,1,5,179.2002148526078
57,1,5,179.51503711954265
58,1,5,180.44166609977327
59,1,5,181.35649603174616
60,1,5,182.36420578231298
61,1,5,183.37037358276652
62,1,5,184.37654138322003
63,1,5,185.3827091836735
64,1,5,186.4817568027212
65,1,5,187.4414846938776
66,1,5,188.44919444444454
67,1,5,189.45382029478466
68,1,5,190.50642800453522
69,1,5,191.6024022702104
70,1,5,192.30824206349217
71,1,5,193.24166609977323
72,1,5,194.17509013605448
73,1,5,195.13635997732433
74,1,5,199.95214229024953
75,1,5,204.8824824263039
