bar,repeat,movement,onset
1,0,1,0.5668687645056721
2,0,1,5.545190759970525
3,0,2,11.320102324596371
4,0,2,14.593081916433109
5,0,2,17.637889172668938
6,0,2,20.90638803888209
7,0,2,23.890043367680274
8,0,2,27.004510487861683
9,0,2,30.094215703281183
10,0,2,33.13748100940363
11,0,2,36.25040617947166
12,0,2,39.47943112278233
13,0,2,42.499476474256255
14,0,2,45.79661933139909
15,0,2,48.955984410764174
16,0,2,52.161789399426304
17,0,2,55.253036564959196
18,0,3,60.379929988995464
19,0,3,65.47435175770296
20,0,3,71.40931774409749
21,0,3,76.22510005702269
22,0,4,81.5061884923968
23,0,4,84.50981661031068
24,0,4,87.36886422935828
25,0,4,90.36568962618367
26,0,4,93.24641524976643
27,0,4,96.1165502243912
28,0,4,99.08061026110428
29,0,4,101.82355810690929
30,0,4,104.82038350373467
31,0,4,107.58500935407486
32,0,4,110.46573497765758
33,0,5,115.40686876450569
34,0,5,115.70177296773285
35,0,5,116.66909098672788
36,0,5,117.6560297622381
37,0,5,118.61729960350797
38,0,5,119.71634722255554
39,0,5,120.8138528914898
40,0,5,121.84478259670519
41,0,5,122.94228826563945
42,0,5,123.94999801620632
43,0,5,124.95616581665986
44,0,5,126.00877352641048
45,0,5,127.01494132686396
46,0,5,127.9994311227824
47,0,5,129.14646060124042
48,0,5,129.98700481892752
49,0,5,131.01330867380273
50,0,5,132.0163925740295
51,0,5,132.9312225060023
52,0,5,133.93893225656922
53,0,5,134.90020209783907
54,0,5,135.9063698982926
55,0,5,136.91407964885948
33,1,5,137.96360345838332
34,1,5,138.27082179777378
35,1,5,139.0192950683606
36,1,5,140.11988463752158
37,1,5,141.10437443343994
38,1,5,142.15698214319053
39,1,5,143.1616079935307
40,1,5,144.14609778944907
41,1,5,145.22038350373472
42,1,5,146.20487329965314
43,1,5,147.2807009640522
44,1,5,148.2172089005602
45,1,5,149.08122456743288
46,1,5,150.23108645158058
47,1,5,151.12269642890487
48,1,5,152.17222023842868
49,1,5,153.1288642293583
50,1,5,154.08550822028806
51,1,5,155.02355810690932
52,1,5,155.91516808423367
53,1,5,156.9693177440976
54,1,5,157.92904563525397
55,1,5,159.12251502300916
56,0,5,160.0791590139388
57,0,5,160.3075073622871
58,0,5,161.2277304425103
59,0,5,162.49085969421097
60,0,5,163.15027012504993
61,0,5,164.20287783480052
62,0,5,165.4520489106382
63,0,5,166.26165334500462
64,0,5,167.2910411001066
65,0,5,168.29720890056015
66,0,5,169.3745785150726
67,0,5,170.33276445611568
68,0,5,171.31571230192068
69,0,5,172.30020209783905
70,0,5,173.32650595271437
71,0,5,174.30636989829262
72,0,5,175.28623384387075
73,0,5,176.29394359443774
74,0,5,177.3016533450046
75,0,5,178.3542610547551
56,1,5,179.19480527244224
57,1,5,179.5096275393771
58,1,5,180.43625651960772
59,1,5,181.3510864515806
60,1,5,182.35879620214743
61,1,5,183.36496400260097
62,1,5,184.37113180305448
63,1,5,185.37729960350796
64,1,5,186.47634722255566
65,1,5,187.43607511371206
66,1,5,188.443784864279
67,1,5,189.44841071461911
68,1,5,190.50101842436968
69,1,5,191.59699269004486
70,1,5,192.30283248332663
71,1,5,193.23625651960768
72,1,5,194.16968055588893
73,1,5,195.13095039715876
74,1,5,199.94673271008398
75,1,5,204.87707284613836
