bar,repeat,movement,onset
1,0,1,1.2516809098639463
2,0,1,9.086057327097505
3,0,2,17.26655619331066
4,0,2,20.78102331349206
5,0,2,24.267009708049887
6,0,2,28.21585324546486
7,0,2,31.77304145408164
8,0,2,35.25902784863948
9,0,2,39.184651431405904
10,0,2,43.20315483276645
11,0,2,47.05911855158732
12,0,2,50.636442814625866
13,0,2,54.42274666950115
14,0,2,58.11462875566893
15,0,2,61.715172973356
16,0,2,65.91943601190476
17,0,2,69.56796208900228
18,0,3,75.11281469671201
19,0,3,83.01685097789117
20,0,3,90.76297342687076
21,0,3,98.84152217970585
22,0,4,107.2453317035148
23,0,4,110.71335891439911
24,0,4,114.01358567176871
25,0,4,118.00886911848077
26,0,4,121.6094133361678
27,0,4,126.30129542233558
28,0,4,129.67272399376418
29,0,4,133.22837025226758
30,0,4,137.13077388038548
31,0,4,140.89385778061228
32,0,4,145.16778068310657
33,0,5,151.15381242913836
34,0,5,151.56326154211683
35,0,5,152.2559439484127
36,0,5,153.147553925737
37,0,5,153.9695040391157
38,0,5,154.97567183956917
39,0,5,155.98029768990932
40,0,5,157.0112273951247
41,0,5,158.10873306405895
42,0,5,158.9771230867347
43,0,5,160.02973079648527
44,0,5,160.98945868764173
45,0,5,162.1581661706349
46,0,5,163.00333623866211
47,0,5,163.84850630668942
48,0,5,165.22310948129248
49,0,5,166.29585324546488
50,0,5,167.5079167375284
51,0,5,168.39952671485264
52,0,5,169.29113669217685
53,0,5,170.15952671485266
54,0,5,171.0495947420635
55,0,5,171.94120471938768
33,1,5,172.967508574263
34,1,5,173.41430333895255
35,1,5,174.13929995748296
36,1,5,175.0541298894558
37,1,5,175.89929995748298
38,1,5,176.83580789399096
39,1,5,177.79399383503403
40,1,5,178.80170358560085
41,1,5,179.87598929988664
42,1,5,180.90691900510205
43,1,5,181.94903308150177
44,1,5,182.9656945153061
45,1,5,184.1111820436508
46,1,5,185.0724518849206
47,1,5,185.91762195294777
48,1,5,187.22256526360545
49,1,5,188.45784871031748
50,1,5,189.73957206632647
51,1,5,190.9098214994331
52,1,5,191.75499156746034
53,1,5,192.64660154478455
54,1,5,193.513449617347
55,1,5,194.47471945861673
56,0,5,195.64034304138323
57,0,5,195.9375418113022
58,0,5,196.69603465136055
59,0,5,197.60524100056688
60,0,5,198.47925460600908
61,0,5,199.5086423611111
62,0,5,200.4683702522676
63,0,5,201.49775800736958
64,0,5,202.52714576247172
65,0,5,203.51009360827663
66,0,5,204.47136344954643
67,0,5,205.40632943594107
68,0,5,206.4821571003401
69,0,5,207.35196017946654
70,0,5,208.7483702522675
71,0,5,210.2622931547619
72,0,5,211.7297761479592
73,0,5,212.57494621598636
74,0,5,213.48977614795913
75,0,5,214.51916390306124
56,1,5,215.45258793934244
57,1,5,215.515588162906
58,1,5,216.5547194586168
59,1,5,217.4695493905895
60,1,5,218.36115936791387
61,1,5,219.46020698696148
62,1,5,220.48959474206345
63,1,5,221.5189824971655
64,1,5,222.61803011621308
65,1,5,223.6009779620182
66,1,5,224.53902784863945
67,1,5,225.47399383503404
68,1,5,226.50338159013603
69,1,5,227.34855165816322
70,1,5,228.8624745606576
71,1,5,230.3531775085034
72,1,5,232.26183964002269
73,1,5,233.4553090277778
74,1,5,234.46301877834463
75,1,5,239.8809779620182
