bar,repeat,movement,onset
1,0,1,0.44921797035486194
2,0,1,1.2882202379285586
3,0,1,7.3872678569761785
4,0,1,13.091576246998851
5,0,1,19.589988945411555
6,0,1,26.08994359393763
7,0,1,32.379376700513596
8,0,1,38.36849234677209
9,0,1,44.50001162114852
10,0,1,50.29392291366552
11,0,1,56.34200708600112
12,0,1,62.732761054255086
13,0,1,68.69484155312132
14,0,1,75.33719982976531
15,0,2,80.26908191593309
16,0,2,81.73810685924374
17,0,2,83.10336763021881
18,0,2,84.5259526642324
19,0,2,86.0011454079966
20,0,2,87.54291411547958
21,0,2,89.18218849189681
22,0,2,90.51497760754309
23,0,2,91.99017035130726
24,0,2,93.36939937625057
25,0,2,94.74862840119387
26,0,2,96.12785742613717
27,0,2,97.53030640572902
28,0,2,99.07361706332534
29,0,2,100.6355218252301
30,0,2,102.60450141706686
31,0,2,103.49302749416435
32,0,2,105.06110005652263
33,0,2,106.46354903611446
34,0,2,107.91706377534351
35,0,2,109.34273270958387
36,0,2,110.79470549869951
37,0,2,112.24359438758839
38,0,2,113.69248327647726
39,0,2,115.04849234677208
40,0,2,116.38128146241834
41,0,2,117.76205243747502
42,0,2,119.14436536264508
43,0,2,120.66291411547957
44,0,2,122.09012499983326
45,0,2,123.4956578796519
46,0,2,124.94454676854075
47,0,2,126.6133800859053
48,0,2,127.98472817443646
49,0,2,129.3887191041417
50,0,2,130.8159299884954
51,0,2,132.29112273225957
52,0,2,133.79107738078568
53,0,2,135.70744926287188
54,0,2,137.03715447829137
55,0,2,138.4256352039149
56,0,2,139.9178801018741
57,0,2,141.41629280028684
58,0,2,142.91162159847275
59,0,2,144.4796941608311
60,0,2,145.88214314042284
61,0,2,147.3557939340737
62,0,2,148.75824291366547
63,0,2,150.2071318025544
64,0,2,151.60958078214622
65,0,2,152.9806569078346
66,0,2,154.49184835584248
67,0,2,155.91751729008283
68,0,2,157.3896261336202
69,0,2,159.34935402477672
70,0,3,162.3725739794252
71,0,3,163.610941326364
72,0,3,164.64341298169276
73,0,3,166.0721658161599
74,0,3,167.1913494896293
75,0,3,168.3646828229626
76,0,3,169.71606604291728
77,0,3,170.88477352591045
78,0,3,171.91724518123925
79,0,3,173.28299833964542
80,0,3,174.14010232409643
81,0,3,175.24069189325738
70,1,3,176.54409325380158
71,1,3,177.6431408728493
72,1,3,178.65239257352954
73,1,3,179.9418256801055
74,1,3,181.22354903611458
75,1,3,182.47035175720296
76,1,3,183.49284608826872
77,1,3,184.59189370731636
78,1,3,185.6011454079966
79,1,3,186.89088280833303
80,1,3,187.75434268690813
81,1,3,188.8317123014206
82,0,3,190.1118937073163
83,0,3,191.21094132636398
84,0,3,192.31307284563837
85,0,3,193.38890051003744
86,0,3,194.5313041381554
87,0,3,195.67679166649998
88,0,3,196.77583928554768
89,0,3,197.85475085017353
90,0,3,198.93343565742973
91,0,3,199.98627012454995
92,0,3,201.24477352591046
93,0,3,202.50481887738445
94,0,3,203.87942205198763
95,0,3,204.9768370179739
96,0,3,206.0604651358878
97,0,3,207.16259665516216
70,2,3,208.26627012454983
71,2,3,209.45819756219166
72,2,3,210.53710912681746
73,2,3,212.60212957069058
74,2,3,213.20114540799668
75,2,3,214.3972800669884
76,2,3,215.74908191593317
77,2,3,216.98744926287193
78,2,3,218.08958078214624
79,2,3,219.37552110536552
80,2,3,221.17157624699888
81,2,3,226.66073724473128
