bar,repeat,movement,onset
1,0,1,0.5554710887687279
2,0,1,1.5802329935306325
3,0,1,9.583316893757392
4,0,1,17.377421202147413
5,0,1,25.152931406229044
6,0,1,32.860323696478474
7,0,1,41.077013038882114
8,0,1,49.06304478491385
9,0,1,56.402001701013624
10,0,1,65.57467049642294
11,0,1,72.28426927470977
12,0,1,80.66740222857159
13,0,1,88.42195634953968
14,0,1,95.71447335634241
15,0,2,102.3181921772041
16,0,2,103.94975680305446
17,0,2,105.26857766473245
18,0,2,106.7376026080431
19,0,2,108.30567517040137
20,0,2,109.78203650563314
21,0,2,111.20807879851931
22,0,2,112.6569676874082
23,0,2,114.22504024976648
24,0,2,115.79002891189798
25,0,2,117.0995980728957
26,0,2,118.45560714319052
27,0,2,119.9044960320794
28,0,2,121.16916723389348
29,0,2,122.8239518143923
30,0,2,124.04454138355335
31,0,2,125.49569784613838
32,0,2,127.0173304991996
33,0,2,128.4662193880885
34,0,2,129.94000623616108
35,0,2,131.27574319761223
36,0,2,132.84381575997057
37,0,2,134.40880442210207
38,0,2,135.7183735830998
39,0,2,137.00472278944903
40,0,2,138.5978664711641
41,0,2,139.87463135502574
42,0,2,141.30957539715877
43,0,2,142.6191445581565
44,0,2,144.11601530645578
45,0,2,145.4751082769774
46,0,2,146.83111734727214
47,0,2,148.28027392047053
48,0,2,149.81254591870072
49,0,2,151.04309013638783
50,0,2,152.65606065792971
51,0,2,154.03934108121015
52,0,2,155.44544841303173
53,0,2,156.96708106609302
54,0,2,158.59864569194335
55,0,2,160.01034637221542
56,0,2,161.45615136087758
57,0,2,163.14032369647853
58,0,2,164.70531235861
59,0,2,166.25299303771925
60,0,2,167.81515362845127
61,0,2,169.35846428604768
62,0,2,170.9931128121247
63,0,2,172.32590192777099
64,0,2,173.63547108876878
65,0,2,174.93686049301527
66,0,2,176.4248588438707
67,0,2,178.0309359413764
68,0,2,179.34585657629705
69,0,2,181.35202437675056
70,0,3,189.0656751704014
71,0,3,190.72200170101354
72,0,3,192.10277267607026
73,0,3,193.6757151228903
74,0,3,194.95256859443762
75,0,3,196.45098129285032
76,0,3,197.66304478491384
77,0,3,199.24971145158042
78,0,3,200.70014229058273
79,0,3,202.41594823737464
80,0,3,203.38739852641038
81,0,3,204.78984750600227
70,1,3,206.04680895724945
71,1,3,207.95855498899542
72,1,3,209.38576587334913
73,1,3,211.023498299653
74,1,3,212.14268197312248
75,1,3,213.85007426337185
76,1,3,214.94603798219273
77,1,3,216.5791445581564
78,1,3,218.07601530645582
79,1,3,219.4173100590986
80,1,3,220.69361167833782
81,1,3,222.24951946367423
82,0,3,223.6548815196076
83,0,3,225.2647681409229
84,0,3,226.71775629914913
85,0,3,228.13932596405223
86,0,3,229.63002891189788
87,0,3,231.21669557856464
88,0,3,232.68726247198862
89,0,3,234.04481349239674
90,0,3,235.42712641756694
91,0,3,236.84971145158045
92,0,3,238.4100742633719
93,0,3,239.902319161331
94,0,3,241.3465821998798
95,0,3,242.7753350343469
96,0,3,244.2010039685872
97,0,3,245.581774943644
70,2,3,246.8944280048685
71,2,3,248.36499489829248
72,2,3,249.8154257372948
73,2,3,252.03365702981182
74,2,3,252.5955617917165
75,2,3,253.93161156205204
76,2,3,255.32925793684126
77,2,3,256.86948469421094
78,2,3,258.3431354878617
79,2,3,260.0248115761374
80,2,3,261.00717176904084
81,2,3,262.4560606579297
82,1,3,264.03810147425634
83,1,3,265.5783282316258
84,1,3,267.00553911597956
85,1,3,268.3832261908096
86,1,3,269.82748922935826
87,1,3,271.41415589602497
88,1,3,272.9079427440975
89,1,3,274.1958339005601
90,1,3,275.6478066896758
91,1,3,277.13420124749894
92,1,3,278.7236343540748
93,1,3,280.19265929738555
94,1,3,281.5672624719886
95,1,3,283.1121150796984
96,1,3,284.53778401393873
97,1,3,285.9649948982925
70,3,3,287.30086791416556
71,3,3,288.6088951250499
72,3,3,290.1289858279977
73,3,3,291.3023191613311
74,3,3,292.7930221091769
75,3,3,294.12889512504995
76,3,3,295.45705839035594
77,3,3,296.9972851477257
78,3,3,298.40127607743085
79,3,3,300.8223191613311
80,3,3,308.0312987531678
81,3,3,314.1706184810589
