bar,repeat,movement,onset
1,0,1,0.582647132159056
2,0,1,1.6074090369209606
3,0,1,9.656932846444771
4,0,1,17.404597245537744
5,0,1,25.15688749497085
6,0,1,32.93393964916585
7,0,1,41.08096912762391
8,0,1,49.06700087365565
9,0,1,56.429177744403944
10,0,1,64.63652649723842
11,0,1,72.33466527274862
12,0,1,79.38437873389066
13,0,1,88.40269248363298
14,0,1,95.74164939973274
15,0,2,102.41502808454001
16,0,2,103.95371289179626
17,0,2,105.27253375347426
18,0,2,106.76477865143343
19,0,2,108.30963125914317
20,0,2,109.78598765536023
21,0,2,111.23525484190964
22,0,2,112.68414373079852
23,0,2,114.20577638385976
24,0,2,115.79398500063978
25,0,2,117.12677411628607
26,0,2,118.36668341333818
27,0,2,119.5843107569586
28,0,2,121.17312332263528
29,0,2,122.8279079031341
30,0,2,124.05384894621807
31,0,2,125.52287388952871
32,0,2,127.04450654258994
33,0,2,128.51661538612734
34,0,2,129.9469101707079
35,0,2,131.3029192410026
36,0,2,132.84777184871237
37,0,2,134.43598046549238
38,0,2,135.74554962649012
39,0,2,136.98545892354232
40,0,2,138.27683846635037
41,0,2,139.88477865143344
42,0,2,141.31865381553413
43,0,2,142.57666073760126
44,0,2,144.14319134984615
45,0,2,145.45584441107067
46,0,2,146.8118534813654
47,0,2,148.07527593561844
48,0,2,149.71271515936996
49,0,2,151.1167060890752
50,0,2,152.63679679202303
51,0,2,154.06554962649014
52,0,2,155.43621134572328
53,0,2,156.97103715483485
54,0,2,158.62582173533372
55,0,2,159.92142264236315
56,0,2,161.50654735891644
57,0,2,163.14427978522033
58,0,2,164.7092684473518
59,0,2,166.2569471679628
60,0,2,167.8423296718416
61,0,2,169.36242037478948
62,0,2,171.0435088101636
63,0,2,172.35307797116135
64,0,2,173.63942717751058
65,0,2,174.9257763838597
66,0,2,176.3823750233155
67,0,2,178.0402435040411
68,0,2,179.34981266503885
69,0,2,183.32207207546972
70,0,3,187.21203488726104
71,0,3,190.74917774440388
72,0,3,192.10672876481206
73,0,3,193.67966831461572
74,0,3,194.9576248221598
75,0,3,196.57103715483473
76,0,3,197.85276051084384
77,0,3,199.25366754032223
78,0,3,200.68087842467605
79,0,3,202.41588728882775
80,0,3,203.41457456980072
81,0,3,204.88668341333818
70,1,3,206.4919441843132
71,1,3,207.96251107773722
72,1,3,209.43616187138804
73,1,3,211.0274543883948
74,1,3,212.28595778975537
75,1,3,213.85403035211365
76,1,3,215.08931379882569
77,1,3,216.60632060154674
78,1,3,218.05675144054908
79,1,3,219.71887401727926
80,1,3,220.72078772172813
81,1,3,222.33221629315682
82,0,3,223.82137729088913
83,0,3,225.2687242296647
84,0,3,226.74237502331545
85,0,3,228.1665020074425
86,0,3,229.75008477388238
87,0,3,231.26709157660346
88,0,3,232.71443851537896
89,0,3,234.02554962649
90,0,3,235.43108250630874
91,0,3,236.87688749497082
92,0,3,238.46047026141073
93,0,3,239.9294952047213
94,0,3,241.46663806186427
95,0,3,242.80251107773722
96,0,3,244.204960057329
97,0,3,245.60895098703432
70,2,3,246.92160404825884
71,2,3,248.39217094168282
72,2,3,249.77294191673954
73,2,3,251.31127786650407
74,2,3,252.62273783510685
75,2,3,254.05166775628172
76,2,3,255.44931379882567
77,2,3,256.87344078295274
78,2,3,258.323871621955
79,2,3,259.9610339154438
80,2,3,261.0343478124312
81,2,3,262.5993364745626
82,1,3,264.1349373815921
83,1,3,265.58228432036753
84,1,3,267.00949520472136
85,1,3,268.41040223419986
86,1,3,269.9939850006397
87,1,3,271.46455189406373
88,1,3,272.9351187874878
89,1,3,274.26944985324747
90,1,3,275.65176277841755
91,1,3,277.1440076763766
92,1,3,278.75081039746516
93,1,3,280.21983534077583
94,1,3,281.78019815256715
95,1,3,283.1392911230887
96,1,3,284.5649600573291
97,1,3,285.9689509870343
70,3,3,287.3048240029073
71,3,3,288.6360711684402
72,3,3,289.97040223419987
73,3,3,291.2830552954243
74,3,3,292.82019815256723
75,3,3,294.31861085097984
76,3,3,295.62355416163746
77,3,3,297.02446119111596
78,3,3,298.40523216617265
79,3,3,301.5693137988257
80,3,3,308.15135461515223
81,3,3,314.15135461515223
