bar,repeat,movement,onset
1,0,1,0.8932717545350826
2,0,1,2.127013251133722
3,0,1,9.13163910147386
4,0,1,14.905607355442113
5,0,1,21.566559736394495
6,0,1,28.50769352324257
7,0,1,35.3079656320861
8,0,1,42.156219600340066
9,0,1,48.54315837585027
10,0,1,56.83620776952079
11,0,1,63.009008715986326
12,0,1,69.57862322845799
13,0,1,77.54451892006796
14,0,1,84.95313570011334
15,0,2,89.9546776502267
16,0,2,91.86488173185938
17,0,2,93.25336245748292
18,0,2,95.00102685657592
19,0,2,96.56909941893417
20,0,2,98.15730803571427
21,0,2,99.6572626842403
22,0,2,101.15259148242625
23,0,2,102.7903239087301
24,0,2,104.47141234410427
25,0,2,105.94352118764166
26,0,2,107.41563003117909
27,0,2,109.352137967687
28,0,2,111.03476835317454
29,0,2,112.92175248015866
30,0,2,114.33345316043076
31,0,2,116.05789760487524
32,0,2,117.67241007653058
33,0,2,119.23739873866211
34,0,2,120.73735338718814
35,0,2,122.20946223072553
36,0,2,123.77753479308383
37,0,2,125.34252345521536
38,0,2,126.86107220804983
39,0,2,128.35640100623576
40,0,2,130.130369260204
41,0,2,131.72011982709745
42,0,2,133.14887266156455
43,0,2,134.66742141439906
44,0,2,136.28039193594097
45,0,2,137.73236472505664
46,0,2,139.2509134778911
47,0,2,141.44438286564616
48,0,2,143.1734531604308
49,0,2,144.55422413548743
50,0,2,146.1207547477324
51,0,2,147.75848717403622
52,0,2,149.32810168650786
53,0,2,150.9658341128117
54,0,2,152.80637833049883
55,0,2,154.26451892006796
56,0,2,155.98896336451241
57,0,2,157.74279556405887
58,0,2,159.4238839994331
59,0,2,161.0616164257369
60,0,2,162.67304499716548
61,0,2,164.2860155187074
62,0,2,165.96710395408158
63,0,2,167.439212797619
64,0,2,168.9345415958049
65,0,2,170.91748944160997
66,0,2,172.4205279903627
67,0,2,174.03195656179136
68,0,2,175.45762549603168
69,0,2,177.85853252551013
70,0,3,182.01953025793645
71,0,3,183.7455166524943
72,0,3,184.89408808106575
73,0,3,186.55504046201813
74,0,3,187.7206640447846
75,0,3,189.26551665249426
76,0,3,190.50080009920623
77,0,3,191.78560735544212
78,0,3,192.93417878401354
79,0,3,194.5075699795722
80,0,3,195.29635565476187
81,0,3,196.62914477040812
70,1,3,197.95576608560086
71,1,3,199.28701325113371
72,1,3,200.47540327380946
73,1,3,201.79467765022676
74,1,3,203.14606087018134
75,1,3,204.60183124850812
76,1,3,205.99585678854868
77,1,3,207.28066404478452
78,1,3,208.475675382653
79,1,3,210.06457334183662
80,1,3,210.93073207199544
81,1,3,212.24030123299315
82,0,3,213.63658241213145
83,0,3,215.17680916950104
84,0,3,216.34860055272108
85,0,3,217.5637479450113
86,0,3,218.91513116496597
87,0,3,220.22315837585026
88,0,3,221.4383057681406
89,0,3,222.58687719671198
90,0,3,223.8530903486394
91,0,3,225.22923547335589
92,0,3,226.6038386479591
93,0,3,227.88710395408157
94,0,3,229.28492708333323
95,0,3,230.5047003259637
96,0,3,231.60528989512466
97,0,3,232.82352118764166
70,2,3,234.04329443027206
71,2,3,235.37454159580497
72,2,3,236.54633297902495
73,2,3,237.92864590419498
74,2,3,239.23358921485257
75,2,3,240.63929896541944
76,2,3,242.10660508786842
77,2,3,243.4146322987528
78,2,3,244.60964363662126
79,2,3,246.19446820887438
80,2,3,247.01826041666664
81,2,3,248.30460962301584
82,1,3,249.70089080215413
83,1,3,251.05535792233553
84,1,3,252.27358921485256
85,1,3,253.48873660714278
86,1,3,254.74724000850335
87,1,3,256.14814703798174
88,1,3,257.316854520975
89,1,3,258.581525722789
90,1,3,259.8012989654194
91,1,3,261.29354386337866
92,1,3,262.78424681122436
93,1,3,264.0442921626984
94,1,3,265.65109488378687
95,1,3,266.8940880810657
96,1,3,268.0411175595238
97,1,3,269.3522286706349
70,3,3,270.5720019132652
71,3,3,271.8103692602041
72,3,3,273.02860055272106
73,3,3,274.759212797619
74,3,3,275.73907674319724
75,3,3,277.19104953231283
76,3,3,278.5424327522676
77,3,3,279.82724000850334
78,3,3,281.0686912556688
79,3,3,282.6729834487366
80,3,3,283.5005279903628
81,3,3,289.61662776360544
