bar,repeat,movement,onset
1,0,1,8.373797194210919
2,0,1,9.11991964319051
3,0,1,14.824228033213187
4,0,1,20.34277678604766
5,0,1,26.07493098105899
6,0,1,31.228128259970564
7,0,1,36.84418268173926
8,0,1,42.15991964319051
9,0,1,47.339420776977356
10,0,1,53.86833024552669
11,0,1,58.62413733026532
12,0,1,64.9211652970076
13,0,1,70.09461352074152
14,0,1,75.45987429171656
15,0,2,78.42886036233531
16,0,2,80.2353844957982
17,0,2,81.83284481325853
18,0,2,83.58050921235149
19,0,2,85.31112145724946
20,0,2,87.01542984727215
21,0,2,88.72436408763494
22,0,2,90.31257270441498
23,0,2,92.01996499466442
24,0,2,93.81715320328121
25,0,2,95.52146159330387
26,0,2,97.22576998332653
27,0,2,98.95329832799773
28,0,2,100.68236862278233
29,0,2,102.47647293117238
30,0,2,103.95783347539006
31,0,2,105.68227791983448
32,0,2,107.43611011938096
33,0,2,109.16363846405217
34,0,2,110.77969288582085
35,0,2,112.46078132119506
36,0,2,114.14495365679593
37,0,2,115.89570195611567
38,0,2,117.64645025543538
39,0,2,119.23465887221545
40,0,2,121.05506703548075
41,0,2,122.52871782913154
42,0,2,124.18967021008393
43,0,2,125.87075864545805
44,0,2,127.43728925770297
45,0,2,129.02858177470978
46,0,2,130.94186975656916
47,0,2,132.39230059557147
48,0,2,134.24887882686397
49,0,2,136.0129808676803
50,0,2,137.7420511624649
51,0,2,139.51910331665988
52,0,2,141.15837769307714
53,0,2,142.9818697565692
54,0,2,144.72953415566218
55,0,2,146.2805545638254
56,0,2,147.9585590989728
57,0,2,149.75883120781637
58,0,2,151.5095795071361
59,0,2,153.14731193343997
60,0,2,154.87484027811112
61,0,2,156.4878107996531
62,0,2,158.16889923502728
63,0,2,159.78032780645586
64,0,2,161.4846361964785
65,0,2,163.31900535747624
66,0,2,164.71520308990253
67,0,2,166.4891713438708
68,0,2,168.1238198699479
69,0,2,169.9906679425102
70,0,3,172.96744798786173
71,0,3,174.29869515339456
72,0,3,175.60980626450566
73,0,3,177.03855909897285
74,0,3,178.5292620468186
75,0,3,179.91157497198864
76,0,3,181.37905796518595
77,0,3,182.64064526677333
78,0,3,183.97497633253295
79,0,3,185.54776382848368
80,0,3,186.38359311257832
81,0,3,187.71638222822452
70,1,3,189.32164299919964
71,1,3,190.6064502554354
72,1,3,191.8479015026009
73,1,3,193.41597406495927
74,1,3,194.69769742096827
75,1,3,196.31220989262357
76,1,3,197.54749333933566
77,1,3,198.87874050486846
78,1,3,200.1666316613311
79,1,3,201.75542336849014
80,1,3,202.6216883506735
81,1,3,203.9544774663198
82,0,3,205.2346588722155
83,0,3,206.5659060377483
84,0,3,207.9698969674535
85,0,3,209.30114413298645
86,0,3,210.51320762504992
87,0,3,211.86767474523134
88,0,3,213.3150216840068
89,0,3,214.78867247765768
90,0,3,216.0316656749366
91,0,3,217.38459084500454
92,0,3,218.8752937928504
93,0,3,220.29787882686404
94,0,3,221.7421418654127
95,0,3,223.0547949266372
96,0,3,224.4108039969321
97,0,3,225.74513506269167
70,2,3,227.2435477611043
71,2,3,228.62123483593425
72,2,3,229.97878585634245
73,2,3,231.40753869080962
74,2,3,232.96790150260097
75,2,3,234.3736110144759
76,2,3,235.88735728491383
77,2,3,237.26504435974383
78,2,3,238.59937542550344
79,2,3,243.11021442777096
80,2,3,250.110214427771
81,2,3,256.38504435974124
