bar,repeat,movement,onset
1,0,1,0.5329637875322664
2,0,1,1.302306191160384
3,0,1,6.890514807940431
4,0,1,12.478723424720474
5,0,1,18.14121775578623
6,0,1,23.06221548821254
7,0,1,28.515730227441562
8,0,1,33.7385873702987
9,0,1,38.91808850408555
10,0,1,44.75119508004927
11,0,1,49.3668866900266
12,0,1,55.126164768604966
13,0,1,60.16398419569555
14,0,1,66.45804315261165
15,0,2,71.48280505737357
16,0,2,73.0214898646298
17,0,2,74.08489122517398
18,0,2,75.27527671270235
19,0,2,76.58792977392683
20,0,2,77.82783907097901
21,0,2,79.09559417301979
22,0,2,80.31228351542342
23,0,2,81.62493657664791
24,0,2,83.02738555623975
25,0,2,84.19763498934634
26,0,2,85.43754428639849
27,0,2,86.86321322063885
28,0,2,87.89568487596765
29,0,2,89.15573022744155
30,0,2,90.26557149728286
31,0,2,91.43273703016266
32,0,2,92.72217013673865
33,0,2,93.96207943379078
34,0,2,95.13695471723749
35,0,2,96.35364405964111
36,0,2,97.5734173022715
37,0,2,98.9526463272148
38,0,2,100.07689519342793
39,0,2,101.26992523877941
40,0,2,102.6309320415005
41,0,2,103.63518600975452
42,0,2,104.80851934308782
43,0,2,106.11808850408558
44,0,2,107.26665993265696
45,0,2,108.53287308458441
46,0,2,109.72634247233951
47,0,2,111.08389349274765
48,0,2,112.1974256748513
49,0,2,113.42747625918757
50,0,2,114.69214746100167
51,0,2,115.88870074898354
52,0,2,117.08679598707873
53,0,2,118.37622909365469
54,0,2,119.65949439977715
55,0,2,120.76933566961844
56,0,2,121.95972115714677
57,0,2,123.20271435442567
58,0,2,124.4890635607749
59,0,2,125.77849666735085
60,0,2,127.08806582834862
61,0,2,128.32951707551408
62,0,2,129.68552614580895
63,0,2,130.94244224558213
64,0,2,132.18856469456173
65,0,2,133.65236724122138
66,0,2,134.5832132206388
67,0,2,135.86956242698798
68,0,2,137.08625176939168
69,0,2,138.8602200233599
70,0,3,141.95309984195404
71,0,3,143.51654655397212
72,0,3,144.78121775578617
73,0,3,146.46539009138706
74,0,3,147.18983453583152
75,0,3,148.66502727959568
76,0,3,149.62167127052544
77,0,3,151.16189802789498
78,0,3,152.40334927506058
79,0,3,153.9321401462478
80,0,3,154.83237421837123
81,0,3,156.0518753521581
70,1,3,157.28561684875666
71,1,3,158.59364405964106
72,1,3,159.83509530680658
73,1,3,161.24062818662517
74,1,3,162.12761231360932
75,1,3,163.6762651422622
76,1,3,164.60588895760029
77,1,3,166.0996758056728
78,1,3,167.34112705283826
79,1,3,168.90850800521935
80,1,3,169.7961837421807
81,1,3,170.89774478765162
82,0,3,171.96797512540067
83,0,3,173.2711043771014
84,0,3,174.49423362880202
85,0,3,175.59328124784966
86,0,3,176.89822455850728
87,0,3,178.11337195079756
88,0,3,179.39817920703334
89,0,3,180.59319054490177
90,0,3,181.8129637875321
91,0,3,183.0265692297091
92,0,3,184.2154127671241
93,0,3,185.3593583453553
94,0,3,186.6178617467159
95,0,3,187.81441503469773
96,0,3,189.03110437710131
97,0,3,190.27255562426697
70,2,3,191.53876877619442
71,2,3,192.77713612313312
72,2,3,194.04180732494717
73,2,3,195.65631979660253
74,2,3,196.40398419569547
75,2,3,197.67037432898462
76,2,3,198.8590408850379
77,2,3,200.2599479145164
78,2,3,201.4549592523849
79,2,3,202.79570251265199
80,2,3,203.86357603243022
81,2,3,205.01060551088824
82,1,3,206.6158662818633
83,1,3,207.38983453583154
84,1,3,208.6777256922941
85,1,3,209.7071134473962
86,1,3,210.94239689410813
87,1,3,212.27364405964104
88,1,3,213.55845131587685
89,1,3,214.73024269909686
90,1,3,215.9732358963758
91,1,3,217.16362138390403
92,1,3,218.21314519342792
93,1,3,219.47319054490174
94,1,3,220.7549139009109
95,1,3,221.90502727959569
96,1,3,223.07527671270233
97,1,3,224.28697739297442
70,3,3,225.51328124784968
71,3,3,226.75164859478846
72,3,3,227.92343997800845
73,3,3,229.1432132206388
74,3,3,230.3552767127023
75,3,3,231.92334927506062
76,3,3,232.76389349274763
77,3,3,234.14158056757762
78,3,3,235.33659190544606
79,3,3,236.8966544592032
80,3,3,238.99908623651183
81,3,3,246.29940369682927
