bar,repeat,movement,onset
1,0,1,1.769872732093017
2,0,1,2.7481947275578698
3,0,1,9.590280895358323
4,0,1,16.59490674569846
5,0,1,22.559260487195058
6,0,1,28.873455498532927
7,0,1,35.27898837835152
8,0,1,41.38420379785265
9,0,1,47.88724234660549
10,0,1,55.22681706957645
11,0,1,61.54039427404313
12,0,1,69.18279790216104
13,0,1,74.93812670034697
14,0,1,81.53404506769391
15,0,2,85.42102919467806
16,0,2,86.87090717761726
17,0,2,88.05501256580428
18,0,2,89.37604053254653
19,0,2,90.85123327631068
20,0,2,92.25368225590253
21,0,2,93.61431717653747
22,0,2,94.94710629218373
23,0,2,96.46873894524497
24,0,2,97.84796797018824
25,0,2,99.18075708583453
26,0,2,100.46710629218373
27,0,2,102.2889377940152
28,0,2,103.57540561191163
29,0,2,104.83545096338554
30,0,2,106.03817205182096
31,0,2,107.437537131186
32,0,2,108.70375028311345
33,0,2,109.99009948946266
34,0,2,111.28107454615201
35,0,2,112.54420379785269
36,0,2,113.78719699513161
37,0,2,115.05032624683226
38,0,2,116.33667545318147
39,0,2,117.48370493163956
40,0,2,119.02547363912252
41,0,2,120.26692488628807
42,0,2,121.53313803821548
43,0,2,122.86592715386176
44,0,2,124.24669812891841
45,0,2,125.46647137154885
46,0,2,126.76946456882773
47,0,2,128.22647137154885
48,0,2,129.6883028733803
49,0,2,131.10411309490485
50,0,2,132.50810402461005
51,0,2,133.93685685907715
52,0,2,135.41359155295473
53,0,2,136.93522420601596
54,0,2,138.26492942143545
55,0,2,139.46765050987082
56,0,2,140.75091581599327
57,0,2,142.11000878651484
58,0,2,143.4892378114581
59,0,2,144.89477069127673
60,0,2,146.27399971622003
61,0,2,147.95663010170756
62,0,2,149.2894192173538
63,0,2,150.575768423703
64,0,2,151.95499744864628
65,0,2,153.53482195816025
66,0,2,154.81404506769388
67,0,2,156.1236142286916
68,0,2,157.36352352574386
69,0,2,158.88207227857825
70,0,3,161.06937386587987
71,0,3,162.3077412128186
72,0,3,163.43309268674147
73,0,3,164.60642602007488
74,0,3,166.0739090132721
75,0,3,167.18841438168457
76,0,3,168.505745747966
77,0,3,169.83699291349885
78,0,3,170.8694645688277
79,0,3,172.21174677203157
80,0,3,172.9065620744966
81,0,3,173.93749177971205
70,1,3,174.98547363912252
71,1,3,176.15418112211566
72,1,3,177.18665277744444
73,1,3,178.33676615612922
74,1,3,179.781029194678
75,1,3,180.84207227857823
76,1,3,182.16642602007485
77,1,3,183.40479336701358
78,1,3,184.4837049316395
79,1,3,185.8650791532858
80,1,3,186.59046230125392
81,1,3,187.5749520971724
82,0,3,188.66937386587978
83,0,3,189.81486139422452
84,0,3,190.9402128681474
85,0,3,192.08570039649211
86,0,3,193.11200425136732
87,0,3,194.32715164365766
88,0,3,195.40297930805667
89,0,3,196.50511082733098
90,0,3,197.58556434207037
91,0,3,198.77594982959866
92,0,3,200.12733304955333
93,0,3,201.38737840102718
94,0,3,202.52978202914514
95,0,3,203.66711082733113
96,0,3,204.712231008737
97,0,3,205.80828543050572
70,2,3,206.8005303284649
71,2,3,207.87635799286392
72,2,3,209.0249294214354
73,2,3,210.15182284547168
74,2,3,211.64252579331745
75,2,3,212.86229903594779
76,2,3,214.37622193844217
77,2,3,215.6610291946781
78,2,3,216.78638066860094
79,2,3,218.16357854228593
80,2,3,218.93957794751253
81,2,3,223.28334211984625
