bar,repeat,movement,onset
1,0,1,1.8365246831794642
2,0,1,2.745186814698739
3,0,1,9.58727298249919
4,0,1,16.545458923542274
5,0,1,22.463372755741826
6,0,1,28.84722763102527
7,0,1,35.252760510843856
8,0,1,41.38119588499351
9,0,1,47.88423443374635
10,0,1,54.44177033699655
11,0,1,61.398066633292835
12,0,1,68.32558288423766
13,0,1,74.93511878748784
14,0,1,81.48459724553773
15,0,2,85.53412105506155
16,0,2,86.84060631583253
17,0,2,88.48450654258991
18,0,2,89.34981266503887
19,0,2,90.84822536345155
20,0,2,92.25067434304341
21,0,2,93.63452921832688
22,0,2,94.94409837932461
23,0,2,96.44251107773732
24,0,2,97.79852014803205
25,0,2,99.15452921832687
26,0,2,100.41765847002755
27,0,2,102.23795778975544
28,0,2,103.52595778975545
29,0,2,104.80922309587788
30,0,2,106.02981266503892
31,0,2,107.41130926367836
32,0,2,108.72396232490286
33,0,2,109.96387162195501
34,0,2,111.25484667864436
35,0,2,112.54119588499357
36,0,2,113.78418908227248
37,0,2,115.04731833397312
38,0,2,116.28722763102529
39,0,2,117.48069701878045
40,0,2,118.8599260437237
41,0,2,120.26391697342893
42,0,2,121.50691017070784
43,0,2,122.8164793317056
44,0,2,124.24369021605932
45,0,2,125.44024350404119
46,0,2,126.74981266503887
47,0,2,128.2234634586897
48,0,2,129.68527874336212
49,0,2,131.12432513669424
50,0,2,132.50509611175093
51,0,2,133.933848946218
52,0,2,135.38736368544704
53,0,2,136.93221629315684
54,0,2,138.21548159927926
55,0,2,139.97211322162514
56,0,2,140.65502808454002
57,0,2,142.10700087365572
58,0,2,143.43978998930194
59,0,2,144.87137621109218
60,0,2,146.24777184871238
61,0,2,147.9304022341999
62,0,2,149.2399713951976
63,0,2,150.52632060154687
64,0,2,151.92876958113862
65,0,2,153.50771924100258
66,0,2,154.57883760834952
67,0,2,156.0973863611839
68,0,2,157.20116349108358
69,0,2,158.87906436571913
70,0,3,161.20568568091187
71,0,3,162.30473329995945
72,0,3,163.31398500063972
73,0,3,164.5801981525672
74,0,3,166.0941210550615
75,0,3,167.15135461515217
76,0,3,168.75815733624063
77,0,3,169.8339850006397
78,0,3,170.8200167466715
79,0,3,172.116982586771
80,0,3,173.15897366277122
81,0,3,174.49176277841755
70,1,3,175.05212559020896
71,1,3,176.1511732092565
72,1,3,177.16042490993675
73,1,3,178.3337582432701
74,1,3,179.8012412364674
75,1,3,180.9546384741504
76,1,3,182.27951788045837
77,1,3,183.42500540880295
78,1,3,184.4381482659459
79,1,3,185.77019555043344
80,1,3,186.5874543883948
81,1,3,188.29273675530987
82,0,3,188.66636595302063
83,0,3,189.81185348136535
84,0,3,191.00686481923384
85,0,3,192.08269248363297
86,0,3,193.29475597569643
87,0,3,194.3241437307985
88,0,3,195.39997139519758
89,0,3,196.50210291447186
90,0,3,197.5593364745627
91,0,3,198.749721962091
92,0,3,200.12432513669418
93,0,3,201.36115053351952
94,0,3,202.5964339802316
95,0,3,203.65366754032226
96,0,3,204.70781720018624
97,0,3,205.78672876481212
70,2,3,206.7757893414237
71,2,3,207.87335008000483
72,2,3,208.95226164463068
73,2,3,210.125594977964
74,2,3,211.63951788045833
75,2,3,213.09166785672792
76,2,3,214.53575370812274
77,2,3,215.68124123646746
78,2,3,216.76015280109326
79,2,3,217.95463627754398
80,2,3,219.95824803918853
81,2,3,224.7508103974652
