bar,repeat,movement,onset
1,0,1,0.5090311794716756
2,0,1,0.6731128121247367
3,0,1,1.6142465989728099
4,0,1,2.4857205218753036
5,0,1,3.403634354074849
6,0,2,6.524359977657616
7,0,2,10.224042517340154
8,0,2,14.15592460350796
9,0,2,18.041366780378702
10,0,3,21.251888322328817
11,0,3,22.833929138655346
12,0,3,23.752196234967556
13,0,3,24.669756803054444
14,0,3,25.54123072595693
15,0,4,28.638736394891176
16,0,4,32.756378118247184
17,0,4,37.29197902527666
18,0,4,41.50250056722679
19,0,4,46.29352097539005
20,0,4,50.915924603507925
21,0,4,55.66658219987983
22,0,4,60.644904195344694
23,0,4,66.08762528378006
24,0,4,70.85542573729481
25,0,4,74.99628741529936
26,0,4,79.5334302724422
27,0,5,85.68689966020054
28,0,5,90.10467743797511
29,0,5,91.50250056722679
30,0,5,92.92354365112702
31,0,5,94.62785204114972
32,0,5,95.8909812928504
33,0,5,97.31665022709073
34,0,5,98.77571598672792
35,0,5,100.10757993230615
36,0,5,101.56167871002863
37,0,5,102.84898582799775
38,0,5,104.22975680305447
39,0,5,105.44798809557147
40,0,5,107.03619671235151
41,0,5,108.46186564659187
42,0,5,109.9571944447778
43,0,5,111.36426927470978
44,0,5,112.72490419534472
45,0,5,114.08553911597963
46,0,5,115.55918990963042
47,0,5,117.07928061257827
48,0,5,118.37025566926759
49,0,5,119.73089058990253
50,0,5,121.22621938808848
51,0,5,122.67510827697735
52,0,5,124.17043707516326
53,0,5,125.48463208650115
54,0,5,126.82548886164365
55,0,5,128.06658219987983
56,0,5,129.65633276677332
57,0,5,131.0603236964785
58,0,5,132.3983573030835
59,0,5,133.86708106609296
60,0,5,135.32490419534471
61,0,5,136.74708106609296
62,0,5,138.20408786881407
63,0,5,139.67773866246486
64,0,5,140.9687137191542
65,0,5,142.65134410464177
66,0,5,143.8726592973855
67,0,5,145.32309013638778
68,0,5,146.77660487561678
69,0,5,148.3183735830998
70,0,5,149.74404251734012
71,0,5,151.28581122482314
72,0,5,152.6696661001066
73,0,5,154.05352097539003
74,0,5,155.34449603207935
75,0,5,156.8413667803787
76,0,5,158.36145748332652
77,0,5,159.8614121318526
78,0,5,161.29170691643307
79,0,5,162.62912188241944
80,0,5,164.10431462618362
81,0,6,168.68635544251018
82,0,6,169.48459720075198
83,0,6,171.0888093695356
84,0,6,172.18631009103626
85,0,6,174.0500742633718
86,0,6,175.96027834500453
87,0,6,177.59338492096822
88,0,6,179.1800515876349
89,0,6,180.8812760774308
90,0,6,182.60263662164851
91,0,6,184.14440532913147
92,0,6,185.91220578264623
93,0,6,187.45397449012918
94,0,6,189.1103010207415
95,0,6,190.8347454651859
81,1,6,191.7072380519642
82,1,6,192.2542465989727
83,1,6,194.67949897152675
84,1,6,195.82231916133105
85,1,6,197.50032369647843
86,1,6,199.3408679141655
87,1,6,201.04363435407487
88,1,6,202.58807879851923
89,1,6,204.26186564659184
90,1,6,205.86712641756682
91,1,6,207.36245521575282
92,1,6,208.99093594137636
93,1,6,210.50948469421084
94,1,6,212.11937131552602
95,1,6,213.95991553321315
96,0,6,215.1789631522605
97,0,6,216.22431664180473
98,0,6,217.87761030923673
99,0,6,219.24934863978913
100,0,6,221.08989285747614
101,0,6,222.97687698446032
102,0,6,224.68118537448296
103,0,6,226.33905385520856
104,0,6,227.99692233593424
105,0,6,229.93034637221538
106,0,6,231.72445068060543
107,0,6,233.51855498899536
108,0,6,235.26621938808842
109,0,6,237.2228633790181
110,0,6,238.85596995498184
111,0,6,240.5355164402426
112,0,6,242.23674093003854
113,0,6,244.0509812928503
114,0,6,245.66240986427886
115,0,6,247.39528968287303
116,0,6,248.97197902527662
117,0,6,250.60508560124035
118,0,6,252.30631009103624
96,1,6,253.72426927470968
97,1,6,254.47055430444493
98,1,6,255.6143373019206
99,1,6,257.43320351507253
100,1,6,259.3434075967051
101,1,6,261.4161513608775
102,1,6,263.09723979625164
103,1,6,264.7086683676803
104,1,6,266.38975680305435
105,1,6,268.25352097539
106,1,6,270.00118537448293
107,1,6,271.6327500003334
108,1,6,273.3339744901292
109,1,6,275.36027834500453
110,1,6,277.06304478491376
111,1,6,278.78903117947164
112,1,6,280.55991553321314
113,1,6,282.1187363948912
114,1,6,283.70694501167117
115,1,6,285.1496661001066
116,1,6,290.4530674606508
117,1,6,297.15193367380004
118,1,6,302.12336224523136
