bar,repeat,movement,onset
1,0,1,0.3681519277709579
2,0,1,0.6947732429637015
3,0,1,1.6359070298117746
4,0,1,2.5073809527142674
5,0,1,3.378854875616761
6,0,2,5.872641723689324
7,0,2,10.222482993530594
8,0,2,14.131145125049873
9,0,2,18.016587301920616
10,0,3,21.436088435707468
11,0,3,22.832369614845785
12,0,3,23.750283447045334
13,0,3,24.691417233893407
14,0,3,25.516451247498843
15,0,4,27.894138322328786
16,0,4,32.75481859443763
17,0,4,37.24397959217004
18,0,4,41.64026077130838
19,0,4,46.31518140622901
20,0,4,50.937585034346895
21,0,4,55.73468254001585
22,0,4,60.434365079698395
23,0,4,66.07373015906344
24,0,4,70.8074263041882
25,0,4,75.04116780078685
26,0,4,79.71763038582084
27,0,5,86.02765306156023
28,0,5,90.10311791416555
29,0,5,91.50094104341721
30,0,5,92.94520408196597
31,0,5,94.44053288015192
32,0,5,95.86620181439231
33,0,5,97.29187074863266
34,0,5,98.69894557856462
35,0,5,100.10602040849658
36,0,5,101.42021541983446
37,0,5,102.87064625883674
38,0,5,104.2281972792449
39,0,5,105.58574829965306
40,0,5,107.08107709783897
41,0,5,108.48352607743082
42,0,5,109.95563492096822
43,0,5,111.36270975090022
44,0,5,112.70012471688659
45,0,5,114.08397959217005
46,0,5,115.58085034046938
47,0,5,117.03128117947163
48,0,5,118.36869614545802
49,0,5,119.7525510207415
50,0,5,121.22465986427892
51,0,5,122.67354875316778
52,0,5,124.1688775513537
53,0,5,125.48307256269158
54,0,5,126.84370748332651
55,0,5,128.13468254001586
56,0,5,129.67799319761227
57,0,5,131.05876417266893
58,0,5,132.41939909330384
59,0,5,133.8713718824195
60,0,5,135.30012471688664
61,0,5,136.76188586579062
62,0,5,138.15608843570743
63,0,5,139.65295918400682
64,0,5,140.96715419534465
65,0,5,142.55690476223808
66,0,5,143.84787981892737
67,0,5,145.32153061257821
68,0,5,146.77504535180722
69,0,5,148.29359410464173
70,0,5,149.7424829935306
71,0,5,151.2842517010136
72,0,5,152.66810657629705
73,0,5,154.02874149693193
74,0,5,155.34293650826982
75,0,5,156.83980725656915
76,0,5,158.35989795951696
77,0,5,159.85985260804307
78,0,5,161.2901473926235
79,0,5,162.6275623586099
80,0,5,164.07953514772555
81,0,6,168.40615646291832
82,0,6,169.40615646291832
83,0,6,170.9503109818688
84,0,6,172.3472902497664
85,0,6,174.04851473956225
86,0,6,175.93549886654645
87,0,6,177.59182539715866
88,0,6,179.17849206382533
89,0,6,180.87971655362125
90,0,6,182.60107709783895
91,0,6,184.16606575997042
92,0,6,185.91064625883666
93,0,6,187.49885487561667
94,0,6,189.10874149693194
95,0,6,190.8564058960248
81,1,6,191.8564058960248
82,1,6,192.85640589602485
83,1,6,194.63214285747617
84,1,6,195.84397959216992
85,1,6,197.4987641726689
86,1,6,199.36252834500445
87,1,6,200.99563492096826
88,1,6,202.6055215422834
89,1,6,204.2835260774308
90,1,6,205.84234693910875
91,1,6,207.38411564659185
92,1,6,208.89649659897273
93,1,6,210.50792517040128
94,1,6,212.14103174636497
95,1,6,213.98157596405213
96,0,6,215.40552154228337
97,0,6,216.22488843570747
98,0,6,217.89903133407893
99,0,6,219.22456916133106
100,0,6,221.01867346972105
101,0,6,222.97531746065076
102,0,6,224.70284580532194
103,0,6,226.31427437675046
104,0,6,227.97214285747617
105,0,6,229.90556689375725
106,0,6,231.72289115679587
107,0,6,233.47055555588878
108,0,6,235.2878798189274
109,0,6,237.22130385520853
110,0,6,238.87763038582077
111,0,6,240.53395691643303
112,0,6,242.25840136087746
113,0,6,244.04942176904075
114,0,6,245.68407029511786
115,0,6,247.40543083933554
116,0,6,249.01685941076406
117,0,6,250.6035260774308
118,0,6,252.46729024976634
96,1,6,253.6762698416031
97,1,6,254.46827553276847
98,1,6,256.1399655239577
99,1,6,257.4548639459115
100,1,6,259.2489682543015
101,1,6,261.39137188241943
102,1,6,263.11890022709065
103,1,6,264.7303287985193
104,1,6,266.38819727924476
105,1,6,268.228741496932
106,1,6,269.8835260774307
107,1,6,271.60797052187525
108,1,6,273.30919501167114
109,1,6,275.33549886654646
110,1,6,277.0382653064557
111,1,6,278.7642517010135
112,1,6,280.55835600940355
113,1,6,282.093956916433
114,1,6,283.68216553321304
115,1,6,285.148106576297
116,1,6,290.47472789148975
117,1,6,298.0985827667731
118,1,6,302.0985827667732
