bar,repeat,movement,onset
1,0,1,0.5439581916099897
2,0,1,0.6848198696145247
3,0,1,1.6027337018140715
4,0,1,2.474207624716565
5,0,1,3.4153414115646363
6,0,2,6.536067035147403
7,0,2,10.18930966553289
8,0,2,14.190851615646272
9,0,2,18.053073837868492
10,0,3,21.618425311791402
11,0,3,22.845636196145136
12,0,3,23.76355002834468
13,0,3,24.68146386054423
14,0,3,25.483277919501138
15,0,4,28.69688336167802
16,0,4,32.72164526643992
17,0,4,37.2572461734694
18,0,4,41.39810785147394
19,0,4,46.30522803287983
20,0,4,51.11946839569162
21,0,4,55.8408289399093
22,0,4,60.61017134353743
23,0,4,66.09933234126984
24,0,4,70.84391284013607
25,0,4,75.07765433673472
26,0,4,79.77733687641725
27,0,5,84.59565887188285
28,0,5,90.09316454081637
29,0,5,91.51420762471656
30,0,5,92.86559084467123
31,0,5,94.45379946145127
32,0,5,95.87946839569166
33,0,5,97.305137329932
34,0,5,98.71221215986397
35,0,5,100.14250694444449
36,0,5,101.55073067838248
37,0,5,102.86069288548757
38,0,5,104.21824390589572
39,0,5,105.55257497165536
40,0,5,107.07112372448981
41,0,5,108.47357270408166
42,0,5,109.96890150226758
43,0,5,111.35275637755105
44,0,5,112.73661125283449
45,0,5,114.05080626417235
46,0,5,115.5708969671202
47,0,5,117.02132780612247
48,0,5,118.3819627267574
49,0,5,119.74259764739233
50,0,5,121.26114640022679
51,0,5,122.6635953798186
52,0,5,124.15892417800453
53,0,5,125.49633914399095
54,0,5,126.83375410997733
55,0,5,128.35692871315192
56,0,5,129.6680398242631
57,0,5,131.07203075396825
58,0,5,132.40944571995465
59,0,5,133.86141850907032
60,0,5,135.33581585775337
61,0,5,136.74214413265307
62,0,5,138.16935501700678
63,0,5,139.64300581065763
64,0,5,140.980420776644
65,0,5,142.57017134353742
66,0,5,143.86114640022674
67,0,5,145.33479719387756
68,0,5,146.8811917517007
69,0,5,148.30686068594107
70,0,5,149.7325296201814
71,0,5,151.2742983276644
72,0,5,152.65815320294786
73,0,5,154.0420080782313
74,0,5,155.35620308956916
75,0,5,156.8530738378685
76,0,5,158.37316454081633
77,0,5,159.87311918934242
78,0,5,161.28019401927432
79,0,5,162.64082893990928
80,0,5,164.3017813208616
81,0,6,168.7212824546485
82,0,6,169.38263795981356
83,0,6,171.05479881357306
84,0,6,172.3373368764172
85,0,6,174.06178132086163
86,0,6,175.9487654478458
87,0,6,177.605091978458
88,0,6,179.16853869047617
89,0,6,180.86976318027206
90,0,6,182.59112372448976
91,0,6,184.17933234126977
92,0,6,185.90069288548747
93,0,6,187.48890150226748
94,0,6,189.1220080782313
95,0,6,190.84645252267563
81,1,6,191.84645252267563
82,1,6,192.64846612811792
83,1,6,194.62229585394763
84,1,6,195.83402621882075
85,1,6,197.51203075396822
86,1,6,199.35257497165526
87,1,6,201.00890150226758
88,1,6,202.61878812358268
89,1,6,204.2735727040816
90,1,6,205.85561352040807
91,1,6,207.39738222789114
92,1,6,208.90976318027208
93,1,6,210.52119175170068
94,1,6,212.15429832766432
95,1,6,214.06450240929703
96,0,6,215.06450240929706
97,0,6,216.06450240929706
98,0,6,217.84375368213324
99,0,6,219.23783574263038
100,0,6,221.0783799603174
101,0,6,222.967831207483
102,0,6,224.69289243197275
103,0,6,226.32754095804984
104,0,6,227.9854094387755
105,0,6,229.8956135204081
106,0,6,231.71293778344668
107,0,6,233.4838221371881
108,0,6,235.2779264455782
109,0,6,237.23457043650788
110,0,6,238.86767701247157
111,0,6,240.54546612811788
112,0,6,242.22522803287978
113,0,6,244.06268835034012
114,0,6,245.67411692176867
115,0,6,247.39547746598637
116,0,6,249.0069060374149
117,0,6,250.64001261337867
118,0,6,252.66631646825388
96,1,6,253.6895364229024
97,1,6,254.34482161390196
98,1,6,255.51646176093894
99,1,6,257.4681305272108
100,1,6,259.3551146541949
101,1,6,261.40463846371875
102,1,6,263.1089468537415
103,1,6,264.6971554705215
104,1,6,266.3782439058956
105,1,6,268.2420080782313
106,1,6,269.96645252267575
107,1,6,271.5980171485261
108,1,6,273.32246159297046
109,1,6,275.3487654478458
110,1,6,277.07475184240354
111,1,6,278.8007382369615
112,1,6,280.5716225907029
113,1,6,282.10722349773243
114,1,6,283.6954321145124
115,1,6,285.2542529761904
116,1,6,290.4647745181406
117,1,6,297.2294910714286
118,1,6,301.3688107993197
