bar,repeat,movement,onset
1,0,1,1.57035048219278
2,0,1,1.9898516159796278
3,0,1,3.4882643143923264
4,0,1,4.406178146591873
5,0,1,5.277652069494366
6,0,2,8.44481760237418
7,0,2,12.237379960650825
8,0,2,16.33180172935831
9,0,2,20.356563634120214
10,0,3,24.379783588768742
11,0,3,26.93706250033337
12,0,3,28.41260875302248
13,0,3,29.353389030945614
14,0,3,30.248082908496627
15,0,4,34.36726658196603
16,0,4,38.34558857743087
17,0,4,42.138150935707515
18,0,4,45.21089469987986
19,0,4,49.534432114845835
20,0,4,52.77279946178462
21,0,4,56.58858177470977
22,0,4,60.19692644591159
23,0,4,64.39665433706806
24,0,4,67.92291284046944
25,0,4,71.33923937108172
26,0,4,76.06685841870073
27,0,5,80.52980626450821
28,0,5,84.5947495751633
29,0,5,86.38731193343993
30,0,5,88.1798742917166
31,0,5,90.02350240963044
32,0,5,91.75103075430165
33,0,5,93.57143891756695
34,0,5,95.32681306722682
35,0,5,97.03574730758962
36,0,5,98.83756136654652
37,0,5,100.70595138922228
38,0,5,102.94586068627441
39,0,5,105.30186975656922
40,0,5,107.12227791983449
41,0,5,108.84980626450573
42,0,5,110.57733460917692
43,0,5,112.3559287134853
44,0,5,114.04164299919958
45,0,5,115.65769742096829
46,0,5,117.99048653661458
47,0,5,120.3000556976123
48,0,5,122.05542984727214
49,0,5,123.74114413298646
50,0,5,125.49189243230617
51,0,5,127.1700330218753
52,0,5,128.9005092123515
53,0,5,130.70232327130842
54,0,5,132.31837769307714
55,0,5,134.00409197879142
56,0,5,136.127901502601
57,0,5,138.4606906182472
58,0,5,140.44826431439233
59,0,5,142.1556566046418
60,0,5,143.8398289402427
61,0,5,145.59366113978916
62,0,5,147.48527111711343
63,0,5,149.26078132119508
64,0,5,150.87683574296378
65,0,5,152.97742531212478
66,0,5,154.87211918967577
67,0,5,157.04236862278236
68,0,5,158.84418268173928
69,0,5,160.6413708903561
70,0,5,162.4153391443243
71,0,5,164.25416000600234
72,0,5,165.96790150260097
73,0,5,167.73942077697737
74,0,5,169.45542984727217
75,0,5,171.5177018098206
76,0,5,173.7959287134853
77,0,5,175.5341038565584
78,0,5,177.26023710350793
79,0,5,178.89951147992517
80,0,5,180.6069037701746
81,0,6,185.11928472255556
82,0,6,186.0770913603622
83,0,6,187.96147729189104
84,0,6,189.3158380105374
85,0,6,191.36536182006122
86,0,6,193.50776544817919
87,0,6,195.37307157062813
88,0,6,197.19193778378008
89,0,6,199.07892191076417
90,0,6,200.86994231892746
91,0,6,202.62069061824715
92,0,6,204.50459084500454
93,0,6,206.44109878151247
94,0,6,208.0509854028277
95,0,6,209.96118948446028
81,1,6,210.9611894844603
82,1,6,211.98440943910884
83,1,6,214.3025189051175
84,1,6,216.17942077697734
85,1,6,217.9967450400159
86,1,6,219.9772267462119
87,1,6,221.77225524409755
88,1,6,223.63756136654646
89,1,6,225.5013255388821
90,1,6,227.3620058109909
91,1,6,229.25207383820182
92,1,6,231.22885388355328
93,1,6,233.3975613665465
94,1,6,234.98422803321313
95,1,6,237.03375184273696
96,0,6,238.4517110264105
97,0,6,239.4517110264105
98,0,6,241.8993648113287
99,0,6,243.34486295384812
100,0,6,245.30150694477777
101,0,6,247.42069061824725
102,0,6,249.28753869080953
103,0,6,250.96862712618363
104,0,6,252.74259538015198
105,0,6,254.97787882686393
106,0,6,257.0506225910363
107,0,6,259.10014640056005
108,0,6,261.17289016473245
109,0,6,263.4081736114444
110,0,6,265.3199196431905
111,0,6,267.37098540282756
112,0,6,269.18830966586614
113,0,6,271.18830966586626
114,0,6,273.078377693077
115,0,6,275.14803755702263
116,0,6,277.014885629585
117,0,6,279.04273143457374
118,0,6,281.3708946998797
96,1,6,282.7424139742561
97,1,6,283.7424139742561
98,1,6,286.10900786762767
99,1,6,287.6587858563425
100,1,6,289.6386498019205
101,1,6,291.9203731579297
102,1,6,293.74078132119496
103,1,6,295.44508971121775
104,1,6,297.2422779198344
105,1,6,299.45434141189804
106,1,6,301.48064526677325
107,1,6,303.34440943910886
108,1,6,305.32427338468705
109,1,6,307.6059967406961
110,1,6,309.5177427724421
111,1,6,311.5920284867279
112,1,6,313.45579265906343
113,1,6,315.40935274976636
114,1,6,317.27620082232886
115,1,6,319.2297609130317
116,1,6,320.98050921235154
117,1,6,322.9851350626916
118,1,6,325.49905796518595
