bar,repeat,movement,onset
1,0,1,1.5824910715953002
2,0,1,2.0019922053821477
3,0,1,3.5004049037948466
4,0,1,4.418318735994393
5,0,1,5.289792658896886
6,0,2,8.456958191776701
7,0,2,12.249520550053347
8,0,2,16.34394231876083
9,0,2,20.368704223522734
10,0,3,24.391924178171262
11,0,3,26.94920308973589
12,0,3,28.424749342425
13,0,3,29.365529620348134
14,0,3,30.260223497899148
15,0,4,34.37940717136855
16,0,4,38.357729166833394
17,0,4,42.150291525110035
18,0,4,45.22303528928238
19,0,4,49.546572704248355
20,0,4,52.78494005118714
21,0,4,56.6007223641123
22,0,4,60.20906703531412
23,0,4,64.40879492647058
24,0,4,67.93505342987196
25,0,4,71.35137996048424
26,0,4,76.07899900810325
27,0,5,80.54194685391073
28,0,5,84.60689016456584
29,0,5,86.39945252284247
30,0,5,88.19201488111912
31,0,5,90.03564299903296
32,0,5,91.76317134370417
33,0,5,93.58357950696947
34,0,5,95.33895365662934
35,0,5,97.04788789699214
36,0,5,98.84970195594904
37,0,5,100.7180919786248
38,0,5,102.95800127567695
39,0,5,105.31401034597174
40,0,5,107.13441850923702
41,0,5,108.86194685390826
42,0,5,110.58947519857944
43,0,5,112.36806930288782
44,0,5,114.0537835886021
45,0,5,115.66983801037082
46,0,5,118.0026271260171
47,0,5,120.31219628701481
48,0,5,122.06757043667467
49,0,5,123.75328472238898
50,0,5,125.50403302170871
51,0,5,127.18217361127782
52,0,5,128.91264980175401
53,0,5,130.71446386071094
54,0,5,132.33051828247963
55,0,5,134.0162325681939
56,0,5,136.14004209200348
57,0,5,138.4728312076497
58,0,5,140.46040490379482
59,0,5,142.16779719404428
60,0,5,143.8519695296452
61,0,5,145.60580172919165
62,0,5,147.49741170651592
63,0,5,149.27292191059757
64,0,5,150.88897633236627
65,0,5,152.98956590152727
66,0,5,154.88425977907826
67,0,5,157.05450921218485
68,0,5,158.85632327114178
69,0,5,160.65351147975858
70,0,5,162.42747973372678
71,0,5,164.26630059540483
72,0,5,165.98004209200346
73,0,5,167.75156136637986
74,0,5,169.46757043667466
75,0,5,171.5298423992231
76,0,5,173.8080693028878
77,0,5,175.54624444596092
78,0,5,177.27237769291042
79,0,5,178.91165206932766
80,0,5,180.6190443595771
81,0,6,185.13142531195805
82,0,6,186.08923194976472
83,0,6,187.97361788129353
84,0,6,189.32797859993988
85,0,6,191.37750240946372
86,0,6,193.51990603758168
87,0,6,195.38521216003062
88,0,6,197.20407837318257
89,0,6,199.09106250016666
90,0,6,200.88208290832995
91,0,6,202.63283120764964
92,0,6,204.51673143440703
93,0,6,206.45323937091496
94,0,6,208.0631259922302
95,0,6,209.97333007386277
81,1,6,210.9733300738628
82,1,6,211.99655002851136
83,1,6,214.31465949452
84,1,6,216.19156136637983
85,1,6,218.0088856294184
86,1,6,219.9893673356144
87,1,6,221.78439583350004
88,1,6,223.64970195594896
89,1,6,225.51346612828462
90,1,6,227.37414640039339
91,1,6,229.26421442760432
92,1,6,231.24099447295578
93,1,6,233.409701955949
94,1,6,234.99636862261562
95,1,6,237.04589243213945
96,0,6,238.46385161581298
97,0,6,239.46385161581298
98,0,6,241.9115054007312
99,0,6,243.3570035432506
100,0,6,245.31364753418026
101,0,6,247.43283120764974
102,0,6,249.29967928021205
103,0,6,250.98076771558613
104,0,6,252.75473596955447
105,0,6,254.99001941626642
106,0,6,257.06276318043876
107,0,6,259.11228698996257
108,0,6,261.18503075413497
109,0,6,263.4203142008469
110,0,6,265.332060232593
111,0,6,267.3831259922301
112,0,6,269.20045025526866
113,0,6,271.2004502552688
114,0,6,273.09051828247954
115,0,6,275.16017814642515
116,0,6,277.02702621898754
117,0,6,279.05487202397626
118,0,6,281.38303528928225
96,1,6,282.75455456365864
97,1,6,283.75455456365864
98,1,6,286.1211484570302
99,1,6,287.670926445745
100,1,6,289.650790391323
101,1,6,291.9325137473322
102,1,6,293.7529219105975
103,1,6,295.45723030062027
104,1,6,297.2544185092369
105,1,6,299.46648200130056
106,1,6,301.4927858561758
107,1,6,303.3565500285114
108,1,6,305.33641397408957
109,1,6,307.61813733009865
110,1,6,309.5298833618446
111,1,6,311.60416907613046
112,1,6,313.46793324846595
113,1,6,315.4214933391689
114,1,6,317.2883414117314
115,1,6,319.24190150243425
116,1,6,320.99264980175406
117,1,6,322.9972756520941
118,1,6,325.5111985545885
