bar,repeat,movement,onset
1,0,1,1.5935286986462536
2,0,1,2.013029832433101
3,0,1,3.5114425308458
4,0,1,4.429356363045346
5,0,1,5.300830285947839
6,0,2,8.467995818827655
7,0,2,12.2605581771043
8,0,2,16.354979945811785
9,0,2,20.379741850573687
10,0,3,24.402961805222215
11,0,3,26.960240716786842
12,0,3,28.43578696947595
13,0,3,29.376567247399084
14,0,3,30.271261124950097
15,0,4,34.3904447984195
16,0,4,38.36876679388435
17,0,4,42.16132915216099
18,0,4,45.23407291633333
19,0,4,49.55761033129931
20,0,4,52.795977678238096
21,0,4,56.61175999116325
22,0,4,60.22010466236507
23,0,4,64.41983255352153
24,0,4,67.94609105692291
25,0,4,71.36241758753519
26,0,4,76.09003663515422
27,0,5,80.5529844809617
28,0,5,84.6179277916168
29,0,5,86.41049014989342
30,0,5,88.20305250817007
31,0,5,90.04668062608393
32,0,5,91.77420897075514
33,0,5,93.59461713402042
34,0,5,95.3499912836803
35,0,5,97.05892552404309
36,0,5,98.860739583
37,0,5,100.72912960567575
38,0,5,102.9690389027279
39,0,5,105.32504797302269
40,0,5,107.14545613628798
41,0,5,108.87298448095922
42,0,5,110.6005128256304
43,0,5,112.37910692993877
44,0,5,114.06482121565307
45,0,5,115.68087563742178
46,0,5,118.01366475306807
47,0,5,120.32323391406577
48,0,5,122.07860806372562
49,0,5,123.76432234943994
50,0,5,125.51507064875966
51,0,5,127.19321123832877
52,0,5,128.92368742880498
53,0,5,130.7255014877619
54,0,5,132.3415559095306
55,0,5,134.0272701952449
56,0,5,136.15107971905445
57,0,5,138.48386883470067
58,0,5,140.4714425308458
59,0,5,142.17883482109525
60,0,5,143.86300715669617
61,0,5,145.61683935624262
62,0,5,147.5084493335669
63,0,5,149.28395953764854
64,0,5,150.90001395941724
65,0,5,153.00060352857824
66,0,5,154.89529740612926
67,0,5,157.06554683923582
68,0,5,158.86736089819274
69,0,5,160.66454910680955
70,0,5,162.43851736077778
71,0,5,164.27733822245582
72,0,5,165.99107971905443
73,0,5,167.76259899343086
74,0,5,169.47860806372563
75,0,5,171.54088002627407
76,0,5,173.81910692993878
77,0,5,175.5572820730119
78,0,5,177.28341531996142
79,0,5,178.92268969637863
80,0,5,180.63008198662806
81,0,6,185.14246293900905
82,0,6,186.1002695768157
83,0,6,187.9846555083445
84,0,6,189.33901622699085
85,0,6,191.38854003651468
86,0,6,193.53094366463264
87,0,6,195.3962497870816
88,0,6,197.21511600023354
89,0,6,199.10210012721762
90,0,6,200.89312053538094
91,0,6,202.6438688347006
92,0,6,204.527769061458
93,0,6,206.46427699796592
94,0,6,208.07416361928117
95,0,6,209.98436770091374
81,1,6,210.98436770091377
82,1,6,212.00758765556233
83,1,6,214.32569712157095
84,1,6,216.20259899343083
85,1,6,218.01992325646935
86,1,6,220.00040496266539
87,1,6,221.795433460551
88,1,6,223.66073958299992
89,1,6,225.5245037553356
90,1,6,227.38518402744438
91,1,6,229.27525205465528
92,1,6,231.25203210000677
93,1,6,233.420739583
94,1,6,235.0074062496666
95,1,6,237.05693005919042
96,0,6,238.47488924286395
97,0,6,239.47488924286395
98,0,6,241.92254302778218
99,0,6,243.36804117030158
100,0,6,245.32468516123123
101,0,6,247.44386883470074
102,0,6,249.31071690726301
103,0,6,250.9918053426371
104,0,6,252.76577359660547
105,0,6,255.0010570433174
106,0,6,257.07380080748976
107,0,6,259.12332461701357
108,0,6,261.1960683811859
109,0,6,263.4313518278979
110,0,6,265.34309785964393
111,0,6,267.394163619281
112,0,6,269.2114878823196
113,0,6,271.2114878823197
114,0,6,273.1015559095305
115,0,6,275.1712157734761
116,0,6,277.0380638460385
117,0,6,279.0659096510272
118,0,6,281.3940729163332
96,1,6,282.7655921907096
97,1,6,283.7655921907096
98,1,6,286.1321860840811
99,1,6,287.68196407279595
100,1,6,289.66182801837397
101,1,6,291.94355137438316
102,1,6,293.7639595376484
103,1,6,295.4682679276712
104,1,6,297.26545613628787
105,1,6,299.4775196283515
106,1,6,301.5038234832267
107,1,6,303.3675876555623
108,1,6,305.3474516011405
109,1,6,307.6291749571496
110,1,6,309.5409209888956
111,1,6,311.6152067031814
112,1,6,313.4789708755169
113,1,6,315.4325309662198
114,1,6,317.2993790387823
115,1,6,319.2529391294852
116,1,6,321.003687428805
117,1,6,323.00831327914506
118,1,6,325.5222361816394
