bar,repeat,movement,onset
1,0,1,1.5728256806054184
2,0,1,1.9923268143922663
3,0,1,3.4907395128049648
4,0,1,4.431873299653037
5,0,1,5.30334722255553
6,0,2,8.006113662464823
7,0,2,12.263075113711992
8,0,2,16.437496882419463
9,0,2,20.33581887788433
10,0,3,23.56956037448297
11,0,3,26.91631774409748
12,0,3,28.461170351807233
13,0,3,29.37908418400678
14,0,3,30.250558106909267
15,0,4,34.09110232459635
16,0,4,38.60348327697731
17,0,4,42.18706604341721
18,0,4,45.23658985294102
19,0,4,49.51894812958501
20,0,4,52.79849461484579
21,0,4,56.614276927770945
22,0,4,60.222621598972765
23,0,4,64.48112500033331
24,0,4,67.9486079935306
25,0,4,71.36493452414288
26,0,4,76.09255357176191
27,0,5,80.45699801620714
28,0,5,84.66688463752153
29,0,5,86.43622704114965
30,0,5,88.25200935407483
31,0,5,90.02597760804308
32,0,5,91.77672590736282
33,0,5,93.59713407062812
34,0,5,95.35250822028799
35,0,5,97.06144246065078
36,0,5,98.86325651960769
37,0,5,100.82452636087754
38,0,5,102.92511593003854
39,0,5,105.37400481892742
40,0,5,107.14797307289567
41,0,5,108.85228146291837
42,0,5,110.6030297622381
43,0,5,112.33518395724943
44,0,5,114.06733815226075
45,0,5,115.68339257402947
46,0,5,118.06262159897278
47,0,5,120.34897080532198
48,0,5,122.08112500033332
49,0,5,123.79005924069615
50,0,5,125.54080754001589
51,0,5,127.19867602074146
52,0,5,128.9494243200612
53,0,5,130.70479846972106
54,0,5,132.32085289148978
55,0,5,133.98334722255552
56,0,5,136.15359665566214
57,0,5,138.5096057259569
58,0,5,140.42751955815643
59,0,5,142.15813180305443
60,0,5,143.86552409330386
61,0,5,145.59613633820183
62,0,5,147.48774631552604
63,0,5,149.21681661031064
64,0,5,150.90253089602493
65,0,5,153.04956037448298
66,0,5,154.85137443343987
67,0,5,157.0680637758435
68,0,5,158.86987783480043
69,0,5,160.69028599806578
70,0,5,162.44103429738544
71,0,5,164.26144246065078
72,0,5,165.9703767010136
73,0,5,167.77219075997053
74,0,5,169.45790504568478
75,0,5,171.5352746601973
76,0,5,173.82162386654647
77,0,5,175.57699801620632
78,0,5,177.26271230192057
79,0,5,178.9019866783378
80,0,5,180.60937896858724
81,0,6,184.56448100940364
82,0,6,185.56448100940364
83,0,6,187.98726167722626
84,0,6,189.3647531182471
85,0,6,191.2749571998797
86,0,6,193.53346060124034
87,0,6,195.4219866783378
88,0,6,197.21763293684123
89,0,6,199.0813971091768
90,0,6,200.89563747198864
91,0,6,202.6463857713083
92,0,6,204.5302859980657
93,0,6,206.2810342973854
94,0,6,208.09990051053734
95,0,6,210.01010459217
81,1,6,211.01010459217
82,1,6,212.01010459217002
83,1,6,214.8290366094214
84,1,6,216.18189597538998
85,1,6,217.9992202384285
86,1,6,220.02552409330374
87,1,6,221.82117035180724
88,1,6,223.68647647425612
89,1,6,225.52702069194328
90,1,6,227.41092091870055
91,1,6,229.30098894591157
92,1,6,231.25454903661446
93,1,6,233.0981771545283
94,1,6,234.98670323162577
95,1,6,237.10588690509522
96,0,6,238.60284835634224
97,0,6,239.66316581665984
98,0,6,241.78859098672785
99,0,6,243.3473381522608
100,0,6,245.30398214319044
101,0,6,247.44638577130843
102,0,6,249.29001388922214
103,0,6,250.97110232459625
104,0,6,252.7450705785646
105,0,6,255.00357397992508
106,0,6,257.05309778944894
107,0,6,259.1026215989727
108,0,6,261.19858531779363
109,0,6,263.43386876450563
110,0,6,265.34561479625165
111,0,6,267.3734606012402
112,0,6,269.2140048189273
113,0,6,271.1443449549819
114,0,6,273.1040728461382
115,0,6,275.15051275543533
116,0,6,277.06380073729474
117,0,6,279.0452066329864
118,0,6,281.3735513041879
96,1,6,283.0467485830997
97,1,6,284.0467485830997
98,1,6,286.1364991499932
99,1,6,287.6380411001065
100,1,6,289.6643449549817
101,1,6,291.9460683109909
102,1,6,293.74325651960754
103,1,6,295.4707848642789
104,1,6,297.2679730728956
105,1,6,299.4800365649592
106,1,6,301.48312046518583
107,1,6,303.37010459217004
108,1,6,305.3731884923967
109,1,6,307.6316918937573
110,1,6,309.5434379255033
111,1,6,311.6177236397891
112,1,6,313.4814878121246
113,1,6,315.4582678574761
114,1,6,317.30189597539004
115,1,6,319.1625762474988
116,1,6,321.02942432006125
117,1,6,323.0108302157528
118,1,6,325.52475311824713
