bar,repeat,movement,onset
1,0,1,1.6012580075363
2,0,1,1.9975391866746217
3,0,1,3.4959518850873206
4,0,1,4.437085671935393
5,0,1,5.378219458783464
6,0,2,8.104205853341284
7,0,2,12.24506753134582
8,0,2,16.339489300053305
9,0,2,20.341031250166687
10,0,3,24.121892928171214
11,0,3,26.944750071028363
12,0,3,28.443162769441063
13,0,3,29.361076601640608
14,0,3,30.25577047919162
15,0,4,33.748015377150814
16,0,4,38.469375921368496
17,0,4,42.076178642456924
18,0,4,45.56688159030274
19,0,4,49.49876367647054
20,0,4,52.85014689642519
21,0,4,56.59626934540477
22,0,4,60.20461401660659
23,0,4,64.48633737261565
24,0,4,67.93060041116443
25,0,4,71.37486344971319
26,0,4,76.09776594404426
27,0,5,80.05078181706045
28,0,5,84.64887705515537
29,0,5,86.44143941343201
30,0,5,88.23400177170866
31,0,5,90.03118998032544
32,0,5,91.78193827964517
33,0,5,93.60234644291045
34,0,5,95.3345006379218
35,0,5,97.06665483293312
36,0,5,98.84639532172123
37,0,5,100.82973873315989
38,0,5,102.99998816626648
39,0,5,105.37921719120978
40,0,5,107.12996549052949
41,0,5,108.85749383520073
42,0,5,110.60824213452044
43,0,5,112.36361628418028
44,0,5,114.04933056989458
45,0,5,115.64216503701476
46,0,5,118.06783397125513
47,0,5,120.35418317760433
48,0,5,122.08633737261567
49,0,5,123.77205165832997
50,0,5,125.52279995764971
51,0,5,127.2038883930238
52,0,5,128.9081967830465
53,0,5,130.7100108420034
54,0,5,132.3260652637721
55,0,5,134.01177954948642
56,0,5,136.182028982593
57,0,5,138.51481809823926
58,0,5,140.4559518850873
59,0,5,142.16334417533676
60,0,5,143.8707364655862
61,0,5,145.62456866513267
62,0,5,147.5845361051001
63,0,5,149.26846889189005
64,0,5,150.88452331365875
65,0,5,153.05477274676534
66,0,5,154.85658680572223
67,0,5,157.09649610277444
68,0,5,158.8750902070828
69,0,5,160.6722784156996
70,0,5,162.4230267150193
71,0,5,164.26665483293317
72,0,5,165.97558907329594
73,0,5,167.77740313225286
74,0,5,169.48633737261568
75,0,5,171.5404870324796
76,0,5,173.85005619347737
77,0,5,175.55899043384014
78,0,5,177.2447047195544
79,0,5,178.88397909597163
80,0,5,180.61459134086957
81,0,6,185.10375233860205
82,0,6,185.81210228323104
83,0,6,187.901291148998
84,0,6,189.3699654905295
85,0,6,191.3730493907562
86,0,6,193.51545301887415
87,0,6,195.4039790959716
88,0,6,197.22284530912358
89,0,6,199.01694961751355
90,0,6,200.90084984427097
91,0,6,202.62837818894212
92,0,6,204.5122784156995
93,0,6,206.56488612545004
94,0,6,208.0818929281712
95,0,6,210.20107660164052
81,1,6,211.20107660164052
82,1,6,212.20107660164055
83,1,6,214.60643505271332
84,1,6,216.1638883930238
85,1,6,217.98121265606233
86,1,6,220.00751651093756
87,1,6,221.80316276944106
88,1,6,223.69168884653848
89,1,6,225.5090131095771
90,1,6,227.39291333633437
91,1,6,229.2597614088968
92,1,6,231.25976140889676
93,1,6,233.4749088011871
94,1,6,234.9686956492596
95,1,6,237.34329882386277
96,0,6,238.34329882386277
97,0,6,239.3432988238628
98,0,6,241.49799547803468
99,0,6,243.3525505245431
100,0,6,245.33241447012125
101,0,6,247.5444779621848
102,0,6,249.34166617080157
103,0,6,250.9763146968786
104,0,6,252.7270629961984
105,0,6,254.9855663975589
106,0,6,257.05831016173124
107,0,6,259.10783397125505
108,0,6,261.20379769007593
109,0,6,263.43908113678793
110,0,6,265.32760721388547
111,0,6,267.37867297352255
112,0,6,269.21921719120974
113,0,6,271.1495573272642
114,0,6,273.13250517306915
115,0,6,275.13250517306915
116,0,6,277.069013109577
117,0,6,279.05041900526874
118,0,6,281.3785822705748
96,1,6,282.54112195311444
97,1,6,283.54112195311444
98,1,6,285.5507235080222
99,1,6,287.6200335177403
100,1,6,289.6463373726155
101,1,6,291.9280607286247
102,1,6,293.74846889188996
103,1,6,295.45277728191274
104,1,6,297.273185445178
105,1,6,299.46202898259304
106,1,6,301.51155279211673
107,1,6,303.3753169644524
108,1,6,305.3551809100305
109,1,6,307.63690426603966
110,1,6,309.5486502977856
111,1,6,311.5764961027744
112,1,6,313.48670018440697
113,1,6,315.4634802297585
114,1,6,317.30710834767234
115,1,6,319.2374484837267
116,1,6,322.98511288281975
117,1,6,328.2173124293049
118,1,6,331.27311185599393
