bar,repeat,movement,onset
1,0,1,10.238910713952382
2,0,1,10.472652210551022
3,0,1,11.762085317126987
4,0,1,12.888978741163267
5,0,1,14.155191893090706
6,0,2,16.97405810624263
7,0,2,20.162901643657595
8,0,2,23.49106490896372
9,0,2,26.726348355675732
10,0,3,28.845532029145126
11,0,3,29.591654478124717
12,0,3,31.06684722188888
13,0,3,32.19374064592517
14,0,3,33.459953797852606
15,0,4,36.06984041916779
16,0,4,39.39800368447392
17,0,4,42.795826813725625
18,0,4,45.868570577897955
19,0,4,49.10385402460998
20,0,4,52.24625765272789
21,0,4,55.458321144791384
22,0,4,58.81124631485939
23,0,4,62.3198177434308
24,0,4,65.7013143420703
25,0,4,68.89015787948524
26,0,4,72.56816241463264
27,0,5,74.98648441009728
28,0,5,77.35764087268254
29,0,5,78.87156377517688
30,0,5,80.40870663231972
31,0,5,81.92725538515417
32,0,5,83.44580413798866
33,0,5,85.1268925733628
34,0,5,86.60362726724034
35,0,5,88.12680187041494
36,0,5,89.81251615612923
37,0,5,91.40226672302266
38,0,5,93.018600607928
39,0,5,94.81396740329478
40,0,5,96.40217602007482
41,0,5,97.92072477290931
42,0,5,99.41605357109522
43,0,5,100.96244812891834
44,0,5,102.55528259603854
45,0,5,104.10167715386169
46,0,5,105.83074744864629
47,0,5,107.46693792483674
48,0,5,109.10621230125396
49,0,5,110.6240807819796
50,0,5,112.17115561191159
51,0,5,113.78258418334018
52,0,5,115.37079280012019
53,0,5,116.94040731259187
54,0,5,118.48680187041495
55,0,5,120.17251615612926
56,0,5,121.83192658696827
57,0,5,123.49133701780728
58,0,5,125.10739143957596
59,0,5,126.65224404728575
60,0,5,128.28918055522223
61,0,5,129.76516921735376
62,0,5,131.33169982959868
63,0,5,132.96789030578913
64,0,5,134.5607247729093
65,0,5,136.2433551583968
66,0,5,137.9522893987597
67,0,5,139.42594019241045
68,0,5,140.94911479558505
69,0,5,142.49088350306806
70,0,5,144.00943225590254
71,0,5,145.6440807819796
72,0,5,147.14403543050568
73,0,5,148.64399007903174
74,0,5,150.283264455449
75,0,5,151.82657511304538
76,0,5,153.62530527177552
77,0,5,155.19491978424722
78,0,5,156.71809438742187
79,0,5,158.26448894524495
80,0,5,159.97188123549438
81,0,6,163.06784495431518
82,0,6,163.7746798337215
83,0,6,164.46383959459556
84,0,6,166.38203996565306
85,0,6,167.8742848636123
86,0,6,169.27364994297733
87,0,6,170.813876700347
88,0,6,172.2147837298254
89,0,6,173.7534685370817
90,0,6,175.26584948946257
91,0,6,176.64507851440595
92,0,6,178.11101955748984
93,0,6,179.51346853708168
94,0,6,180.96081547585715
95,0,6,182.3137406459252
81,1,6,183.1047610540885
82,1,6,184.1047610540885
83,1,6,185.36000922743182
84,1,6,187.0226748862881
85,1,6,188.4684798749501
86,1,6,189.91490429837802
87,1,6,191.43129166633338
88,1,6,192.92507851440593
89,1,6,194.44054336701362
90,1,6,195.83682454615195
91,1,6,197.28571343504078
92,1,6,198.75165447812475
93,1,6,200.177323412365
94,1,6,201.62467035114062
95,1,6,203.02403543050568
96,0,6,204.02403543050568
97,0,6,204.88471570261453
98,0,6,206.2484553405462
99,0,6,207.68652976157145
100,0,6,209.15555470488215
101,0,6,210.71745946678683
102,0,6,212.02702862778466
103,0,6,213.45269756202498
104,0,6,214.83192658696822
105,0,6,216.5058494894626
106,0,6,217.93251615612922
107,0,6,219.3783211447914
108,0,6,220.87056604275062
109,0,6,222.5253506232494
110,0,6,224.11201728991614
111,0,6,225.5825841833402
112,0,6,227.09804903594792
113,0,6,228.56399007903173
114,0,6,229.98965901327216
115,0,6,231.3859401924104
116,0,6,232.92770889989347
117,0,6,234.42149574796593
118,0,6,235.91410345771675
96,1,6,237.19238010170753
97,1,6,237.7789032928021
98,1,6,239.40312455768193
99,1,6,240.576234976991
100,1,6,242.18457964819274
101,1,6,243.676824546152
102,1,6,245.1024934803923
103,1,6,246.6442621878753
104,1,6,248.0699311221157
105,1,6,249.67827579331743
106,1,6,251.0776408726826
107,1,6,252.66276558923582
108,1,6,254.01569075930385
109,1,6,255.6240354305057
110,1,6,257.2571420064694
111,1,6,258.7741488091905
112,1,6,260.2663937071497
113,1,6,261.7323347502336
114,1,6,263.22766354841957
115,1,6,264.7632644554491
116,1,6,269.3236272672404
117,1,6,275.6716544781335
118,1,6,282.43355924002947
