bar,repeat,movement,onset
1,0,1,10.26536822059443
2,0,1,10.522329671841597
3,0,1,11.788542823769031
4,0,1,12.93865620245384
5,0,1,14.1352094904357
6,0,2,16.234257109483323
7,0,2,20.16613919565112
8,0,2,23.447862551660194
9,0,2,25.729890576545362
10,0,3,28.54691017070781
11,0,3,29.68777184871234
12,0,3,31.09330472853093
13,0,3,32.220198152567214
14,0,3,33.46319134984612
15,0,4,36.14273783510689
16,0,4,39.40124123646744
17,0,4,42.82228432036766
18,0,4,45.73248840200031
19,0,4,49.01421175800939
20,0,4,52.29593511401846
21,0,4,55.50799860608195
22,0,4,58.8144838668529
23,0,4,62.42282853805473
24,0,4,65.7742117580094
25,0,4,68.9166153861273
26,0,4,72.94291924100257
27,0,5,74.6940303521133
28,0,5,77.40731833397312
29,0,5,78.89802128181893
30,0,5,80.41194418431326
31,0,5,81.9304929371477
32,0,5,83.44904168998218
33,0,5,85.13013012535633
34,0,5,86.60686481923388
35,0,5,88.15325937705701
36,0,5,89.83897366277128
37,0,5,91.4055042750162
38,0,5,93.04505811457004
39,0,5,94.86364486458535
40,0,5,96.4286335267169
41,0,5,97.92396232490283
42,0,5,99.41929112308875
43,0,5,100.94246572626335
44,0,5,102.53530019338356
45,0,5,104.08169475120667
46,0,5,105.88042490993688
47,0,5,107.51661538612733
48,0,5,109.13266980789604
49,0,5,110.6326244564221
50,0,5,112.17439316390511
51,0,5,113.78582173533371
52,0,5,115.3740303521137
53,0,5,116.9436448645854
54,0,5,118.49003942240847
55,0,5,120.1757537081228
56,0,5,121.8351641389618
57,0,5,123.51779452444933
58,0,5,125.06418908227243
59,0,5,126.60904168998223
60,0,5,128.26919718074993
61,0,5,129.7916267239958
62,0,5,131.49747706413186
63,0,5,132.94790790313414
64,0,5,134.56396232490283
65,0,5,136.2698126650389
66,0,5,137.93230699610464
67,0,5,139.47561765370102
68,0,5,140.97557230222708
69,0,5,142.49412105506158
70,0,5,144.01266980789606
71,0,5,145.64731833397312
72,0,5,147.14727298249917
73,0,5,148.64722763102526
74,0,5,150.26328205279398
75,0,5,151.85303261968744
76,0,5,153.62854282376904
77,0,5,155.17493738159223
78,0,5,156.74455189406385
79,0,5,158.26772649723847
80,0,5,160.114438515379
81,0,6,163.14074237025426
82,0,6,163.23116695388086
83,0,6,165.0772503067623
84,0,6,166.24595778975544
85,0,6,167.87752241560582
86,0,6,169.27688749497085
87,0,6,170.8171142523405
88,0,6,172.31090110041302
89,0,6,173.80314599837226
90,0,6,175.2923069961046
91,0,6,176.67153602104798
92,0,6,177.9052775176466
93,0,6,179.58636595302076
94,0,6,180.98727298249918
95,0,6,182.40985801651283
81,1,6,183.40985801651283
82,1,6,184.27724382798027
83,1,6,185.77006575552238
84,1,6,187.0491323929301
85,1,6,188.47171742694363
86,1,6,189.94074237025438
87,1,6,191.41130926367833
88,1,6,192.92831606639945
89,1,6,194.46700087365562
90,1,6,195.8865020074425
91,1,6,197.31217094168287
92,1,6,198.75489203011827
93,1,6,200.20378091900704
94,1,6,201.65112785778268
95,1,6,203.14337275574172
96,0,6,204.14337275574178
97,0,6,204.92284242115898
98,0,6,206.25185801651278
99,0,6,207.66654735891643
100,0,6,209.2052321661727
101,0,6,210.62781720018626
102,0,6,212.03026617977818
103,0,6,213.43271515937
104,0,6,214.92804395755587
105,0,6,216.5131686741092
106,0,6,217.95897366277126
107,0,6,219.38155869678494
108,0,6,220.87380359474415
109,0,6,222.5518081298915
110,0,6,224.11525484190966
111,0,6,225.60904168998218
112,0,6,227.0780666332929
113,0,6,228.59044758567373
114,0,6,229.99289656526565
115,0,6,231.48205756299802
116,0,6,232.930946451887
117,0,6,234.42473329995946
118,0,6,236.21883760834953
96,1,6,237.21883760834956
97,1,6,237.32631250306932
98,1,6,239.29247630827396
99,1,6,240.58397976777738
100,1,6,242.18781720018626
101,1,6,243.70328205279404
102,1,6,245.10573103238582
103,1,6,246.67071969451732
104,1,6,248.09638862875772
105,1,6,249.67230699610462
106,1,6,251.08087842467611
107,1,6,252.66600314122934
108,1,6,254.04214826594594
109,1,6,255.6504929371478
110,1,6,257.2371596038144
111,1,6,258.8006063158325
112,1,6,260.2464113044947
113,1,6,261.75879225687567
114,1,6,263.25412105506155
115,1,6,264.78972196209105
116,1,6,269.44296459247647
117,1,6,276.51298726821966
118,1,6,282.436796792023
