bar,repeat,movement,onset
1,0,1,0.5080325963718926
2,0,1,0.7882140022675844
3,0,1,1.8454475623582869
4,0,1,2.6937015306122554
5,0,1,3.534291099773254
6,0,2,5.61778316326532
7,0,2,8.620867063492073
8,0,2,11.275651643990933
9,0,2,13.675016723356014
10,0,3,16.42113917233561
11,0,3,17.445901077097513
12,0,3,18.596368197278924
13,0,3,19.490708333333345
14,0,3,20.338962301587316
15,0,4,22.043270691609994
16,0,4,24.837375000000016
17,0,4,27.445719671201832
18,0,4,30.100504251700695
19,0,4,34.10204620181407
20,0,4,36.84971060090706
21,0,4,39.52771513605444
22,0,4,42.41624121315194
23,0,4,45.21188747165535
24,0,4,48.09887159863947
25,0,4,50.96263577097508
26,0,4,54.70957454648536
27,0,5,58.29760175736975
28,0,5,61.566354591836756
29,0,5,63.173157312925184
30,0,5,64.71030017006807
31,0,5,66.32172874149661
32,0,5,67.97959722222222
33,0,5,69.49814597505672
34,0,5,70.95166071428572
35,0,5,72.45161536281181
36,0,5,73.8819101473923
37,0,5,75.37878089569165
38,0,5,76.94531150793652
39,0,5,78.53506207482995
40,0,5,80.23937046485261
41,0,5,81.82757908163265
42,0,5,83.34612783446713
43,0,5,84.79964257369616
44,0,5,86.29959722222223
45,0,5,87.75311196145125
46,0,5,89.24998270975058
47,0,5,90.72363350340137
48,0,5,92.1771482426304
49,0,5,93.44490334467122
50,0,5,94.91701218820864
51,0,5,96.3659010770975
52,0,5,97.83800992063492
53,0,5,99.24508475056689
54,0,5,100.62893962585034
55,0,5,102.0127945011338
56,0,5,103.46322534013608
57,0,5,104.84399631519274
58,0,5,106.27429109977325
59,0,5,107.72626388888887
60,0,5,109.08535685941047
61,0,5,110.53732964852608
62,0,5,112.03420039682537
63,0,5,113.25243168934242
64,0,5,114.5666267006803
65,0,5,115.9009577664399
66,0,5,117.12227295918366
67,0,5,118.38694416099774
68,0,5,119.60825935374152
69,0,5,121.12680810657598
70,0,5,122.55247704081633
71,0,5,123.95492602040818
72,0,5,125.26912103174604
73,0,5,126.6529759070295
74,0,5,127.96717091836739
75,0,5,129.39438180272109
76,0,5,130.72871286848073
77,0,5,132.0893477891157
78,0,5,133.40354280045352
79,0,5,134.69451785714293
80,0,5,136.23401899092977
81,0,6,139.91583304988666
82,0,6,140.71415237761775
83,0,6,142.22753896302112
84,0,6,143.43900765306128
85,0,6,144.76871286848072
86,0,6,146.14485799319732
87,0,6,147.61542488662133
88,0,6,149.15565164399098
89,0,6,150.5782366780045
90,0,6,152.18349744897958
91,0,6,153.60916638322004
92,0,6,155.09832738095233
93,0,6,156.59365617913838
94,0,6,158.01778316326534
95,0,6,159.62612783446716
81,1,6,160.5872635931184
82,1,6,160.60900272355323
83,1,6,162.62698619407112
84,1,6,164.2421822562358
85,1,6,165.45578769841273
86,1,6,166.92543128234203
87,1,6,168.3489396258504
88,1,6,169.81950651927443
89,1,6,171.21887159863948
90,1,6,172.77769246031752
91,1,6,174.0640416666667
92,1,6,175.32100311791388
93,1,6,176.8395518707483
94,1,6,178.1707990362812
95,1,6,179.66304393424036
96,0,6,180.70948384353738
97,0,6,181.1947551613669
98,0,6,182.70436879205235
99,0,6,184.23265844671204
100,0,6,185.63202352607712
101,0,6,187.10104846938776
102,0,6,188.5963772675737
103,0,6,189.90594642857147
104,0,6,191.30839540816322
105,0,6,192.77742035147403
106,0,6,194.15356547619044
107,0,6,195.48592375283454
108,0,6,196.74331604308387
109,0,6,198.25878089569161
110,0,6,199.79900765306118
111,0,6,201.26957454648533
112,0,6,202.57605980725617
113,0,6,203.99556094104307
114,0,6,205.44444982993204
115,0,6,206.84073100907025
116,0,6,208.3360598072563
117,0,6,209.7369668367347
118,0,6,211.08989200680278
96,1,6,212.1827718253969
97,1,6,213.15697714388787
98,1,6,214.12168091630596
99,1,6,215.56662670068027
100,1,6,216.89633191609983
101,1,6,218.34213690476193
102,1,6,219.79102579365082
103,1,6,221.10059495464853
104,1,6,222.59592375283447
105,1,6,224.08816865079368
106,1,6,225.18567431972798
107,1,6,226.60825935374152
108,1,6,227.68254506802728
109,1,6,229.19800992063492
110,1,6,230.64535685941047
111,1,6,232.0927037981859
112,1,6,233.3295291950114
113,1,6,234.72581037414975
114,1,6,236.01215958049892
115,1,6,237.19946116780054
116,1,6,240.32018679138324
117,1,6,245.0415473356009
118,1,6,249.0415473356009
