bar,repeat,movement,onset
1,0,1,1.6656092687075899
2,0,1,1.9225707199547553
3,0,1,2.8637045068028266
4,0,1,3.735178429705322
5,0,1,4.560212443310764
6,0,2,8.447196570294892
7,0,2,12.797037840136163
8,0,2,17.332638747165642
9,0,2,21.36755938208631
10,0,3,24.869781604308496
11,0,3,26.242842828798292
12,0,3,27.439396116780145
13,0,3,28.33408999433117
14,0,3,29.321663690476292
15,0,4,33.208647817460424
16,0,4,37.16374985827676
17,0,4,41.93155031179148
18,0,4,45.515133078231386
19,0,4,50.14361380385498
20,0,4,53.727196570294886
21,0,4,57.33399929138333
22,0,4,60.91912400793662
23,0,4,65.21173171768717
24,0,4,68.98334169501148
25,0,4,72.99495167233573
26,0,4,78.98588137755225
27,0,5,82.54914668367358
28,0,5,85.66524645691622
29,0,5,87.06306958616791
30,0,5,88.48411267006816
31,0,5,89.97944146825408
32,0,5,91.47477026644005
33,0,5,92.94687910997746
34,0,5,94.3539539399094
35,0,5,95.73780881519286
36,0,5,97.16810359977337
37,0,5,99.40801289682553
38,0,5,101.90683375850351
39,0,5,105.23458886054435
40,0,5,106.63703784013617
41,0,5,108.01626686507952
42,0,5,109.53481561791395
43,0,5,110.89545053854887
44,0,5,112.2793054138323
45,0,5,113.75604010770986
46,0,5,116.34424872448989
47,0,5,119.39685643424045
48,0,5,121.17545053854884
49,0,5,122.44320564058964
50,0,5,123.84565462018149
51,0,5,125.2248836451248
52,0,5,126.67377253401368
53,0,5,128.00828500566905
54,0,5,129.32882166477714
55,0,5,130.80211720521552
56,0,5,133.0884664115647
57,0,5,135.23549589002278
58,0,5,136.5496909013607
59,0,5,137.88556391723364
60,0,5,139.1749970238096
61,0,5,140.51087003968263
62,0,5,142.17028047052165
63,0,5,143.5278314909298
64,0,5,144.95812627551027
65,0,5,147.01227593537425
66,0,5,148.4193507653062
67,0,5,150.6592600623583
68,0,5,151.9502351190477
69,0,5,153.3062441893425
70,0,5,154.73191312358287
71,0,5,156.13436210317468
72,0,5,157.42507137913316
73,0,5,158.66987230725633
74,0,5,160.1466070011339
75,0,5,162.43295620748307
76,0,5,165.13726459750572
77,0,5,166.54433942743776
78,0,5,167.83531448412708
79,0,5,169.03500155895702
80,0,5,170.60148228458056
81,0,6,173.81354577664408
82,0,6,174.40576346371893
83,0,6,175.70647466404606
84,0,6,176.59368183106588
85,0,6,177.78406731859417
86,0,6,179.02089271541962
87,0,6,180.2128201530613
88,0,6,181.47440745464866
89,0,6,182.75767276077104
90,0,6,184.0842940759638
91,0,6,185.34742332766444
92,0,6,186.72048455215426
93,0,6,187.96039384920647
94,0,6,189.33808092403635
95,0,6,190.6910060941044
81,1,6,191.69100609410438
82,1,6,192.33097325338193
83,1,6,193.60902847245467
84,1,6,194.5175820578232
85,1,6,195.7079675453516
86,1,6,196.9447929421769
87,1,6,198.09028047052166
88,1,6,199.37508772675739
89,1,6,200.68323371531164
90,1,6,201.96175439342417
91,1,6,203.22488364512483
92,1,6,204.57975892857158
93,1,6,205.90830561997538
94,1,6,207.21554124149665
95,1,6,208.96320564058965
96,0,6,209.96320564058965
97,0,6,210.51363263624668
98,0,6,211.76919072061202
99,0,6,212.74334169501145
100,0,6,214.02660700113384
101,0,6,215.42597208049895
102,0,6,216.66588137755107
103,0,6,217.90579067460328
104,0,6,219.26179974489807
105,0,6,220.75404464285717
106,0,6,222.15340972222234
107,0,6,223.57599475623599
108,0,6,224.99857979024952
109,0,6,226.42116482426317
110,0,6,227.72919203514746
111,0,6,229.13009906462597
112,0,6,230.45980428004543
113,0,6,231.89699248866222
114,0,6,233.33101617220973
115,0,6,234.70125552721092
116,0,6,236.05726459750576
117,0,6,237.3420718537416
118,0,6,238.97363647959187
96,1,6,239.9968564342404
97,1,6,240.5802490733474
98,1,6,241.74616385244585
99,1,6,242.63767276077104
100,1,6,243.75839838435385
101,1,6,244.92556391723363
102,1,6,246.0493734410432
103,1,6,247.12674305555564
104,1,6,248.29699248866217
105,1,6,249.55703784013613
106,1,6,250.7242033730159
107,1,6,252.03068863378692
108,1,6,253.22107412131533
109,1,6,254.5972192460318
110,1,6,255.7891466836736
111,1,6,257.0507339852609
112,1,6,258.31077933673487
113,1,6,259.4748609693878
114,1,6,260.6451104024945
115,1,6,261.76275212585045
116,1,6,263.9314596088437
117,1,6,269.6744981575965
118,1,6,273.67449815759653
