bar,repeat,movement,onset
1,0,1,0.3225430835668291
2,0,1,1.6290283443378037
3,0,1,5.093427437308327
4,0,1,8.190933106242566
5,0,1,11.77914172302261
6,0,1,15.873563491730092
7,0,1,19.087168933906963
8,0,1,22.138234693544156
9,0,1,25.005082766106515
10,0,1,28.12580838968928
11,0,1,31.131976190142794
12,0,1,34.368801586968196
13,0,1,37.981772108510135
14,0,1,40.941499999666604
15,0,1,45.42149999966662
1,1,1,48.65823469354415
2,1,1,49.65823469354415
3,1,1,52.91828004501807
4,1,1,55.621046484927376
5,1,1,59.41823469354414
6,1,1,63.36735033980263
7,1,1,66.67982199513146
8,1,1,69.75410770941717
9,1,1,72.6673956912766
10,1,1,75.76490136021083
11,1,1,78.79428911531288
12,1,1,82.1472142853809
13,1,1,85.92272448946254
14,1,1,88.95211224456456
15,1,1,93.18948185907703
16,0,1,96.45224829898666
17,0,1,97.94748639422444
18,0,1,101.71837074796593
19,0,1,104.81587641690015
20,0,1,107.8424576540462
21,0,1,111.6858083896893
22,0,1,114.9473956912766
23,0,1,118.09288321962127
24,0,1,121.42258843504075
25,0,1,124.91483333299992
26,0,1,128.1980986391224
27,0,1,131.4581439905963
28,0,1,134.83428911531286
29,0,1,138.81569501100446
30,0,1,142.498325396492
31,0,1,146.08499206315864
32,0,1,150.2180532876484
33,0,2,151.29397165499537
34,0,2,158.1268061221156
35,0,2,160.2212278908231
36,0,2,162.16236167767113
37,0,2,164.22113718787523
38,0,2,166.236556689009
39,0,2,168.24580838968924
40,0,2,170.39592176837408
41,0,2,172.5692551017074
42,0,2,174.51193083866886
43,0,2,177.33850680238766
44,0,2,179.08617120148065
45,0,2,181.16970861644663
46,0,2,183.18512811758043
47,0,2,185.24698752801126
48,0,2,187.49306462551695
49,0,2,189.59057029445114
50,0,2,191.67256575930375
51,0,2,194.1044024939977
52,0,2,196.18331405862347
53,0,2,198.28544557789783
54,0,2,200.08352569883516
55,0,2,202.545400226424
56,0,2,204.6707517003469
57,0,2,206.70108276610654
58,0,2,208.9709784577165
59,0,2,210.95546825363482
60,0,2,213.06376757336278
61,0,2,215.13179478424715
62,0,2,217.19673809490473
63,0,2,219.2322936504603
64,0,2,221.3591870744966
65,0,3,226.24154535114062
66,0,3,228.03873355975736
67,0,3,229.32354081599314
68,0,3,230.56345011304535
69,0,3,231.87301927404303
70,0,3,233.15782653027887
71,0,3,234.72127324229703
72,0,3,236.0772823125918
73,0,3,237.3620895688277
74,0,3,238.6716587298254
75,0,3,239.95954988628793
76,0,3,241.24589909263716
77,0,3,242.8325657593038
78,0,3,244.23501473889567
79,0,3,245.51982199513148
80,0,3,246.8526111107777
81,0,3,248.18540022642406
82,0,3,249.4702074826598
83,0,3,251.10331405862357
84,0,3,252.5986428568095
85,0,3,253.97729742974974
86,0,3,255.24100113345358
87,0,3,256.6202301583968
88,0,3,257.906579364746
89,0,3,259.5765056686008
90,0,3,260.7099353738163
91,0,3,262.01796258470057
92,0,3,263.35075170034696
93,0,3,264.6835408159931
94,0,3,266.06122789082315
95,0,3,267.7797592485717
96,0,3,268.9574637184875
97,0,3,270.31347278878224
98,0,3,271.72720191679707
99,0,3,273.00381292483667
100,0,3,274.2901621311859
65,1,3,276.1337902490998
66,1,3,277.513019274043
67,1,3,278.9371462581701
68,1,3,280.1770555552222
69,1,3,281.533064625517
70,1,3,283.02685147358955
