bar,repeat,movement,onset
1,0,1,1.8224831352539745
2,0,1,2.8224831352539748
3,0,1,6.802347080832206
4,0,1,10.433911706682544
5,0,1,13.813140731625856
6,0,1,17.628923044551026
7,0,1,21.492687216886633
8,0,1,24.938492205548762
9,0,1,27.921440051353752
10,0,1,31.506564767907037
11,0,1,34.837811933439916
12,0,1,38.655136196478466
13,0,1,42.31454662731747
14,0,1,45.1581747452313
15,0,1,48.78665547085489
1,1,1,49.92597519874604
2,1,1,51.99590717153512
3,1,1,56.48479606042406
4,1,1,59.81450127584355
5,1,1,63.28661011938096
6,1,1,66.98629265906351
7,1,1,70.45531760237415
8,1,1,73.85468268173923
9,1,1,77.0001702100839
10,1,1,80.2137756522608
11,1,1,83.0574037701746
12,1,1,86.75862825997054
13,1,1,90.27871896291839
14,1,1,93.19200694477779
15,1,1,96.84370762504986
16,0,1,99.17921782913182
17,0,1,100.60842417833787
18,0,1,104.54184821461907
19,0,1,108.12697293117235
20,0,1,111.45976204681861
21,0,1,114.97368494931293
22,0,1,118.37459197879139
23,0,1,121.89159878151247
24,0,1,124.9194445865011
25,0,1,128.5974491216485
26,0,1,131.8110545638254
27,0,1,135.39617928037868
28,0,1,138.67944458650115
29,0,1,142.63763052754422
30,0,1,146.50602055021994
31,0,1,149.60506816926755
32,0,1,153.3728686227823
16,1,1,155.80561238695395
17,1,1,156.9950908450045
18,1,1,161.11744912164852
19,1,1,164.841893566093
20,1,1,168.5229820014671
21,1,1,172.01368494931293
22,1,1,175.3681520694943
23,1,1,178.6761792803787
24,1,1,182.0291044504467
25,1,1,185.6374491216485
26,1,1,189.15291397425625
27,1,1,192.92379832799767
28,1,1,196.39282327130837
29,1,1,200.39744912164855
30,1,1,204.33549900826984
31,1,1,207.45776658196598
32,1,1,212.06148540282769
33,0,2,215.22239243230635
34,0,2,220.03363959783903
35,0,2,222.0816214572494
36,0,2,224.1620749719887
37,0,2,226.36017021008388
38,0,2,228.35236975656917
39,0,2,230.3616214572494
40,0,2,232.4420749719887
41,0,2,234.52252848672788
42,0,2,236.5116441329864
43,0,2,239.17568041416556
44,0,2,241.68960331665983
45,0,2,243.63382100373468
46,0,2,245.53314073162588
47,0,2,247.71109991529931
48,0,2,249.91073710350796
49,0,2,251.82248313525398
50,0,2,253.7852949266372
51,0,2,256.0344559243696
52,0,2,258.183027352941
53,0,2,260.1226191896757
54,0,2,262.5126418654127
55,0,2,264.52189356609296
56,0,2,266.39182553888213
57,0,2,268.5264287134852
58,0,2,270.6456123869546
59,0,2,272.86230172935825
60,0,2,274.59908177470976
61,0,2,276.4349094391089
62,0,2,278.4766327951179
63,0,2,280.44252848672784
64,0,2,282.43010218287293
65,0,3,287.17314073162584
66,0,3,288.41305002867796
67,0,3,289.65141737561675
68,0,3,290.7287869901292
69,0,3,291.9454763325329
70,0,3,293.13740377017456
71,0,3,294.538310799653
72,0,3,295.8710999152993
73,0,3,297.0862473075896
74,0,3,298.39581646858727
75,0,3,299.73014753434694
76,0,3,301.10937655929024
77,0,3,303.2997620468186
78,0,3,304.7486509357075
79,0,3,305.9870182826462
80,0,3,307.1572677157528
81,0,3,308.3739570581564
82,0,3,309.6587643143923
83,0,3,311.291870890356
84,0,3,312.8104196431904
85,0,3,314.0255670354808
86,0,3,315.22057837334916
87,0,3,316.623027352941
88,0,3,317.97903642323587
89,0,3,319.68321409430433
90,0,3,321.01459197879143
91,0,3,322.2529593257301
92,0,3,323.3999888041881
93,0,3,324.59345819194334
94,0,3,325.80860558423353
95,0,3,327.0005330218752
96,0,3,328.98348086768027
97,0,3,330.29305002867795
98,0,3,331.69706151771805
99,0,3,332.9601702100839
100,0,3,334.36261918967574
65,1,3,337.9969956069092
66,1,3,339.9074717973855
67,1,3,340.9832994617845
68,1,3,341.9213493484059
69,1,3,346.17985274976644
70,1,3,351.0869729311722
