bar,repeat,movement,onset
1,0,1,0.47429832766441155
2,0,1,4.384502409297064
3,0,1,7.783867488662145
4,0,1,11.347314200680286
5,0,1,15.15067020975058
6,0,1,18.862688350340147
7,0,1,22.890534155328808
8,0,1,26.80998993764173
9,0,1,30.68300581065762
10,0,1,35.03593098072564
11,0,1,39.45851601473924
12,0,1,43.39502395124718
13,0,1,47.492529620181415
14,0,1,52.054434382086185
1,1,1,55.08228018707485
2,1,1,59.36400354308391
3,1,1,62.43828925736961
4,1,1,66.28037542517006
5,1,1,69.96763166099774
6,1,1,74.21370875850339
7,1,1,77.8235953798186
8,1,1,81.81377004427898
9,1,1,85.91792644557825
10,1,1,90.06187202380951
11,1,1,94.20581760204082
12,1,1,98.32808517573696
13,1,1,102.4023708900227
15,0,2,107.19383120748302
16,0,2,107.4085386904762
17,0,2,108.27230286281178
18,0,2,109.1608289399093
19,0,2,110.07103302154196
20,0,2,110.91620308956917
21,0,2,111.76137315759638
22,0,2,112.65298313492069
23,0,2,113.5213731575964
24,0,2,114.38976318027213
25,0,2,115.23493324829937
26,0,2,116.14976318027213
27,0,2,117.04137315759638
28,0,2,117.95620308956919
29,0,2,118.82459311224493
30,0,2,119.82767701247168
31,0,2,120.69606703514745
32,0,2,121.58767701247166
33,0,2,122.49474229472493
34,0,2,123.48391284013606
35,0,2,124.35274474896798
36,0,2,125.19747293083906
37,0,2,125.95425729537848
38,0,2,126.99928698979598
39,0,2,127.98223483560093
40,0,2,128.98531873582772
41,0,2,129.96672463151933
42,0,2,130.9728924319728
43,0,2,131.93107837301588
44,0,2,132.8443663548753
45,0,2,133.75681460299174
46,0,2,134.6461804138322
47,0,2,135.60436635487528
48,0,2,136.70551357919712
49,0,2,137.63529606009075
50,0,2,138.5253640873016
51,0,2,139.34731420068027
52,0,2,140.33026204648527
53,0,2,141.26676998299322
54,0,2,142.1336180555556
55,0,2,143.0484479875284
56,0,2,143.96173596938777
57,0,2,144.87194005102043
58,0,2,145.806906037415
59,0,2,146.74033007369616
60,0,2,147.7449559240363
61,0,2,148.65978585600908
62,0,2,149.55139583333337
63,0,2,150.4197858560091
64,0,2,151.3779717970522
65,0,2,152.31602168367348
66,0,2,153.1611917517007
67,0,2,154.16581760204082
68,0,2,155.21534141156462
69,0,2,156.15339129818594
70,0,2,157.04500127551023
71,0,2,158.19203075396825
72,0,2,158.98767701247166
73,0,2,159.8560670351474
74,0,2,160.7708969671202
75,0,2,161.6625069444445
76,0,2,162.66559084467127
77,0,2,163.5572008219955
78,0,2,164.58350467687077
79,0,2,165.49833460884358
80,0,2,166.57107837301595
81,0,2,167.43946839569162
82,0,2,168.3759763321995
83,0,2,169.40382213718823
84,0,2,170.29543211451247
85,0,2,171.23348200113384
86,0,3,172.93779039115648
87,0,3,176.29225751133785
88,0,3,180.15602168367346
89,0,3,184.27674730725627
90,0,3,187.56001261337866
91,0,3,191.95937769274377
92,0,3,196.26586295351478
93,0,3,200.34169061791388
94,0,3,204.57851601473922
95,0,3,208.9756046279623
16,1,2,209.56146386054422
17,1,2,210.47166794217694
18,1,2,211.3601940192744
19,1,2,212.31683801020412
20,1,2,213.13878812358277
21,1,2,213.98395819161
22,1,2,214.87556816893428
23,1,2,215.79039810090705
24,1,2,216.7284479875284
25,1,2,217.5968380102041
26,1,2,218.44200807823128
27,1,2,219.3336180555556
28,1,2,220.2020080782313
29,1,2,221.07039810090708
30,1,2,222.07348200113384
31,1,2,222.98831193310656
32,1,2,223.8334820011339
33,1,2,224.67865206916105
34,1,2,225.7064978741497
35,1,2,226.64454776077105
36,1,2,227.6058176020408
37,1,2,228.49742757936514
38,1,2,229.54695138888889
39,1,2,230.52989923469391
40,1,2,231.46332327097502
41,1,2,232.4447291666667
42,1,2,233.38123710317458
43,1,2,234.31620308956917
44,1,2,235.22949107142855
45,1,2,236.16445705782317
46,1,2,237.03130513038548
47,1,2,238.03593098072562
48,1,2,239.15357270408168
49,1,2,240.06686068594107
50,1,2,241.02658857709756
51,1,2,241.89497859977322
52,1,2,242.85470649092971
53,1,2,243.74477451814064
54,1,2,244.5651826814059
55,1,2,245.52645252267578
56,1,2,246.43974050453514
57,1,2,247.3963844954649
58,1,2,248.30813052721084
59,1,2,249.2647745181406
60,1,2,250.36228018707487
61,1,2,251.2538901643991
62,1,2,252.16872009637186
63,1,2,253.06033007369624
64,1,2,254.04173596938776
65,1,2,254.97978585600916
66,1,2,255.87139583333337
