bar,repeat,movement,onset
1,0,1,14.96321995466208
2,0,1,18.130385487541893
3,0,1,21.018911564639406
4,0,1,24.025079365092914
5,0,1,27.178276644004484
6,0,1,30.03292517008158
7,0,1,33.120868480739176
8,0,1,36.236961451260726
9,0,1,39.297278911578175
10,0,1,42.419546485274324
11,0,1,45.72757369615867
12,0,1,49.01392290250788
13,0,1,52.391609977337815
14,0,1,56.44267573697501
1,1,1,59.191882086181366
2,1,1,62.21972789117003
3,1,1,65.01537414967342
4,1,1,67.65002267575053
5,1,1,70.52458049887979
6,1,1,73.26136054423125
7,1,1,76.2907482993333
8,1,1,79.4675594428383
9,1,1,82.36494331067118
10,1,1,85.46399092971878
11,1,1,88.67913832200904
12,1,1,91.89582766441266
13,1,1,95.2735147392426
15,0,2,99.34780045352832
16,0,2,100.34934240364169
17,0,2,101.18988662132877
18,0,2,102.05519274377772
19,0,2,102.84929705216777
20,0,2,103.64802721089792
21,0,2,104.44675736962809
22,0,2,105.36158730160088
23,0,2,106.25319727892514
24,0,2,107.09836734695232
25,0,2,107.92031746033105
26,0,2,108.92802721089792
27,0,2,109.77319727892512
28,0,2,110.7576870748435
29,0,2,111.62607709751924
30,0,2,112.69882086169156
31,0,2,113.56721088436731
32,0,2,114.34272108844891
33,0,2,115.16467120182764
34,0,2,116.14607709751922
35,0,2,116.9448072562494
36,0,2,117.720317460331
37,0,2,118.51904761906117
38,0,2,119.66108145823786
39,0,2,120.29609977325619
40,0,2,121.29918367348297
41,0,2,122.16448979593191
42,0,2,123.07777777779135
43,0,2,123.94308390024032
44,0,2,124.69383219956003
45,0,2,125.65201814060312
46,0,2,126.49564625851698
47,0,2,127.3377324263174
48,0,2,128.45537414967345
49,0,2,129.2990022675873
50,0,2,130.16585034014963
51,0,2,130.98780045352834
52,0,2,131.9707482993333
53,0,2,132.86081632654418
54,0,2,133.72766439910654
55,0,2,134.5496145124852
56,0,2,135.53256235829022
57,0,2,136.41954648527434
58,0,2,137.23841269842626
59,0,2,138.10217687076187
60,0,2,139.08358276645347
61,0,2,139.9287528344807
62,0,2,140.82036281180496
63,0,2,141.64231292518366
64,0,2,142.55405895692968
65,0,2,143.39922902495687
66,0,2,144.29083900228113
67,0,2,145.20258503402718
68,0,2,146.298548752848
69,0,2,147.1204988662267
70,0,2,147.94244897960542
71,0,2,148.71795918368701
72,0,2,149.74580498867573
73,0,2,150.56775510205438
74,0,2,151.36648526078454
75,0,2,152.1419954648662
76,0,2,153.09863945579582
77,0,2,153.99024943312017
78,0,2,154.87723356010426
79,0,2,155.74562358278
80,0,2,156.6326077097642
81,0,2,157.57065759638547
82,0,2,158.41428571429924
83,0,2,159.34925170069386
84,0,2,160.2640816326666
85,0,2,161.06281179139683
86,0,3,162.81356009071652
87,0,3,166.00548752835823
88,0,3,168.7779138322131
89,0,3,172.0859410430975
90,0,3,174.32430839003624
91,0,3,177.37691609978677
92,0,3,180.49918367348297
93,0,3,183.56993197280272
94,0,3,187.0006802721224
95,0,3,190.8892063492199
