bar,repeat,movement,onset
1,0,1,0.38243275226750884
2,0,1,3.17807901077091
3,0,1,5.85762549603168
4,0,1,8.9566731150793
5,0,1,11.900890802154128
6,0,1,14.75553932823123
7,0,1,17.643838647959118
8,0,1,20.727376062925103
9,0,1,23.880573341836676
10,0,1,26.770641369047553
11,0,1,29.66070939625845
12,0,1,32.52909941893418
13,0,1,35.27984771825392
14,0,1,38.72719465702942
1,1,1,41.26742141439903
2,1,1,43.59866857993192
3,1,1,46.20855520124709
4,1,1,49.098623228457974
5,1,1,51.67132164115639
6,1,1,54.1759021400226
7,1,1,56.717670847505595
8,1,1,59.61544862528337
9,1,1,62.23458694727884
10,1,1,64.93889533730153
11,1,1,67.36456427154188
12,1,1,69.93109488378676
13,1,1,72.35676381802713
15,0,2,75.68801098356002
16,0,2,76.94497243480717
17,0,2,77.85517651643985
18,0,2,78.76692254818586
19,0,2,79.60746676587294
20,0,2,80.45263683390014
21,0,2,81.29780690192737
22,0,2,82.1894168792516
23,0,2,83.1042468112244
24,0,2,83.94941687925164
25,0,2,84.81780690192736
26,0,2,85.66297696995454
27,0,2,86.50814703798179
28,0,2,87.37653706065751
29,0,2,88.12882731009061
30,0,2,89.13191121031741
31,0,2,90.02352118764163
32,0,2,90.87054589226034
33,0,2,91.69064136904755
34,0,2,92.64882731009064
35,0,2,93.58687719671194
36,0,2,94.45526721938768
37,0,2,95.32365724206343
38,0,2,96.25708127834457
39,0,2,97.19358921485254
40,0,2,98.17345316043077
41,0,2,99.01553932823121
42,0,2,99.92882731009063
43,0,2,100.77091347789106
44,0,2,101.66098150510199
45,0,2,102.5502090183295
46,0,2,103.41635565476182
47,0,2,104.32810168650785
48,0,2,105.39930350056677
49,0,2,106.33581143707474
50,0,2,107.22587946428564
51,0,2,108.09426948696138
52,0,2,109.03077742346932
53,0,2,109.94406540532871
54,0,2,110.8573533871881
55,0,2,111.72574340986387
56,0,2,112.68547130102034
57,0,2,113.59567538265296
58,0,2,114.50742141439898
59,0,2,115.4176254960317
60,0,2,116.37581143707473
61,0,2,117.31386132369605
62,0,2,118.18225134637181
63,0,2,119.09708127834458
