bar,repeat,movement,onset
1,0,1,0.4201074496193734
2,0,1,3.146093844177196
3,0,1,5.825640329437967
4,0,1,8.924687948485584
5,0,1,12.054665272748624
6,0,1,14.745005408803047
7,0,1,17.611853481365404
8,0,1,20.695390896331393
9,0,1,23.825368220594438
10,0,1,26.73865620245384
11,0,1,29.628724229664737
12,0,1,32.47389429769194
13,0,1,35.27108250630872
14,0,1,38.718429445084226
1,1,1,41.23543624780532
2,1,1,43.61312332263525
3,1,1,46.08369021605927
4,1,1,49.06663806186426
5,1,1,51.639336474562676
6,1,1,54.14391697342888
7,1,1,56.708905635560406
8,1,1,59.56130252224302
9,1,1,62.43480132717039
10,1,1,64.74437048816813
11,1,1,67.33257910494818
12,1,1,69.89910971719306
13,1,1,72.34799860608194
15,0,2,75.65602581696632
16,0,2,76.936207222862
17,0,2,77.86963125914319
18,0,2,78.73493738159216
19,0,2,79.62192150857629
20,0,2,80.46709157660351
21,0,2,81.4748013271704
22,0,2,82.1574317126579
23,0,2,83.07226164463069
24,0,2,83.91743171265794
25,0,2,84.80904168998217
26,0,2,85.6542117580094
27,0,2,86.45294191673956
28,0,2,87.36777184871235
29,0,2,88.37723087041626
30,0,2,89.12314599837224
31,0,2,90.01475597569645
32,0,2,90.85992604372368
33,0,2,91.70509611175092
34,0,2,92.64006209814545
35,0,2,93.57811198476676
36,0,2,94.4465020074425
37,0,2,95.31489203011826
38,0,2,96.22509611175087
39,0,2,97.16160404825882
40,0,2,98.14146799383707
41,0,2,98.98355416163751
42,0,2,99.92006209814544
43,0,2,100.73892831129734
44,0,2,101.60577638385976
45,0,2,102.5175224156058
46,0,2,103.40759044281664
47,0,2,104.31933647456268
48,0,2,105.39053828862164
49,0,2,106.32704622512955
50,0,2,107.24033420698899
51,0,2,108.0855042750162
52,0,2,109.04523216617268
53,0,2,109.93530019338354
54,0,2,110.82536822059438
55,0,2,111.7401981525672
56,0,2,112.65348613442664
57,0,2,113.56369021605926
58,0,2,114.47543624780528
