bar,repeat,movement,onset
1,0,1,1.872209892623619
2,0,1,6.084273384687112
3,0,1,10.180237103507972
4,0,1,14.393842545684842
5,0,1,18.82413733026534
6,0,1,23.906132795117948
7,0,1,27.353479733893458
8,0,1,31.01751601507259
9,0,1,34.705213831041085
10,0,1,38.43075864545809
11,0,1,42.597924178337905
12,0,1,46.743411706682565
13,0,1,50.773377096347204
14,0,1,55.4260420921701
1,1,1,58.77896726223813
2,1,1,62.87493098105898
3,1,1,66.71547519874608
4,1,1,70.99874050486851
5,1,1,75.22005569761227
6,1,1,80.44137089035604
7,1,1,84.19057723956237
8,1,1,88.01715320328121
9,1,1,92.04400127584357
10,1,1,95.98767474523135
11,1,1,100.17806023275968
12,1,1,104.32354776110434
13,1,1,108.18885388355329
15,0,2,113.16871782913155
16,0,2,114.2399196431905
17,0,2,115.08046386087757
18,0,2,116.03864980192067
19,0,2,116.92563392890482
20,0,2,117.79402395158053
21,0,2,118.63919401960773
22,0,2,119.48436408763494
23,0,2,120.39919401960772
24,0,2,121.52300354341727
25,0,2,122.4146135207415
26,0,2,123.37588336201132
27,0,2,124.38359311257825
28,0,2,125.48418268173927
29,0,2,126.70087202414285
30,0,2,128.0754751987461
31,0,2,129.05996499466443
32,0,2,130.02123483593425
33,0,2,130.8664049039615
34,0,2,131.9406906182472
35,0,2,132.80908064092296
36,0,2,133.65425070895014
37,0,2,134.54586068627444
38,0,2,135.78114413298644
39,0,2,136.8105318880885
40,0,2,137.81361578831525
41,0,2,139.0040012758436
42,0,2,140.21914866813387
43,0,2,141.33987429171663
44,0,2,142.39248200146716
45,0,2,143.51320762504994
46,0,2,144.51937542550348
47,0,2,145.5472212304921
48,0,2,147.0363822282245
49,0,2,148.04255002867805
50,0,2,149.02549787448305
51,0,2,149.9867677157529
52,0,2,151.29479492663725
53,0,2,152.37062259103635
54,0,2,153.4232303007869
55,0,2,154.50059991529932
56,0,2,155.83184708083226
57,0,2,156.74205116246492
58,0,2,157.74667701280507
59,0,2,158.6568810944377
60,0,2,159.68472689942635
61,0,2,160.66921669534474
62,0,2,161.63048653661454
63,0,2,162.66141624182998
64,0,2,163.7357019561157
65,0,2,164.78985161597961
66,0,2,165.79756136654655
67,0,2,166.8021872168867
68,0,2,168.1535704368413
69,0,2,169.2309400513538
70,0,2,170.12255002867803
71,0,2,171.03737996065084
72,0,2,172.088445720288
73,0,2,173.0032756522608
74,0,2,173.9181055842336
75,0,2,174.9722552440976
76,0,2,176.20753869080954
77,0,2,177.192028486728
78,0,2,178.19511238695466
79,0,2,179.31892191076426
80,0,2,180.29878585634245
81,0,2,181.3297155615579
82,0,2,182.40554322595696
83,0,2,183.38694912164857
84,0,2,184.37143891756696
85,0,2,185.3327087588367
86,0,3,186.82803755702275
87,0,3,190.94876318060548
88,0,3,194.83574730758957
89,0,3,198.86359311257831
90,0,3,202.379057965186
91,0,3,206.1050443597438
92,0,3,210.15611011938097
93,0,3,214.139057965186
94,0,3,218.5384230445511
95,0,3,223.19320762504992
16,1,2,224.1483096658663
17,1,2,224.96563392890477
18,1,2,225.90059991529935
19,1,2,226.7875840422835
20,1,2,227.67919401960776
21,1,2,228.45470422368936
22,1,2,229.39275411031073
23,1,2,230.30758404228348
