bar,repeat,movement,onset
1,0,1,0.6183323416032108
2,0,1,6.814885629585071
3,0,1,13.526903770174638
4,0,1,19.751302863145167
5,0,1,25.904500142056726
6,0,1,32.29143891756692
7,0,1,38.53751601507258
8,0,1,44.15511238695468
9,0,1,50.263411706682575
10,0,1,56.44137089035605
11,0,1,62.43357043684131
12,0,1,67.70595138922226
13,0,1,73.62540717153519
14,0,1,79.52472689942634
15,0,1,85.26150694477782
16,0,1,90.69488562958506
17,0,1,96.91620082232882
18,0,2,102.95801488128578
19,0,2,104.89910699380641
20,0,2,106.68082667266896
21,0,2,108.3680829084966
22,0,2,110.28291284046944
23,0,2,111.97325297652381
24,0,2,113.70849107176196
25,0,2,115.46694912164854
26,0,2,117.35474467230125
27,0,2,118.89406930305444
28,0,2,120.96989696745356
29,0,2,122.68557950713608
30,0,2,124.53479492663722
31,0,2,126.26849107176189
32,0,2,128.13996499466444
33,0,2,129.98976091303177
34,0,2,131.90613279511797
35,0,2,133.57325297652386
36,0,2,135.28372916700005
37,0,2,137.203184949313
38,0,2,138.9040420347632
39,0,2,140.8129808676803
40,0,2,142.5900330218753
41,0,2,144.30359311257826
42,0,2,146.12862712618372
43,0,2,147.97842304455105
44,0,2,149.99384254568488
45,0,2,152.170259779245
46,0,2,154.0215976477256
47,0,2,155.7351577384286
48,0,2,157.44871782913157
49,0,3,162.24436408763498
50,0,3,163.92236862278241
51,0,3,165.5539332486327
52,0,3,166.979602182873
53,0,3,168.52291284046947
54,0,3,170.0848176023742
55,0,3,171.73960218287309
56,0,3,173.1652711171134
49,1,3,174.68073596972118
50,1,3,176.35874050486848
51,1,3,177.9903051307189
52,1,3,179.5088538835533
53,1,3,180.95928472255557
54,1,3,182.5676293937574
55,1,3,184.22241397425623
56,1,3,185.71774277244222
57,0,3,187.32608744364398
58,0,3,188.98703982459642
59,0,3,190.57679039148985
60,0,3,192.48699447312248
61,0,3,193.58912599239687
62,0,3,195.36155229625174
63,0,3,196.8553391443243
64,0,3,198.25933007402955
65,0,3,200.0317563778844
66,0,3,201.6927087588367
67,0,3,203.28245932573023
68,0,3,204.82731193344003
69,0,3,206.62604209217017
70,0,3,208.2111668087234
71,0,3,209.84273143457372
72,0,3,211.2451804141655
57,1,3,212.7838652214218
58,1,3,214.63057723956243
59,1,3,216.17388789715875
60,1,3,218.1305318880885
61,1,3,219.18622349806577
62,1,3,220.95864980192064
63,1,3,222.47565660464176
64,1,3,223.83320762504994
65,1,3,225.58241397425633
66,1,3,227.31302621915427
67,1,3,228.92599674069615
68,1,3,230.4708493484059
69,1,3,232.2927994617846
70,1,3,233.99402395158054
71,1,3,235.71846839602503
72,1,3,243.22776544817924
