bar,repeat,movement,onset
1,0,1,0.6026295348140606
2,0,1,6.79918282279592
3,0,1,13.51120096338549
4,0,1,19.735600056356017
5,0,1,25.888797335267576
6,0,1,32.27573611077777
7,0,1,38.52181320828344
8,0,1,44.139409580165534
9,0,1,50.24770889989343
10,0,1,56.425668083566904
11,0,1,62.417867630052164
12,0,1,67.69024858243311
13,0,1,73.60970436474604
14,0,1,79.50902409263719
15,0,1,85.24580413798867
16,0,1,90.67918282279591
17,0,1,96.90049801553967
18,0,2,102.94231207449663
19,0,2,104.88340418701726
20,0,2,106.6651238658798
21,0,2,108.35238010170745
22,0,2,110.26721003368029
23,0,2,111.95755016973466
24,0,2,113.6927882649728
25,0,2,115.45124631485938
26,0,2,117.3390418655121
27,0,2,118.87836649626529
28,0,2,120.95419416066441
29,0,2,122.66987670034692
30,0,2,124.51909211984807
31,0,2,126.25278826497274
32,0,2,128.1242621878753
33,0,2,129.9740581062426
34,0,2,131.8904299883288
35,0,2,133.5575501697347
36,0,2,135.26802636021088
37,0,2,137.18748214252383
38,0,2,138.88833922797403
39,0,2,140.79727806089113
40,0,2,142.57433021508615
41,0,2,144.2878903057891
42,0,2,146.11292431939455
43,0,2,147.96272023776189
44,0,2,149.97813973889572
45,0,2,152.15455697245582
46,0,2,154.00589484093643
47,0,2,155.71945493163943
48,0,2,157.4330150223424
49,0,3,162.2286612808458
50,0,3,163.90666581599325
51,0,3,165.5382304418435
52,0,3,166.96389937608384
53,0,3,168.5072100336803
54,0,3,170.06911479558502
55,0,3,171.72389937608392
56,0,3,173.14956831032424
49,1,3,174.66503316293202
50,1,3,176.3430376980793
51,1,3,177.97460232392973
52,1,3,179.49315107676412
53,1,3,180.9435819157664
54,1,3,182.55192658696822
55,1,3,184.20671116746706
56,1,3,185.70203996565306
57,0,3,187.31038463685482
58,0,3,188.97133701780726
59,0,3,190.5610875847007
60,0,3,192.47129166633331
61,0,3,193.5734231856077
62,0,3,195.34584948946258
63,0,3,196.83963633753513
64,0,3,198.24362726724038
65,0,3,200.01605357109523
66,0,3,201.67700595204752
67,0,3,203.26675651894107
68,0,3,204.81160912665086
69,0,3,206.610339285381
70,0,3,208.19546400193423
71,0,3,209.82702862778456
72,0,3,211.22947760737634
57,1,3,212.76816241463263
58,1,3,214.61487443277326
59,1,3,216.15818509036959
60,1,3,218.11482908129935
61,1,3,219.1705206912766
62,1,3,220.94294699513148
63,1,3,222.4599537978526
64,1,3,223.81750481826074
65,1,3,225.56671116746713
66,1,3,227.2973234123651
67,1,3,228.91029393390698
68,1,3,230.45514654161673
69,1,3,232.27709665499543
70,1,3,233.97832114479138
71,1,3,235.70276558923587
72,1,3,243.21206264139008
