bar,repeat,movement,onset
1,0,1,0.6058670868075821
2,0,1,6.779200420140914
3,0,1,13.537658470027537
4,0,1,19.762057562998063
5,0,1,25.915254841909622
6,0,1,32.27897366277129
7,0,1,38.50183080562844
8,0,1,44.09620722286199
9,0,1,50.2045065425899
10,0,1,56.42890563556042
11,0,1,62.42110518204568
12,0,1,67.67026617977812
13,0,1,73.61294191673957
14,0,1,79.51226164463073
15,0,1,85.29548159927924
16,0,1,90.63598046549238
17,0,1,96.92695552218173
18,0,2,102.50437048816814
19,0,2,104.88514146322478
20,0,2,106.64514146322482
21,0,2,108.35561765370099
22,0,2,110.29366754032233
23,0,2,111.9607877217282
24,0,2,113.71924577161484
25,0,2,115.40804395755588
26,0,2,117.250508658992
27,0,2,118.90482400290735
28,0,2,120.98065166730647
29,0,2,122.69421175800937
30,0,2,124.38300994395044
31,0,2,126.25602581696627
32,0,2,128.15071969451736
33,0,2,130.0933954314788
34,0,2,131.91688749497087
35,0,2,133.8186699453247
36,0,2,135.43268708464797
37,0,2,137.1674997398688
38,0,2,138.91466073760122
39,0,2,140.8237355675332
40,0,2,142.57756776707967
41,0,2,144.2911278577826
42,0,2,146.1626017806851
43,0,2,147.98917774440395
44,0,2,149.72332076746682
45,0,2,151.92559497796407
46,0,2,153.74119361741984
47,0,2,155.86201221152413
48,0,2,157.43625257433592
49,0,3,162.44087842467604
50,0,3,163.97956323193236
51,0,3,165.5879079031341
52,0,3,166.9903568827259
53,0,3,168.6033274042679
54,0,3,170.11879225687557
55,0,3,171.75035688272592
56,0,3,173.17602581696627
49,1,3,174.80759044281666
50,1,3,176.36949520472137
51,1,3,178.00105983057176
52,1,3,179.49638862875764
53,1,3,181.06291924100253
54,1,3,182.5783840936103
55,1,3,184.25638862875763
56,1,3,185.75171742694366
57,0,3,187.38328205279393
58,0,3,188.97457456980078
59,0,3,190.58754509134275
60,0,3,192.3584294450842
61,0,3,193.7159804654924
62,0,3,195.35155416163752
63,0,3,196.84287388952865
64,0,3,198.89702354939263
65,0,3,199.83353148590052
66,0,3,201.70346345868964
67,0,3,203.31643398023166
68,0,3,204.83806663329284
69,0,3,206.63679679202298
70,0,3,208.22192150857626
71,0,3,209.85348613442662
72,0,3,211.32559497796402
57,1,3,212.95715960381443
58,1,3,214.61811198476678
59,1,3,216.16142264236308
60,1,3,218.14128658794135
61,1,3,219.05918065154972
62,1,3,220.9663206015468
63,1,3,222.4631913498461
64,1,3,223.86718227955132
65,1,3,225.63960858340624
66,1,3,227.27734100971009
67,1,3,228.95042944508427
68,1,3,230.45838409361025
69,1,3,232.37321402558302
70,1,3,233.9815586967849
71,1,3,236.10074237025432
72,1,3,243.192080238735
