bar,repeat,movement,onset
1,0,1,7.8514512471542215
2,0,1,13.328185941031773
3,0,1,18.972086167789147
4,0,1,24.151587301575983
5,0,1,29.283455950270035
6,0,1,34.81090702946715
7,0,1,40.22106575962587
8,0,1,45.18850340134923
9,0,1,50.344784580487556
10,0,1,55.315306122437676
11,0,1,60.541247165521575
12,0,1,65.46532879817461
13,0,1,70.31666666665532
14,0,1,75.98378684806121
15,0,1,81.00074829930838
16,0,1,86.24836734692745
17,0,1,91.74986394556693
18,0,2,94.1461451247052
19,0,2,96.4340362811678
20,0,2,98.2869160997619
21,0,2,100.13671201812924
22,0,2,102.12120181404764
23,0,2,103.99730158729025
24,0,2,105.87185941041952
25,0,2,107.7928571428458
26,0,2,109.8431393297947
27,0,2,111.59149659862813
28,0,2,113.69054421767576
29,0,2,115.56664399091837
30,0,2,117.5108616779932
31,0,2,119.43031746030613
32,0,2,121.41789115645122
33,0,2,123.52310657595237
34,0,2,125.50913832198411
35,0,2,127.36201814057824
36,0,2,129.25825396824266
37,0,2,131.4795691609864
38,0,2,133.43483148509412
39,0,2,135.4841043083787
40,0,2,137.37725623581633
41,0,2,139.23013605441042
42,0,2,141.2641496598526
43,0,2,143.11394557821995
44,0,2,144.92038548751705
45,0,2,147.18968253967125
46,0,2,149.1212768785562
47,0,2,150.96356009069171
48,0,2,152.88609977323134
49,0,3,156.21888888887756
50,0,3,157.98977324261912
51,0,3,159.41235827663266
52,0,3,160.81480725622455
53,0,3,162.0794784580386
54,0,3,163.66460317459197
55,0,3,165.110408163254
56,0,3,166.46641723354887
49,1,3,167.98188208615653
50,1,3,169.40446712017015
51,1,3,170.94315192742633
52,1,3,172.25272108842415
53,1,3,173.56383219953523
54,1,3,175.07929705214286
55,1,3,176.50188208615654
56,1,3,177.92755102039686
57,0,3,179.55911564624725
58,0,3,181.08074829930845
59,0,3,182.53117913831073
60,0,3,184.25562358275516
61,0,3,185.4970748299207
62,0,3,187.01408163264173
63,0,3,188.48464852606583
64,0,3,189.88863945577103
65,0,3,191.6146258503289
66,0,3,193.1130385487416
67,0,3,194.5866893423924
68,0,3,195.96900226756242
69,0,3,197.55875283445582
70,0,3,199.07421768706357
71,0,3,200.79866213150794
72,0,3,201.92247165531754
57,1,3,203.57725623581635
58,1,3,205.12210884352612
59,1,3,206.61897959182548
60,1,3,208.48274376416103
61,1,3,209.65453514738104
62,1,3,211.21798185939917
63,1,3,212.64210884352613
64,1,3,214.06931972787993
65,1,3,215.79530612243772
66,1,3,217.31693877549893
67,1,3,218.83702947844677
68,1,3,220.26578231291398
69,1,3,221.83231292515882
70,1,3,223.30133786846943
71,1,3,225.16510204080504
72,1,3,240.17444444443316
