bar,repeat,movement,onset
1,0,1,7.873712891796243
2,0,1,13.350447585673793
3,0,1,18.994347812431165
4,0,1,24.15062899156948
5,0,1,29.30536822059444
6,0,1,34.78672876481212
7,0,1,40.19688749497084
8,0,1,45.18754509134273
9,0,1,50.36704622512958
10,0,1,55.314347812431166
11,0,1,60.54028885551507
12,0,1,65.4643704881681
13,0,1,70.54790790313409
14,0,1,76.00604849270326
15,0,1,81.02300994395041
16,0,1,86.27062899156948
17,0,1,91.98110518204568
18,0,2,94.51670608907513
19,0,2,96.45779820159584
20,0,2,98.30917774440391
21,0,2,100.1589736627713
22,0,2,102.14346345868967
23,0,2,103.99634327728376
24,0,2,105.93607116844024
25,0,2,107.83833874213636
26,0,2,109.8197831555182
27,0,2,111.59053828862164
28,0,2,113.7128058623178
29,0,2,115.5889056355604
30,0,2,117.50990336798671
31,0,2,119.42935915029965
32,0,2,121.3937128917962
33,0,2,123.5453682205944
34,0,2,125.55461992127468
35,0,2,127.38427978522027
36,0,2,129.3501754768303
37,0,2,131.4786108509799
38,0,2,133.4342292939126
39,0,2,135.4831459983722
40,0,2,137.39951788045835
41,0,2,139.22917774440393
42,0,2,141.26319134984607
43,0,2,143.11298726821343
44,0,2,145.00964259701163
45,0,2,147.02618454712507
46,0,2,148.90074237025433
47,0,2,150.98582173533373
48,0,2,152.90836141787335
49,0,3,156.54300994395044
50,0,3,157.98881493261263
51,0,3,159.64359951311147
52,0,3,160.83706890086657
53,0,3,162.2410598305718
54,0,3,163.66364486458545
55,0,3,165.36486935438128
56,0,3,166.51189883283942
49,1,3,168.00414373079855
50,1,3,169.40350881016366
51,1,3,171.1743931639051
52,1,3,172.27498273306617
53,1,3,173.67897366277137
54,1,3,175.1015586967849
55,1,3,176.50092377615005
56,1,3,177.94981266503885
57,0,3,179.58137729088924
58,0,3,181.05657003465348
59,0,3,182.5534407829527
60,0,3,184.27788522739723
61,0,3,185.4961165199142
62,0,3,187.0131233226352
63,0,3,188.53013012535638
64,0,3,189.9341210550616
65,0,3,191.66010744961946
66,0,3,193.1353001933836
67,0,3,194.58573103238587
68,0,3,196.01448386685294
69,0,3,197.5577945244493
70,0,3,199.1893591502997
71,0,3,200.54228432036768
72,0,3,201.9911732092566
57,1,3,203.59951788045842
58,1,3,205.14437048816808
59,1,3,206.64124123646752
60,1,3,208.50500540880307
61,1,3,209.67679679202308
62,1,3,211.26346345868973
63,1,3,212.7108103974652
64,1,3,214.09158137252194
65,1,3,215.84078772172828
66,1,3,217.3159804654924
67,1,3,218.83607116844024
68,1,3,220.288043957556
69,1,3,226.45212559020896
70,1,3,230.17348613442667
71,1,3,234.17348613442667
72,1,3,240.17348613442667
