bar,repeat,movement,onset
1,0,1,0.5547426300520899
2,0,1,6.704856008736897
3,0,1,12.81315532846479
4,0,1,18.387395691276573
5,0,1,24.099413831866148
6,0,1,29.62721428538088
7,0,1,35.2927925166734
8,0,1,40.77106916066433
9,0,1,46.36852947812465
10,0,1,52.36072902460991
11,0,1,58.26004875250107
12,0,1,63.64852947812465
13,0,1,68.96426643957591
14,0,1,75.32798526043759
15,0,1,81.27374489762579
16,0,1,87.21796258470062
17,0,1,95.18549092937181
18,0,2,101.5244478454716
19,0,2,103.53369954615185
20,0,2,105.15437981826071
21,0,2,106.74875623549433
22,0,2,108.47782653027883
23,0,2,110.0985068023877
24,0,2,111.67120521508612
25,0,2,113.26712358243309
26,0,2,114.99304075632016
27,0,2,116.48526417200223
28,0,2,118.44499206315867
29,0,2,120.06567233526756
30,0,2,121.68481065726297
31,0,2,123.34884693844214
32,0,2,124.98812131485936
33,0,2,126.74503741463259
34,0,2,128.47564965953057
35,0,2,130.00345011304535
36,0,2,131.50494671168474
37,0,2,133.261862811458
38,0,2,134.96251366639456
39,0,2,136.80199886587974
40,0,2,138.48617120148072
41,0,2,140.03719160964394
42,0,2,141.6996859407097
43,0,2,143.27084240329475
44,0,2,144.7289829928639
45,0,2,146.7196405892357
46,0,2,148.19945918334
47,0,2,149.86657936474595
48,0,2,151.48725963685482
49,0,3,156.49188548719493
50,0,3,157.937690475857
51,0,3,159.15129591803395
52,0,3,160.1822256232493
53,0,3,161.33079705182072
54,0,3,162.45152267540354
55,0,3,163.59546825363483
56,0,3,164.69605782279584
49,1,3,165.9328832196212
50,1,3,167.1464886617981
51,1,3,168.3833140586235
52,1,3,169.46068367313597
53,1,3,170.5395952377618
54,1,3,171.70676077064167
55,1,3,172.92036621281846
56,1,3,173.9048560087369
57,0,3,175.39710090669604
58,0,3,176.60803919192008
59,0,3,177.55646598606114
60,0,3,178.770071428238
61,0,3,179.7561031742697
62,0,3,180.94803061191146
63,0,3,182.00063832166202
64,0,3,183.0795498862879
65,0,3,184.41079705182077
66,0,3,185.5841303851541
67,0,3,186.709481859077
68,0,3,187.83637528311323
69,0,3,188.9617267570362
70,0,3,190.128892289916
71,0,3,191.2263979588502
72,0,3,192.32698752801122
57,1,3,193.5870328794852
58,1,3,194.69070634887294
59,1,3,195.76961791349873
60,1,3,197.0528832196213
61,1,3,198.08535487495007
62,1,3,199.1844024939976
63,1,3,200.2693446985218
64,1,3,201.36236167767112
65,1,3,202.85614852574363
66,1,3,204.03115597634297
67,1,3,205.15483333299994
68,1,3,206.21206689309062
69,1,3,207.36063832166204
70,1,3,208.59746371848746
71,1,3,209.9271689339069
72,1,3,215.6949693874217
