bar,repeat,movement,onset
1,0,1,0.5631526360544685
2,0,1,6.7132660147392755
3,0,1,12.821565334467168
4,0,1,18.395805697278956
5,0,1,24.107823837868526
6,0,1,29.635624291383262
7,0,1,35.30120252267577
8,0,1,40.77947916666671
9,0,1,46.37693948412703
10,0,1,52.36913903061229
11,0,1,58.26845875850345
12,0,1,63.65693948412702
13,0,1,68.97267644557829
14,0,1,75.33639526643996
15,0,1,81.28215490362817
16,0,1,87.226372590703
17,0,1,95.19390093537419
18,0,2,101.53285785147398
19,0,2,103.54210955215423
20,0,2,105.16278982426309
21,0,2,106.7571662414967
22,0,2,108.48623653628121
23,0,2,110.10691680839008
24,0,2,111.6796152210885
25,0,2,113.27553358843545
26,0,2,115.00145076232253
27,0,2,116.49367417800461
28,0,2,118.45340206916104
29,0,2,120.07408234126994
30,0,2,121.69322066326535
31,0,2,123.35725694444452
32,0,2,124.99653132086173
33,0,2,126.75344742063497
34,0,2,128.48405966553295
35,0,2,130.01186011904772
36,0,2,131.51335671768712
37,0,2,133.27027281746038
38,0,2,134.97092367239694
39,0,2,136.81040887188212
40,0,2,138.4945812074831
41,0,2,140.04560161564632
42,0,2,141.7080959467121
43,0,2,143.27925240929713
44,0,2,144.73739299886628
45,0,2,146.72805059523807
46,0,2,148.20786918934238
47,0,2,149.87498937074832
48,0,2,151.4956696428572
49,0,3,156.5002954931973
50,0,3,157.9461004818594
51,0,3,159.15970592403633
52,0,3,160.1906356292517
53,0,3,161.3392070578231
54,0,3,162.45993268140592
55,0,3,163.6038782596372
56,0,3,164.70446782879822
49,1,3,165.94129322562358
50,1,3,167.15489866780047
51,1,3,168.3917240646259
52,1,3,169.46909367913835
53,1,3,170.54800524376418
54,1,3,171.71517077664404
55,1,3,172.92877621882081
56,1,3,173.9132660147393
57,0,3,175.4055109126984
58,0,3,176.61644919792246
59,0,3,177.56487599206352
60,0,3,178.77848143424038
61,0,3,179.76451318027208
62,0,3,180.95644061791384
63,0,3,182.0090483276644
64,0,3,183.08795989229029
65,0,3,184.41920705782314
66,0,3,185.5925403911565
67,0,3,186.71789186507937
68,0,3,187.8447852891156
69,0,3,188.97013676303857
70,0,3,190.13730229591837
71,0,3,191.2348079648526
72,0,3,192.33539753401357
57,1,3,193.59544288548759
58,1,3,194.69911635487531
59,1,3,195.7780279195011
60,1,3,197.06129322562367
61,1,3,198.09376488095245
62,1,3,199.19281249999997
63,1,3,200.27775470452417
64,1,3,201.3707716836735
65,1,3,202.864558531746
66,1,3,204.03956598234535
67,1,3,205.16324333900232
68,1,3,206.220476899093
69,1,3,207.36904832766442
70,1,3,208.60587372448984
71,1,3,209.93557893990928
72,1,3,215.7033793934241
