bar,repeat,movement,onset
1,0,1,1.6769929134989128
2,0,1,10.567060940709798
3,0,1,19.32243509036966
4,0,1,27.497310373816372
5,0,1,35.78674348039234
6,0,1,44.681437357943366
7,0,1,53.36560969354427
8,0,1,62.11789994297738
9,0,1,71.22157341236515
10,0,1,81.16116524909982
11,0,1,90.54347817426988
12,0,1,98.60225368447396
13,0,1,107.35454393390708
14,0,1,116.66719699513158
15,0,1,125.35291128084584
16,0,1,133.9906437071497
17,0,1,144.88860289082317
18,0,2,152.29096116746715
19,0,2,154.30021286814747
20,0,2,155.94411309490482
21,0,2,157.79390901327218
22,0,2,159.68551899059642
23,0,2,161.4222990359479
24,0,2,163.32007681372568
25,0,2,165.17141468220643
26,0,2,167.12849455119104
27,0,2,168.6914146822064
28,0,2,171.34774121281865
29,0,2,173.15418112211574
30,0,2,174.9822990359479
31,0,2,176.78565504501822
32,0,2,178.79644869581185
33,0,2,181.38928316293206
34,0,2,183.2824350903697
35,0,2,185.06565504501822
36,0,2,187.3101901924105
37,0,2,189.2064260200749
38,0,2,191.1611803662578
39,0,2,193.04842148492745
40,0,2,195.12733304955333
41,0,2,196.8408931402563
42,0,2,198.78202692710437
43,0,2,200.65504280012027
44,0,2,203.32062103141277
45,0,2,206.29001864553086
46,0,2,208.6719135484196
47,0,2,210.71055300420184
48,0,2,212.4008931402563
49,0,3,217.1268795348141
50,0,3,218.57268452347628
51,0,3,220.08814937608392
52,0,3,221.3512786277847
53,0,3,222.73204960284139
54,0,3,224.27073441009756
55,0,3,225.83263917200233
56,0,3,227.09576842370296
49,1,3,228.58801332166217
50,1,3,230.14991808356697
51,1,3,231.80470266406581
52,1,3,233.091051870415
53,1,3,234.5879226187144
54,1,3,236.056947562025
55,1,3,237.59563236928128
56,1,3,238.95164143957606
57,0,3,240.3742264735897
58,0,3,241.9655189905965
59,0,3,243.3927298749502
60,0,3,245.37259382052846
61,0,3,246.6372650223425
62,0,3,248.20071173436057
63,0,3,249.64805867313615
64,0,3,250.98238973889576
65,0,3,252.77803599739912
66,0,3,254.23000878651482
67,0,3,255.7733194441112
68,0,3,257.24851218787535
69,0,3,259.070462301254
70,0,3,260.5859271538618
71,0,3,262.05495209717236
72,0,3,263.4341811221158
57,1,3,265.01930583866897
58,1,3,266.50914710851026
59,1,3,267.8984895121383
60,1,3,269.84969132619733
61,1,3,271.16624461417916
62,1,3,272.72969132619744
63,1,3,274.1770382649729
64,1,3,275.5578092400295
65,1,3,277.5392151357212
66,1,3,279.03762783413384
67,1,3,280.51127862778463
68,1,3,281.98647137154876
69,1,3,283.9013013035217
70,1,3,285.53286592937195
71,1,3,287.0483307819797
72,1,3,292.63037159830617
