bar,repeat,movement,onset
1,0,1,0.47903613978912923
2,0,1,3.7592175456848205
3,0,1,6.760759495798201
4,0,1,9.601303713485274
5,0,1,13.02543069761226
6,0,1,16.43549872482314
7,0,1,19.492913690809537
8,0,1,22.401575822328812
9,0,1,25.288559949312933
10,0,1,28.3597617633719
11,0,1,31.248287840469402
12,0,1,34.16003387221543
13,0,1,38.4169953234626
1,1,1,41.22969373616101
2,1,1,44.8581744617846
3,1,1,48.39377536881408
4,1,1,51.44329917833788
5,1,1,55.192505527544235
6,1,1,59.076405754301604
7,1,1,62.37980711484582
8,1,1,65.63386607176187
9,1,1,68.98815178604765
10,1,1,72.45409282913155
11,1,1,75.5748184527143
12,1,1,78.7419839855941
13,1,1,83.30080484727213
14,0,1,86.32248285180728
15,0,1,89.9045236681338
16,0,1,92.9060656182472
17,0,1,96.3286506522608
18,0,1,99.65527196745354
19,0,1,102.86887740963043
20,0,1,105.61808375883678
21,0,1,109.17844657062817
22,0,1,112.60103160464178
23,0,1,115.6969953234626
24,0,1,118.53753954114968
25,0,1,121.65826516473246
26,0,1,124.68456901960772
27,0,1,127.61953500600231
28,0,1,130.8563604028277
29,0,1,135.67060076563948
30,0,2,139.52819713752152
31,0,2,142.11332185407483
32,0,2,143.21391142323583
33,0,2,144.15196130985717
34,0,2,145.09001119647849
35,0,2,146.0048411284513
36,0,2,146.98933092436963
37,0,2,147.99549872482314
38,0,2,148.9288774096304
39,0,2,149.9644783166599
40,0,2,151.10996584500458
41,0,2,152.28021527811114
42,0,2,153.287925028678
43,0,2,154.24919486994784
44,0,2,155.34978443910884
45,0,2,156.35749418967575
46,0,2,157.2955440762971
47,0,2,158.25681391756694
48,0,2,159.14842389489115
49,0,2,160.13137174069615
50,0,2,161.13908149126308
51,0,2,162.03069146858732
52,0,2,163.1529590422835
53,0,2,164.25354861144444
54,0,2,165.25971641189798
55,0,2,166.24420620781638
56,0,2,167.3912356862744
57,0,2,168.46860530078683
58,0,2,169.2193536001066
59,0,2,170.25028330532206
60,0,2,171.350872874483
61,0,2,172.28892276110435
62,0,2,173.38951233026535
63,0,2,174.3275622168866
64,0,2,175.54425155929025
65,0,2,176.50397945044674
66,0,2,177.48846924636513
67,0,2,178.70515858876874
68,0,2,179.68964838468708
69,0,2,180.76701799919962
70,0,2,181.79794770441498
71,0,2,183.06687805750857
72,0,2,184.02234679738552
73,0,2,185.25444280560012
74,0,2,186.40928557289567
75,0,2,187.57953500600232
76,0,2,188.40148511938096
77,0,2,189.43241482459638
78,0,2,190.5562243484059
79,0,2,191.93545337334928
80,0,3,192.93545337334925
81,0,3,199.88747151393878
82,0,3,204.42461437108167
83,0,3,212.00202933706805
84,0,4,213.00202933706805
85,0,4,213.7773772306114
86,0,4,214.90997171785727
87,0,4,215.7357254821927
88,0,4,216.80846924636504
89,0,4,217.88121301053732
90,0,4,218.86416085634238
91,0,4,219.89354861144437
92,0,4,220.89971641189794
93,0,4,222.04366199012918
94,0,4,223.14270960917688
95,0,4,224.00955768173915
96,0,4,225.33556555857416
97,0,4,226.02035133253278
98,0,4,227.11785700146712
99,0,4,228.05436493797498
100,0,4,229.17200666133098
84,1,4,230.03268693343992
85,1,4,230.36085019874602
86,1,4,231.28062815321783
87,1,4,232.34842389489114
88,1,4,233.46760756836045
89,1,4,234.56357128718133
90,1,4,235.56973908763487
91,1,4,236.692006661331
92,1,4,237.74461437108158
93,1,4,239.00465972255554
94,1,4,240.12692729625164
95,1,4,240.99377536881403
96,1,4,241.91494302575023
97,1,4,243.02778897425614
98,1,4,244.07885473389337
99,1,4,245.1546823982925
100,1,4,246.24910416700004
101,0,4,247.1562243484059
102,0,4,247.3915077951178
103,0,4,248.86800733320476
104,0,4,249.46887740963044
105,0,4,251.02691617230528
106,0,4,251.61744883820177
107,0,4,253.14258024595614
108,0,4,253.9843042255181
109,0,4,254.7938660717618
110,0,4,255.9215780899025
111,0,4,257.09924225441887
112,0,4,258.0182651647324
113,0,4,258.8154533733492
114,0,4,259.9593989515805
115,0,4,261.1281064345736
116,0,4,262.18071414432427
117,0,4,263.16366199012924
118,0,4,264.35404747765756
119,0,4,265.47631505135365
120,0,4,266.6682424889955
121,0,4,267.9208652196164
122,0,4,268.632596230492
123,0,4,269.56756221688653
124,0,4,274.1496030332131
125,0,4,276.55123568627357
