bar,repeat,movement,onset
1,0,1,0.5190729164999871
2,0,1,3.8224742770442046
3,0,1,6.800796272509059
4,0,1,9.618120535547606
5,0,1,13.065467474323116
6,0,1,16.530682893824235
7,0,1,19.532950467520397
8,0,1,22.4648325536882
9,0,1,25.35181668067232
10,0,1,27.98183935640929
11,0,1,31.288324617180262
12,0,1,34.17685069427776
13,0,1,39.08397087568366
1,1,1,41.38510466253173
2,1,1,44.874991283846924
3,1,1,48.48025205482198
4,1,1,51.55299581899431
5,1,1,55.2325423042551
6,1,1,59.2325423042551
7,1,1,62.39662393690815
8,1,1,65.86256497999203
9,1,1,69.00496860810998
10,1,1,72.1458302861145
11,1,1,75.61485522942516
12,1,1,78.75880080765644
13,1,1,83.34084162398298
14,0,1,86.40750829064964
15,0,1,89.96778039949318
16,0,1,93.2479618053889
17,0,1,96.32224751967462
18,0,1,99.69530874416441
19,0,1,102.90891418634128
20,0,1,105.68134049019615
21,0,1,109.12560352874492
22,0,1,112.68750829064966
23,0,1,115.73703210017345
24,0,1,118.57757631786055
25,0,1,121.72152189609184
26,0,1,124.72460579631857
27,0,1,127.63635182806462
28,0,1,130.78029740629592
29,0,1,135.89639717953852
30,0,2,138.8484153201281
31,0,2,142.1765785854342
32,0,2,143.11462847205553
33,0,2,144.12233822262243
34,0,2,145.13287967497573
35,0,2,146.06809785981062
36,0,2,147.052587655729
37,0,2,148.05875545618252
38,0,2,148.97358538815533
39,0,2,150.02773504801928
40,0,2,151.12678266706686
41,0,2,152.27381214552494
42,0,2,153.28152189609182
43,0,2,154.28923164665872
44,0,2,155.3666012611712
45,0,2,156.3975309663866
46,0,2,157.24270103441378
47,0,2,158.25041078498074
48,0,2,159.21168062625054
49,0,2,160.1481885627585
50,0,2,161.10945840402835
51,0,2,162.09394819994665
52,0,2,163.20714547885822
53,0,2,164.24714547885827
54,0,2,165.23009332466324
55,0,2,166.23780307523015
56,0,2,167.3151726897426
57,0,2,168.46220216820066
58,0,2,169.25939037681744
59,0,2,170.2903200820329
60,0,2,171.39090965119385
61,0,2,172.3521794924637
62,0,2,173.3598892430306
63,0,2,174.390818948246
64,0,2,175.5842883360011
65,0,2,176.5672361818061
66,0,2,177.52850602307598
67,0,2,178.62909559223692
68,0,2,179.72968516139792
69,0,2,180.80705477591047
70,0,2,181.83798448112583
71,0,2,182.96959319868694
72,0,2,184.0856035287449
73,0,2,185.27168699136973
74,0,2,186.42610239495804
75,0,2,187.4105921908764
76,0,2,188.4415218960918
77,0,2,189.4956715559557
78,0,2,190.59626112511677
79,0,2,191.9522701954116
80,0,3,193.3317713291986
81,0,3,199.92750829064963
82,0,3,204.44143119314398
83,0,3,209.41821123849547
84,0,4,210.41821123849547
85,0,4,212.5343110117381
86,0,4,214.5562171479299
87,0,4,215.77576225890357
88,0,4,216.84850602307588
89,0,4,217.87480987795107
90,0,4,218.90419763305323
91,0,4,219.93358538815522
92,0,4,220.91653323396025
93,0,4,222.01403890289444
94,0,4,223.04342665799652
95,0,4,224.0263745038015
96,0,4,224.52016135187412
97,0,4,226.0139481999466
98,0,4,227.06501395958384
99,0,4,228.07118176003732
100,0,4,229.18882348339335
84,1,4,230.16560352874484
85,1,4,230.37766702080836
86,1,4,231.59668824123685
87,1,4,232.39340979655114
88,1,4,233.5076443450713
89,1,4,234.55716815459516
90,1,4,235.60977586434572
91,1,4,236.70882348339336
92,1,4,237.78465114779243
93,1,4,238.95181668067227
94,1,4,240.0276443450713
95,1,4,240.98737223622783
96,1,4,241.5275989935974
97,1,4,243.04460579631854
98,1,4,244.09567155595562
99,1,4,245.17149922035483
100,1,4,246.33558085300788
101,0,4,247.17304117046822
102,0,4,247.40832461718017
103,0,4,248.90795108594958
104,0,4,249.5089141863413
105,0,4,250.93012859803179
106,0,4,251.63426566026413
107,0,4,253.02295705079885
108,0,4,254.00122952382372
109,0,4,254.83390284847266
110,0,4,255.95462847205548
111,0,4,257.1395890878808
112,0,4,258.0118620321462
113,0,4,258.87871010470855
114,0,4,260.06909559223686
115,0,4,261.14492325663593
116,0,4,262.1975309663865
117,0,4,263.2269187214886
118,0,4,264.3940842543684
119,0,4,265.4699119187675
120,0,4,266.56895953781515
121,0,4,267.2225613759014
122,0,4,268.62619309790585
123,0,4,269.5843790389489
124,0,4,274.3057395831666
125,0,4,277.0669187214879
