bar,repeat,movement,onset
1,0,1,1.3953455448574688
2,0,1,5.766864819233886
3,0,1,9.186365953020733
4,0,1,13.292306996104633
5,0,1,17.238973662771304
6,0,1,21.982012211524136
7,0,1,25.889132392930033
8,0,1,29.520515612884683
9,0,1,33.42627525007289
10,0,1,37.79779452444931
11,0,1,41.66155869678491
12,0,1,45.75752241560577
13,0,1,52.01139996662618
1,1,1,55.055572302227084
2,1,1,59.52069701878036
3,1,1,63.1027378351069
4,1,1,67.40613919565112
5,1,1,71.2714453181001
6,1,1,75.96804395755586
7,1,1,79.96804395755588
8,1,1,83.51380359474406
9,1,1,87.43552695075314
10,1,1,91.13366754032232
11,1,1,95.06709157660352
12,1,1,99.18627525007288
13,1,1,105.44015280109328
14,0,1,108.1106289915695
15,0,1,112.32251107773729
16,0,1,116.53149066957404
17,0,1,121.32405302785068
18,0,1,124.81321402558308
19,0,1,129.3271369280774
20,0,1,133.65530019338354
21,0,1,138.5624203747894
22,0,1,143.09956323193228
23,0,1,147.89058364009554
24,0,1,151.8921255902089
25,0,1,156.33638862875765
26,0,1,160.8487695811386
27,0,1,164.89829339066245
28,0,1,169.11035688272594
29,0,1,175.03915506866696
14,1,1,178.1930779711613
15,1,1,182.40913239293002
16,1,1,186.66808930902963
17,1,1,191.24813466050372
18,1,1,195.00532286912045
19,1,1,199.50663806186427
20,1,1,203.60260178068512
21,1,1,208.67226164463068
22,1,1,212.89575370812273
23,1,1,217.3734861344266
24,1,1,221.58400767637679
25,1,1,225.93539089633143
26,1,1,229.5886335267169
27,1,1,233.77747706413186
28,1,1,238.01276051084386
29,1,1,241.38947078469698
30,0,2,243.01584441107065
31,0,2,246.50522358616408
32,0,2,251.67062899156946
33,0,2,254.7681346605037
34,0,2,256.3563432772838
35,0,2,257.9909918033609
36,0,2,259.06836141787335
37,0,2,260.39960858340623
38,0,2,261.38409837932466
39,0,2,262.55434781243116
40,0,2,264.3964339802316
41,0,2,265.5666834133382
42,0,2,266.8298126650389
43,0,2,268.27870155392776
44,0,2,269.6347106242226
45,0,2,270.9442797852203
46,0,2,271.9752094904357
47,0,2,272.95969928635407
48,0,2,274.0602888555151
49,0,2,275.29865620245386
50,0,2,276.2599260437236
51,0,2,277.3372956582362
52,0,2,278.8775224156058
53,0,2,280.1406516673065
54,0,2,281.23969928635404
55,0,2,282.293848946218
56,0,2,283.394438515379
57,0,2,284.3557083566489
58,0,2,285.5708557489391
59,0,2,286.7411051820457
60,0,2,287.9113546151523
61,0,2,288.92779452444927
62,0,2,290.0196539348801
63,0,2,291.0738035947441
64,0,2,292.3833727557418
65,0,2,293.57530019338355
66,0,2,294.5365700346534
67,0,2,295.6139396491659
68,0,2,296.9699487194607
69,0,2,297.97765847002756
70,0,2,299.17112785778255
71,0,2,300.5715532673831
72,0,2,301.60450654258983
73,0,2,302.7593958129397
74,0,2,304.01466527274863
75,0,2,305.09203488726104
76,0,2,306.19262445642204
77,0,2,307.3396539348801
78,0,2,308.57956323193224
79,0,2,315.20650200744245
80,0,3,316.2065020074424
81,0,3,320.45955756299804
82,0,3,324.8396085834061
83,0,3,328.44641130449463
84,0,4,328.7962525743358
85,0,4,329.2405156128846
86,0,4,330.6631006468983
87,0,4,336.2900394224084
88,0,4,339.2900394224085
89,0,4,340.4092230958779
90,0,4,341.5082707149254
91,0,4,342.46799860608195
92,0,4,343.49738636118394
93,0,4,344.61811198476687
94,0,4,345.57783987592325
95,0,4,346.5840076763766
96,0,4,347.2171142523404
97,0,4,348.6876811457645
98,0,4,349.71552695075314
99,0,4,350.69847479655806
100,0,4,351.72323670132005
84,1,4,352.72323670132005
85,1,4,353.1077083566488
86,1,4,353.8915556507904
87,1,4,354.8996539348801
88,1,4,355.9491777444039
89,1,4,356.9987015539277
90,1,4,358.07452921832686
91,1,4,359.0110371548347
92,1,4,360.0868648192339
93,1,4,361.1611505335196
94,1,4,362.2369781979187
95,1,4,363.17348613442647
96,1,4,363.7833727557418
97,1,4,365.23071969451735
98,1,4,366.305005408803
99,1,4,367.2415133453109
100,1,4,368.54491470585515
101,0,4,369.54491470585526
102,0,4,369.7801981525672
103,0,4,371.16064378009366
104,0,4,372.11298726821354
105,0,4,373.57106561066155
106,0,4,374.3079986060819
107,0,4,375.64233810932507
108,0,4,376.3221016187156
109,0,4,377.5540757035876
110,0,4,378.7212412364674
111,0,4,380.17465896297836
112,0,4,380.7552548419096
113,0,4,381.71498273306605
114,0,4,382.8357083566488
115,0,4,383.8650961117509
116,0,4,384.84804395755583
117,0,4,385.8309918033609
118,0,4,387.0678172001862
119,0,4,388.12042490993684
120,0,4,389.19625257433586
121,0,4,390.1180454692716
122,0,4,391.2070462251295
123,0,4,392.25811198476674
124,0,4,393.2410598305717
125,0,4,394.38192150857617
101,1,4,395.38192150857617
102,1,4,395.826184547125
103,1,4,396.8708970691709
104,1,4,398.0196539348801
105,1,4,399.5986802120576
106,1,4,400.2146652727486
107,1,4,401.7582052547791
108,1,4,402.4414188232917
109,1,4,403.4607423702543
110,1,4,404.76722763102526
111,1,4,405.6485375656271
112,1,4,406.7225363901878
113,1,4,407.9467287648121
114,1,4,408.81203488726106
115,1,4,409.7949827330661
116,1,4,410.777930578871
117,1,4,411.8073183339731
118,1,4,412.90482400290733
119,1,4,414.003871621955
120,1,4,415.033259377057
121,1,4,415.5734861344266
122,1,4,417.1137128917962
123,1,4,418.0951187874879
124,1,4,423.4201981525672
125,1,4,425.4622843203675
