bar,repeat,movement,onset
1,0,1,0.3396928858208979
2,0,1,3.4108946998798553
3,0,1,5.715838010537451
4,0,1,8.161642999199582
5,0,1,11.051711026410466
6,0,1,13.844273384687112
7,0,1,16.752935516206392
8,0,1,19.081098781512505
9,0,1,21.50368381552611
10,0,1,24.2498062645057
11,0,1,26.743593112578267
12,0,1,29.051620323462622
13,0,1,32.49588336201137
1,1,1,34.56554322595695
2,1,1,37.38132553888212
3,1,1,39.61660898559414
4,1,1,41.94631420101364
5,1,1,44.51130286314517
6,1,1,47.14132553888212
7,1,1,49.53914866813381
8,1,1,51.635112386954695
9,1,1,53.80227791983451
10,1,1,56.1072212304921
11,1,1,58.29914866813383
12,1,1,60.607175879018186
13,1,1,63.77279946178462
14,0,1,66.30685841870071
15,0,1,68.79756136654653
16,0,1,70.93996499466444
17,0,1,73.1551123869547
18,0,1,75.6458153348005
19,0,1,78.00028245498187
20,0,1,80.16898993797511
21,0,1,82.8823278064558
22,0,1,85.15502168400683
23,0,1,87.67048653661455
24,0,1,89.97697179738553
25,0,1,92.33143891756694
26,0,1,94.61470422368942
27,0,1,96.94595138922227
28,0,1,99.13787882686398
29,0,1,102.67502168400686
14,1,1,104.28028245498189
15,1,1,106.72454549353066
16,1,1,108.84372916700005
17,1,1,111.01243664999323
18,1,1,113.43347973389348
19,1,1,115.64862712618374
20,1,1,117.77089469987985
21,1,1,120.70431873616103
22,1,1,122.98912599239686
23,1,1,125.94576998332658
24,1,1,128.2058153348005
25,1,1,130.39774277244226
26,1,1,132.72744798786172
27,1,1,134.50141624182996
28,1,1,137.34350240963045
29,1,1,141.87910331665992
30,0,2,147.17633687675058
31,0,2,148.64690377017465
32,0,2,149.81715320328124
33,0,2,151.01062259103637
34,0,2,152.0879922055488
35,0,2,153.1885817747098
36,0,2,154.3588312078164
37,0,2,155.55075864545813
38,0,2,156.72100807856467
39,0,2,157.8448176023742
40,0,2,159.24572463185265
41,0,2,160.43919401960778
42,0,2,161.5862234980658
43,0,2,162.7796928858209
44,0,2,164.13570195611572
45,0,2,165.3523912985193
46,0,2,166.4529808676803
47,0,2,167.6000103461384
48,0,2,168.83991964319054
49,0,2,170.05506703548076
50,0,2,171.24354776110437
51,0,2,172.442005810991
52,0,2,173.72681306722686
53,0,2,174.94350240963038
54,0,2,176.1586498019207
55,0,2,177.3521191896758
56,0,2,178.66168835067353
57,0,2,179.8319377837801
58,0,2,181.07030513071885
59,0,2,182.28699447312255
60,0,2,183.43402395158057
61,0,2,184.65071329398415
62,0,2,185.79774277244223
63,0,2,186.94477225090031
64,0,2,188.13824163865536
65,0,2,189.35338903094566
66,0,2,190.43075864545807
67,0,2,191.64744798786177
68,0,2,192.81769742096833
69,0,2,193.98794685407486
70,0,2,195.18141624183005
71,0,2,196.3739999419767
72,0,2,197.61479492663727
73,0,2,198.81590709736219
74,0,2,200.09461352074152
75,0,2,201.2880829084967
76,0,2,202.46906277519082
77,0,2,203.67502168400682
78,0,2,204.82205116246496
79,0,2,206.36381986994792
80,0,3,208.13007837334928
81,0,3,213.83323596972116
82,0,3,216.57742531212477
83,0,3,219.74304889489122
84,0,4,222.54604209217052
85,0,4,223.81116680872344
86,0,4,224.63867016380698
87,0,4,225.45044118514068
88,0,4,226.26776544817915
89,0,4,227.13152962051484
90,0,4,227.99837769307712
91,0,4,228.7723459470454
92,0,4,229.54631420101362
93,0,4,230.48128018740823
94,0,4,231.3016883506735
95,0,4,232.05243664999327
96,0,4,233.09168807072615
97,0,4,233.64527111711345
98,0,4,234.46413733026532
99,0,4,235.26132553888218
100,0,4,235.98422803321327
84,1,4,236.84490830532204
85,1,4,237.05697179738553
86,1,4,237.66567988912337
87,1,4,238.55692644591159
88,1,4,239.3974706635987
89,1,4,240.2612348359343
90,1,4,241.03520308990255
91,1,4,241.83239129851935
92,1,4,242.6295795071361
93,1,4,243.56454549353072
94,1,4,244.33851374749892
95,1,4,244.99638222822455
96,1,4,245.99372724532736
97,1,4,246.5892166953447
98,1,4,247.40808290849665
99,1,4,248.20527111711345
100,1,4,248.951393566093
101,0,4,249.81207383820183
102,0,4,250.07057723956245
103,0,4,251.37934031468495
104,0,4,251.8228674889955
105,0,4,252.61475108687912
106,0,4,253.48381986994784
107,0,4,254.62988926625988
108,0,4,255.10197200352854
109,0,4,255.87075864545807
110,0,4,256.85216454114976
111,0,4,257.33293974901056
112,0,4,258.2667655561589
113,0,4,259.079647534347
114,0,4,260.06105343003867
115,0,4,260.83502168400685
116,0,4,261.6089899379751
117,0,4,262.40617814659186
118,0,4,263.3643640876349
119,0,4,264.1847722509002
120,0,4,264.98196045951704
121,0,4,266.22529575248194
122,0,4,266.6444547905827
123,0,4,267.44010104908614
124,0,4,268.2140693030545
125,0,4,269.05307157062816
101,1,4,269.7047722509002
102,1,4,269.8936157883152
103,1,4,271.2780999152993
104,1,4,271.64590603774826
105,1,4,272.6724359522782
106,1,4,273.33007837334924
107,1,4,273.6341146545284
108,1,4,274.791871268285
109,1,4,275.48481760237416
110,1,4,276.5358833620114
111,1,4,277.09245660464177
112,1,4,277.86894458650124
113,1,4,278.7633663552087
114,1,4,279.53579265906353
115,1,4,280.35620082232884
116,1,4,281.1533890309457
117,1,4,281.99701714885947
118,1,4,282.931983135254
119,1,4,283.58985161597957
120,1,4,284.45669968854196
121,1,4,285.66043067687224
122,1,4,286.09597406495914
123,1,4,286.91484027811117
124,1,4,290.8002824549818
125,1,4,295.4241373302653
