bar,repeat,movement,onset
1,0,1,0.43864285680945947
2,0,1,3.347304988328734
3,0,1,5.721908162931908
4,0,1,8.16771315159404
5,0,1,11.057781178804925
6,0,1,13.943223355675677
7,0,1,16.735785713952318
8,0,1,19.063948979258434
9,0,1,21.509753967920567
10,0,1,24.279096371548686
11,0,1,26.74966326497272
12,0,1,29.011250566560026
13,0,1,32.548393423702876
1,1,1,34.64127324229698
2,1,1,37.41061564592511
3,1,1,39.59945918334008
4,1,1,41.97560430805664
5,1,1,44.517373015539626
6,1,1,47.21705555522215
7,1,1,49.54521882052827
8,1,1,51.64118253934915
9,1,1,53.785128117580435
10,1,1,56.15973129218361
11,1,1,58.30521882052829
12,1,1,60.52036621281854
13,1,1,63.802089568827604
14,0,1,66.26648866179812
15,0,1,68.80363151894099
16,0,1,70.9460351470589
17,0,1,73.16118253934916
18,0,1,75.67510544184348
19,0,1,77.98313265272782
20,0,1,80.17506009036957
21,0,1,83.13170408129926
22,0,1,85.13787188175277
23,0,1,87.63011677971197
24,0,1,89.95982199513145
25,0,1,92.3375090699614
26,0,1,94.59755442143532
27,0,1,96.9288015869682
28,0,1,99.12072902460991
29,0,1,102.42567233526752
14,1,1,104.30957256202487
15,1,1,106.7073956912766
16,1,1,108.84979931939452
17,1,1,111.04172675703622
18,1,1,113.43954988628794
19,1,1,115.6546972785782
20,1,1,117.75374489762581
21,1,1,120.71038888855549
22,1,1,122.99519614479132
23,1,1,125.95184013572104
24,1,1,128.14222562324935
25,1,1,130.38059297018816
26,1,1,132.52453854841943
27,1,1,134.5074863942244
28,1,1,137.32635260737638
29,1,1,141.93161337835141
30,0,2,146.85732766406568
31,0,2,148.6761938772176
32,0,2,149.82322335567568
33,0,2,150.99347278878227
34,0,2,152.09406235794324
35,0,2,153.21787188175276
36,0,2,154.4113412695079
37,0,2,155.55682879785257
38,0,2,156.7270782309591
39,0,2,157.8741077094172
40,0,2,159.22857482959859
41,0,2,160.44526417200223
42,0,2,161.59229365046025
43,0,2,162.78576303821535
44,0,2,164.11855215386163
45,0,2,165.3352414962652
46,0,2,166.43583106542624
47,0,2,167.62930045318137
48,0,2,168.82276984093647
49,0,2,170.1307970518208
50,0,2,171.2313866209818
51,0,2,172.44807596338543
52,0,2,173.7328832196213
53,0,2,174.94957256202485
54,0,2,176.16471995431513
55,0,2,177.35818934207023
56,0,2,178.66775850306797
57,0,2,179.814787981526
58,0,2,181.09959523776183
59,0,2,182.31628458016544
60,0,2,183.46331405862358
61,0,2,184.63356349173011
62,0,2,185.80381292483668
63,0,2,186.9276224486462
64,0,2,188.16753174569837
65,0,2,189.33623922869154
66,0,2,190.4368287978525
67,0,2,191.6302981856077
68,0,2,192.82376757336277
69,0,2,194.01723696111782
70,0,2,195.2339263035215
71,0,2,196.51754127608055
72,0,2,197.62086507903172
73,0,2,198.93699197838956
74,0,2,200.10068367313596
75,0,2,201.2709331062426
76,0,2,202.51084240329473
77,0,2,203.68109183640127
78,0,2,204.85134126950794
79,0,2,206.4163299316394
80,0,3,209.47791723322678
81,0,3,213.90751473889563
82,0,3,216.58349546451922
83,0,3,219.74911904728566
84,0,4,223.14766780012096
85,0,4,223.79401700646937
86,0,4,224.6446169416815
87,0,4,225.4332913828866
88,0,4,226.13451587268247
89,0,4,227.11437981826072
90,0,4,227.98122789082302
91,0,4,228.8016360540884
92,0,4,229.5756043080566
93,0,4,230.46413038515416
94,0,4,231.2845385484194
95,0,4,232.0352868477392
96,0,4,232.82069543092553
97,0,4,233.6513412695079
98,0,4,234.4934274373083
99,0,4,235.24417573662805
100,0,4,236.0135181402562
84,1,4,236.87419841236502
85,1,4,237.0398219951314
86,1,4,237.81012647554428
87,1,4,238.5862165529546
88,1,4,239.4267607706417
89,1,4,240.26730498832873
90,1,4,241.08771315159407
91,1,4,241.8384614509138
92,1,4,242.63564965953054
93,1,4,243.52417573662805
94,1,4,244.2517040812993
95,1,4,245.21143197245573
96,1,4,245.68520510961756
97,1,4,246.59528684773915
98,1,4,247.4141530608911
99,1,4,248.1881213148594
100,1,4,248.9616433103242
101,0,4,249.88780385454183
102,0,4,250.05342743730836
103,0,4,251.31500157233864
104,0,4,251.82893764138996
105,0,4,252.94022284364294
106,0,4,253.48989002234228
107,0,4,254.6578038545419
108,0,4,255.08426471190072
109,0,4,255.85360884320406
110,0,4,256.69569501100455
111,0,4,257.47727552529636
112,0,4,258.2653095234762
113,0,4,259.0857176867414
114,0,4,259.974243763839
115,0,4,260.81787188175275
116,0,4,261.6382800450181
117,0,4,262.41224829898636
118,0,4,263.37043424002934
119,0,4,264.1676224486462
120,0,4,264.96481065726294
121,0,4,266.1850693286328
122,0,4,266.62730498832866
123,0,4,267.42295124683216
124,0,4,268.24335941009747
125,0,4,269.03592176837407
101,1,4,269.74398608500985
102,1,4,269.8996859407097
103,1,4,271.1213884206435
104,1,4,271.65197619014276
105,1,4,272.7013688292497
106,1,4,273.22004875250104
107,1,4,273.5938287550681
108,1,4,274.6844005641477
109,1,4,275.3515680268775
110,1,4,276.3794138318662
111,1,4,277.09829046359994
112,1,4,277.9025884350408
113,1,4,278.67655668900903
114,1,4,279.56508276610657
115,1,4,280.36227097472334
116,1,4,281.1594591833401
117,1,4,281.9102074826598
118,1,4,282.89161337835134
119,1,4,283.59592176837407
120,1,4,284.39310997699084
121,1,4,285.13564599761025
122,1,4,286.05560430805656
123,1,4,286.87447052120854
124,1,4,291.30267913798536
125,1,4,295.40698752801126
