bar,repeat,movement,onset
1,0,1,1.6460804985328155
2,0,1,5.3442210881019765
3,0,1,8.577962584700614
4,0,1,11.766806122115584
5,0,1,15.074833332999937
6,0,1,18.749753967920572
7,0,1,21.913835600573634
8,0,1,24.915377550687012
9,0,1,27.941681405562296
10,0,1,31.291522675403566
11,0,1,34.226488661798115
12,0,1,37.30077437608384
13,0,1,42.11501473889563
1,1,1,44.115014738895624
2,1,1,47.882815192410355
3,1,1,51.32553628084574
4,1,1,54.5769648522743
5,1,1,57.915286847739154
6,1,1,61.650071428238014
7,1,1,65.12580838968928
8,1,1,68.19954988628791
9,1,1,71.36263378651466
10,1,1,75.0375544214353
11,1,1,78.0886201810725
12,1,1,81.02358616746704
13,1,1,84.5607290246099
14,0,1,87.72172675703622
15,0,1,91.18766780012012
16,0,1,94.42140929671876
17,0,1,97.72789455748972
18,0,1,101.21705555522215
19,0,1,104.66286054388428
20,0,1,108.2712052150861
21,0,1,111.94766780012012
22,0,1,115.67211224456456
23,0,1,119.16281519241036
24,0,1,122.56063832166207
25,0,1,126.26186281145796
26,0,1,129.52036621281852
27,0,1,132.71075170034686
28,0,1,136.13333673436048
29,0,1,140.7850374146326
14,1,1,143.04045691576638
15,1,1,146.64571768674142
16,1,1,150.01315532846473
17,1,1,153.44136394524483
18,1,1,157.09506009036951
19,1,1,160.67818934207023
20,1,1,164.44907369581173
21,1,1,168.03265646225165
22,1,1,171.57134126950788
23,1,1,174.85306462551694
24,1,1,178.18122789082307
25,1,1,181.76635260737632
26,1,1,184.90875623549425
27,1,1,187.8437222218888
28,1,1,191.28952721055097
29,1,1,195.38394897925843
30,0,2,197.40716893390695
31,0,2,200.82821201780715
32,0,2,201.71982199513144
33,0,2,202.68109183640132
34,0,2,203.5959217683741
35,0,2,204.5339716549954
36,0,2,205.5184614509138
37,0,2,206.4781893420702
38,0,2,207.393019274043
39,0,2,208.40072902460992
40,0,2,209.5229965983061
41,0,2,210.73968594070965
42,0,2,211.84027550987065
43,0,2,212.84798526043758
44,0,2,213.9950147388956
45,0,2,215.21170408129927
46,0,2,216.31229365046022
47,0,2,217.32000340102712
48,0,2,218.32771315159403
49,0,2,219.3571009066961
50,0,2,220.3415907026145
51,0,2,221.37252040782985
52,0,2,222.47156802687746
53,0,2,223.6882573692811
54,0,2,224.7873049883287
55,0,2,225.9343344667868
56,0,2,227.01170408129923
57,0,2,228.04263378651464
58,0,2,229.2345612241564
59,0,2,230.4976904758571
60,0,2,231.5286201810725
61,0,2,232.652429704882
62,0,2,233.86911904728566
63,0,2,234.92326870714953
64,0,2,236.23283786814733
65,0,2,237.33188548719494
66,0,2,238.36281519241035
67,0,2,239.46340476157133
68,0,2,240.65687414932646
69,0,2,241.82712358243302
70,0,2,243.06703287948523
71,0,2,244.3740450811913
72,0,2,245.45397165499534
73,0,2,246.5154974081538
74,0,2,247.67837074796591
75,0,2,248.8021802717754
76,0,2,249.99564965953056
77,0,2,251.09623922869153
78,0,2,252.22004875250101
79,0,2,253.76181745998412
80,0,3,256.5660804985334
81,0,3,263.0141530608911
82,0,3,267.7602755098706
83,0,3,273.5033140586235
84,0,4,280.025853741167
85,0,4,281.2169648522744
86,0,4,281.94295124683214
87,0,4,283.41351814025614
88,0,4,284.48626190442855
89,0,4,285.48934580465533
90,0,4,286.5883934237028
91,0,4,287.664221088102
92,0,4,288.693608843204
93,0,4,289.8143344667868
94,0,4,290.9598219951314
95,0,4,291.91954988628794
96,0,4,292.89135168808974
97,0,4,294.0000034010272
98,0,4,295.02784920601573
99,0,4,296.01079705182076
100,0,4,297.0355589565827
84,1,4,298.03555895658263
85,1,4,298.2244024939976
86,1,4,299.18117780113545
87,1,4,300.3745158726825
88,1,4,301.4240396822063
89,1,4,302.49678344637863
90,1,4,303.5493911561291
91,1,4,304.57877891123115
92,1,4,305.70104648492736
93,1,4,306.7521122445646
94,1,4,308.153019274043
95,1,4,308.88054761871416
96,1,4,309.4904342400294
97,1,4,310.9610011334534
98,1,4,312.0120668930906
99,1,4,313.06467460284114
100,1,4,314.08943650760307
101,0,4,315.04299659830605
102,0,4,315.25506009036957
103,0,4,316.3363551269027
104,0,4,317.37886961417905
105,0,4,318.928367259391
106,0,4,319.52744104275047
107,0,4,321.0651828816244
108,0,4,321.7245163354526
109,0,4,322.6109784577165
110,0,4,323.7084841266506
111,0,4,324.63029613967655
112,0,4,325.81215759603856
113,0,4,326.84154535114055
114,0,4,328.0783707479659
115,0,4,329.1309784577165
116,0,4,330.16036621281853
117,0,4,331.32907369581176
118,0,4,332.51945918334
119,0,4,333.5256269837936
120,0,4,334.8104342400294
121,0,4,335.500585459753
122,0,4,336.7051281175804
123,0,4,337.73297392256904
124,0,4,338.7623616776711
125,0,4,339.8567834463786
101,1,4,340.8567834463786
102,1,4,341.1152868477392
103,1,4,341.9999888885555
104,1,4,343.51773582733097
105,1,4,344.5467671357608
106,1,4,345.4108877547686
107,1,4,346.5899254789492
108,1,4,347.4757829928639
109,1,4,348.5640850336802
110,1,4,349.777690475857
111,1,4,350.9606169416815
112,1,4,351.99746371848744
113,1,4,353.07329138288657
114,1,4,354.28689682506337
115,1,4,355.36272448946255
116,1,4,356.39211224456443
117,1,4,357.51437981826064
118,1,4,361.23574036247834
119,1,4,362.4044478454716
120,1,4,363.38739569127654
121,1,4,364.3623506462315
122,1,4,365.4678492060157
123,1,4,366.4492551017074
124,1,4,372.5638129248366
125,1,4,375.07410770941544
