bar,repeat,movement,onset
1,0,1,0.0346023947913636
2,0,1,0.9070826884961471
3,0,1,2.2497497870816128
4,0,1,3.6754187213219756
5,0,1,5.008207836968237
6,0,1,6.24811713402039
7,0,1,8.138185161231274
8,0,1,9.376552508170047
9,0,1,10.84866135170746
10,0,1,12.294803839710417
11,0,1,13.721677224723335
12,0,1,15.054466340369592
13,0,1,16.433695365312907
14,0,1,18.322221442410413
15,0,1,19.771110331299308
16,0,1,21.173559310891136
17,0,1,22.599228245131503
18,0,1,23.932017360777767
19,0,1,25.984625070528327
20,0,1,27.038774730392284
21,0,1,28.367255456015858
22,0,1,29.70435296168479
23,0,1,31.153241850573682
1,1,1,32.153241850573686
2,1,1,33.574816194597
3,1,1,34.76312847188887
4,1,1,36.3281171340204
5,1,1,37.591246385721064
6,1,1,38.83115568277324
7,1,1,40.93020330182085
8,1,1,42.02925092086846
9,1,1,43.45526305545202
10,1,1,44.8805887893492
11,1,1,46.14217609093649
12,1,1,47.428525297285724
13,1,1,48.94707405012017
14,1,1,50.44086089819273
15,1,1,51.820089923136045
16,1,1,53.33863867597051
17,1,1,54.60176792767119
18,1,1,55.953015093204066
19,1,1,57.453105796151924
20,1,1,58.948434594337854
21,1,1,60.39732348322674
22,1,1,61.70689264422448
23,1,1,63.03968175987073
24,0,1,64.03968175987072
25,0,1,65.20033412338024
26,0,1,66.11550942426982
27,0,1,67.21609899343082
28,0,1,68.80430761021087
29,0,1,70.02099695261452
30,0,1,71.81818516123127
31,0,1,72.96367268957593
32,0,1,74.52866135170748
33,0,1,75.96420527867996
34,0,1,77.05518480319333
35,0,1,78.68956838118594
36,0,1,79.88303776894104
37,0,1,81.35514661247844
38,0,1,82.75759559207027
39,0,1,84.1368246170136
40,0,1,85.5160536419569
41,0,1,87.41118502784458
42,0,1,88.83333255352152
43,0,1,90.42154117030157
44,0,1,91.77755024059637
45,0,1,93.41219876667346
46,0,1,94.9307475195079
47,0,1,97.98242461701359
48,0,1,98.98181327914511
49,0,1,100.45392212268254
50,0,1,101.76349128368024
51,0,1,103.04984049002948
52,0,1,104.70770897075512
53,0,1,107.085396045585
54,0,1,107.95378606826075
55,0,1,109.51877473039232
56,0,1,113.15033935624261
57,0,2,114.01101962835143
58,0,2,115.63950035397505
59,0,2,116.5744663403696
60,0,2,117.46145046735373
61,0,2,118.37319649909976
62,0,2,119.38502044235224
63,0,2,120.33755024059636
64,0,2,121.41610597058065
65,0,2,122.18426225873696
66,0,2,123.1873461589637
67,0,2,124.09909219070973
68,0,2,124.98607631769384
69,0,2,125.8978223494399
70,0,2,126.87922824513153
71,0,2,127.79097427687756
72,0,2,128.67795840386168
73,0,2,129.4968246170136
74,0,2,130.4534686079433
75,0,2,131.36521463968933
76,0,2,132.3915184945646
77,0,2,133.3961443449047
78,0,2,134.28312847188883
79,0,2,135.21809445828342
80,0,2,136.36358198662813
81,0,2,137.0462123721156
82,0,2,137.9811783585102
83,0,2,138.8929243902562
84,0,2,139.80621237211568
85,0,2,140.78761826780718
86,0,2,141.86036203197958
87,0,2,142.8649878823197
88,0,2,143.82625772358958
89,0,2,144.76122370998408
90,0,2,145.7178677009138
91,0,2,146.6491148664467
92,0,2,147.6574595376485
93,0,2,148.73020330182084
94,0,2,149.68838924286388
95,0,2,150.6481171340204
96,0,2,151.6063030750634
97,0,2,152.612470875517
98,0,2,153.57065681656002
99,0,2,154.52730080748975
100,0,2,155.48548674853288
101,0,2,156.49011259887294
102,0,2,157.6340581771043
103,0,2,158.47460239479133
104,0,2,159.45600829048294
105,0,2,160.4126522814127
106,0,2,161.39405817710426
107,0,2,162.42036203197958
108,0,2,163.35532801837417
109,0,2,164.26553210000677
110,0,2,165.17727813175281
111,0,2,166.1961386759705
112,0,2,167.23296974173013
113,0,2,167.904933460551
114,0,2,168.8970060229093
115,0,2,169.8087520546553
116,0,2,170.99913754218366
117,0,2,171.82108765556234
118,0,2,172.6647157734762
119,0,2,173.8352803993265
120,0,2,175.55605364195688
121,0,2,179.07024865329475
122,0,3,180.07024865329475
123,0,3,181.72503323379365
124,0,3,182.91233482109513
125,0,3,184.1723801725691
126,0,3,185.15070216803397
127,0,3,186.0856681544285
128,0,3,187.48503323379362
129,0,3,189.09491985510877
122,1,3,190.18779967370293
123,1,3,192.00512393674146
124,1,3,193.07632575080046
125,1,3,194.3828110115714
126,1,3,195.36113300703627
127,1,3,196.3889788120249
128,1,3,197.78834389138996
129,1,3,199.65365001383904
130,0,3,200.65365001383896
131,0,3,202.21401282563033
132,0,3,203.5886160002336
133,0,3,204.50926198220355
134,0,3,206.22172257619724
135,0,3,207.50807178254638
136,0,3,209.49101962835144
137,0,3,210.05446634036952
138,0,3,211.24276792767114
139,0,3,212.87641645374825
140,0,3,213.94761826780717
141,0,3,215.43832121565305
142,0,3,216.55904683923583
143,0,3,217.86707405012012
144,0,3,219.29120103424705
145,0,3,221.17664321111786
130,1,3,222.17664321111786
131,1,3,223.3422667938844
132,1,3,224.8329697417301
133,1,3,225.80752756485933
134,1,3,227.6286160002336
135,1,3,228.93818516123127
136,1,3,230.91299734697512
137,1,3,231.64711940159407
138,1,3,232.69818516123124
139,1,3,234.63160919751243
140,1,3,235.44739151043765
141,1,3,237.14707405012012
142,1,3,237.9693972824434
143,1,3,241.36376339252374
144,1,3,246.36376339252377
145,1,3,249.36376339252382
