bar,repeat,movement,onset
1,0,1,0.0639953234625636
2,0,1,1.855015731625829
3,0,1,3.3472606295850125
4,0,1,5.0051291103106355
5,0,1,6.454017999199527
6,0,1,7.926126842736942
7,0,1,10.025174461784557
8,0,1,12.401319586501112
9,0,1,13.919868339335581
10,0,1,15.809936366546467
11,0,1,17.373383078564608
12,0,1,19.00803160464171
13,0,1,20.990979450446684
14,0,1,22.716965845004513
15,0,1,24.537374008269815
16,0,1,26.148802579698383
17,0,1,27.760231151126966
18,0,1,29.557419359743733
19,0,1,31.354607568360514
20,0,1,33.15179577697731
21,0,1,34.99542389489113
22,0,1,36.630072420968226
23,0,1,38.49692049353059
1,1,1,39.821999858609956
2,1,1,41.821999858609956
3,1,1,43.453564484460294
4,1,1,45.25075269307706
5,1,1,46.76930144591153
6,1,1,48.264630244097475
7,1,1,50.13147831665983
8,1,1,52.368303713485226
9,1,1,53.933292375616766
10,1,1,55.846580357476164
11,1,1,57.38680711484577
12,1,1,59.02145564092287
13,1,1,60.95796357743081
14,1,1,62.77682979058273
15,1,1,64.64367786314511
16,1,1,66.23188647992514
17,1,1,67.7504352327596
18,1,1,69.36186380418818
19,1,1,71.36803160464169
20,1,1,73.11877990396144
21,1,1,74.8230882939841
22,1,1,76.27197718287297
23,1,1,78.16204521008389
24,0,1,79.34780484727209
25,0,1,81.34780484727209
26,0,1,82.70073001734012
27,0,1,84.17283886087753
28,0,1,85.76104747765757
29,0,1,87.44213591303175
30,0,1,89.10000439375735
31,0,1,91.45292956382539
32,0,1,93.11079804455102
33,0,1,94.83832638922223
34,0,1,96.56585473389345
35,0,1,98.33982298786165
36,0,1,100.02091142323584
37,0,1,101.7948796772041
38,0,1,103.45274815792968
39,0,1,105.36603613978912
40,0,1,107.3257640309456
41,0,1,109.58889328264624
42,0,1,111.17710189942632
43,0,1,112.85819033480045
44,0,1,114.51605881552607
45,0,1,116.35968693343992
46,0,1,118.29619486994788
47,0,1,121.27297491529932
48,0,1,123.09029917833789
49,0,1,124.70172774976643
50,0,1,126.1506166386553
51,0,1,127.59950552754421
52,0,1,129.5592334187007
53,0,1,131.44930144591154
54,0,1,133.08394997198866
55,0,1,134.8346982713084
56,0,1,136.70154634387075
24,1,1,137.9569658450045
25,1,1,140.04984566359863
26,1,1,141.4259907883152
27,1,1,142.85165972255558
28,1,1,144.41664838468705
29,1,1,146.0745168654127
30,1,1,147.8252651647324
31,1,1,150.03887060690934
32,1,1,151.6735191329864
33,1,1,153.37782752300907
34,1,1,154.98925609443765
35,1,1,156.71678443910884
36,1,1,158.397872874483
37,1,1,160.3111608563424
38,1,1,162.01546924636506
39,1,1,163.83587740963037
40,1,1,165.7259454368412
41,1,1,168.52313364545805
42,1,1,170.13456221688662
43,1,1,171.86209056155778
44,1,1,173.543178996932
45,1,1,175.36358716019726
46,1,1,177.3697549606507
47,1,1,180.09111550486847
48,1,1,181.51370053888218
49,1,1,183.19478897425623
50,1,1,184.66689781779365
51,1,1,186.18544657062816
52,1,1,188.075514597839
53,1,1,189.9191427157528
54,1,1,191.60023115112702
55,1,1,193.58317899693196
56,1,1,195.79832638922215
57,0,2,199.8314329651856
58,0,2,202.90825836201134
59,0,2,203.93610416700005
60,0,2,204.93918806722672
61,0,2,205.9205939629184
62,0,2,206.94998171802038
63,0,2,207.884947704415
64,0,2,208.88957355475503
