bar,repeat,movement,onset
1,0,1,0.0455549889954625
2,0,1,1.5476040510445246
3,0,1,3.398480159063489
4,0,1,5.00990873049206
5,0,1,6.435577664732427
6,0,1,7.954126417566893
7,0,1,9.890634354074825
8,0,1,12.38287925203401
9,0,1,13.924647959517007
10,0,1,15.791496032079365
11,0,1,17.354942744097507
12,0,1,19.036031179471653
13,0,1,21.018979025276632
14,0,1,22.721745465185943
15,0,1,24.518933673802714
16,0,1,26.176802154528335
17,0,1,27.76501077130839
18,0,1,29.58541893457369
19,0,1,31.336167233893413
20,0,1,33.110135487861676
21,0,1,35.00020351507255
22,0,1,36.611632086501125
23,0,1,38.66423979625169
1,1,1,39.73934183706802
2,1,1,41.7571196148458
3,1,1,43.43512414999319
4,1,1,45.23231235860996
5,1,1,46.75086111144443
6,1,1,48.29262981892742
7,1,1,50.089818027544204
8,1,1,52.39630328831518
9,1,1,53.93807199579819
10,1,1,55.82814002300906
11,1,1,57.3915867350272
12,1,1,59.0262352611043
13,1,1,60.93952324296371
14,1,1,62.85126927470973
15,1,1,64.64845748332654
16,1,1,66.23666610010655
17,1,1,67.75521485294102
18,1,1,69.36664342436961
19,1,1,71.34959127017459
20,1,1,73.10033956949434
21,1,1,74.804647959517
22,1,1,76.2767568030544
23,1,1,78.37580442210204
24,0,1,79.50278854908615
25,0,1,81.50162150449054
26,0,1,82.68228968287302
27,0,1,84.17761848105896
28,0,1,85.76582709783901
29,0,1,87.44691553321316
30,0,1,89.12800396858731
31,0,1,91.45770918400683
32,0,1,93.20845748332654
33,0,1,94.84310600940366
34,0,1,96.57063435407485
35,0,1,98.34460260804309
36,0,1,100.00247108876874
37,0,1,101.79965929738553
38,0,1,103.43430782346258
39,0,1,105.37081575997053
40,0,1,107.33054365112703
41,0,1,109.59367290282768
42,0,1,111.18188151960773
43,0,1,112.86296995498189
44,0,1,114.49761848105896
45,0,1,116.34124659897282
46,0,1,118.3009744901293
47,0,1,121.13843480758959
48,0,1,123.11829875316782
49,0,1,124.66006746065081
50,0,1,126.15539625883675
51,0,1,127.60428514772566
52,0,1,129.5407930842336
53,0,1,131.45408106609298
54,0,1,133.11194954681858
55,0,1,134.8162579368413
