bar,repeat,movement,onset
1,0,1,0.03783347539005888
2,0,1,8.42332100373473
3,0,1,9.242187216886657
4,0,1,10.574976332532914
5,0,1,11.838105584233597
6,0,1,13.07801488128575
7,0,1,14.364364087634955
8,0,1,16.20645025543541
9,0,1,17.516019416433142
10,0,1,18.89524844137645
11,0,1,19.99429606042407
12,0,1,21.25742531212475
13,0,1,23.147493339335636
14,0,1,24.084001275843576
15,0,1,25.60255002867804
16,0,1,26.884500142056726
17,0,1,28.19846839602498
18,0,1,29.508037557022707
19,0,1,31.16590603774834
20,0,1,32.70767474523133
21,0,1,34.133343679471686
22,0,1,35.326813067226794
23,0,1,36.72926204681862
1,1,1,37.798921910764214
2,1,1,39.38096272709074
3,1,1,40.339148668133824
4,1,1,41.69515773842859
5,1,1,43.004726899426345
6,1,1,44.24463619647849
7,1,1,45.50776544817917
8,1,1,47.39629152527667
9,1,1,48.75230059557147
10,1,1,50.224409439108875
11,1,1,51.393116922102074
12,1,1,52.63302621915421
13,1,1,54.58713052754424
14,1,1,55.413162273576006
15,1,1,57.0478107996531
16,1,1,58.403819869947874
17,1,1,59.7830488948912
18,1,1,61.11583801053745
19,1,1,62.68082667266896
20,1,1,64.22259538015197
21,1,1,65.64826431439232
22,1,1,66.88817361144444
23,1,1,68.19774277244221
24,0,1,69.08164299919957
25,0,1,70.28179848996731
26,0,1,70.92527111711344
27,0,1,72.18840036881414
28,0,1,73.40508971121771
29,0,1,74.66821896291843
30,0,1,76.0010080785647
31,0,1,77.49479492663724
32,0,1,78.78114413298643
33,0,1,80.11393324863272
34,0,1,81.49316227357605
35,0,1,82.87239129851932
36,0,1,84.15874050486855
37,0,1,85.4683096658663
38,0,1,86.80109878151251
39,0,1,88.06422803321321
40,0,1,89.44345705815654
41,0,1,91.3582869901293
42,0,1,92.80717587901822
43,0,1,94.13996499466445
44,0,1,95.44953415566218
45,0,1,96.78232327130846
46,0,1,98.60273143457378
47,0,1,100.9293527497665
48,0,1,101.81049870408316
49,0,1,103.08100807856471
50,0,1,104.38836365571615
51,0,1,105.51438676337195
52,0,1,106.98649560690937
53,0,1,108.78368381552613
54,0,1,110.07003302187533
55,0,1,111.3099423189275
56,0,1,112.73561125316783
24,1,1,113.8052711171134
25,1,1,115.09642757969846
26,1,1,115.74283547619038
27,1,1,117.07456816926766
28,1,1,118.31447746631981
29,1,1,119.60082667266897
30,1,1,121.00327565226084
31,1,1,122.54350240963045
32,1,1,123.8762915252767
33,1,1,125.13942077697737
34,1,1,126.51864980192069
35,1,1,127.87465887221546
36,1,1,129.20744798786174
37,1,1,130.60989696745358
38,1,1,131.89624617380278
39,1,1,133.13615547085493
40,1,1,134.53320762504993
41,1,1,136.38377451847404
42,1,1,137.8558833620114
43,1,1,139.25833234160316
44,1,1,140.56790150260102
45,1,1,141.94713052754426
46,1,1,143.79075864545808
47,1,1,146.23347973389346
48,1,1,147.05234594704547
49,1,1,148.3851350626917
50,1,1,149.69470422368937
51,1,1,150.84173370214754
52,1,1,152.33706250033342
53,1,1,154.38967021008395
54,1,1,155.69923937108175
55,1,1,156.98558857743092
56,1,1,158.78277678604763
57,0,2,160.990214427771
58,0,2,163.64037315792976
59,0,2,164.43601941643323
60,0,2,165.3230035434173
61,0,2,166.21152962051482
62,0,2,167.10159764772567
63,0,2,167.96690377017467
64,0,2,169.00964173357704
65,0,2,169.6742960604241
66,0,2,170.6773799606509
67,0,2,171.58912599239687
68,0,2,172.47611011938105
69,0,2,173.31819628718148
70,0,2,174.30347573229284
71,0,2,175.21134821461916
72,0,2,176.12155229625174
73,0,2,176.9171985547552
74,0,2,177.82740263638786
75,0,2,178.73914866813385
76,0,2,179.57969288582098
77,0,2,180.44499900826992
78,0,2,181.28554322595696
79,0,2,182.17406930305452
80,0,2,183.06413733026534
81,0,2,183.93252735294107
82,0,2,184.72817361144453
83,0,2,185.63991964319052
84,0,2,186.52998767040145
85,0,2,187.39529379285037
86,0,2,188.3287178291316
87,0,2,189.21724390622913
