bar,repeat,movement,onset
1,0,1,0.0215192743831948
2,0,1,8.407006802727865
3,0,1,9.225873015879793
4,0,1,10.55866213152605
5,0,1,11.821791383226733
6,0,1,13.061700680278886
7,0,1,14.34804988662809
8,0,1,16.190136054428546
9,0,1,17.499705215426275
10,0,1,18.878934240369585
11,0,1,19.977981859417202
12,0,1,21.241111111117885
13,0,1,23.131179138328772
14,0,1,24.067687074836712
15,0,1,25.58623582767117
16,0,1,26.868185941049862
17,0,1,28.182154195018114
18,0,1,29.491723356015843
19,0,1,31.149591836741475
20,0,1,32.691360544224466
21,0,1,34.11702947846482
22,0,1,35.31049886621993
23,0,1,36.71294784581176
1,1,1,37.78260770975735
2,1,1,39.364648526083876
3,1,1,40.32283446712696
4,1,1,41.67884353742173
5,1,1,42.98841269841948
6,1,1,44.228321995471624
7,1,1,45.49145124717231
8,1,1,47.37997732426982
9,1,1,48.735986394564605
10,1,1,50.20809523810201
11,1,1,51.37680272109521
12,1,1,52.61671201814735
13,1,1,54.57081632653738
14,1,1,55.39684807256914
15,1,1,57.031496598646235
16,1,1,58.38750566894101
17,1,1,59.76673469388434
18,1,1,61.09952380953059
19,1,1,62.66451247166209
20,1,1,64.20628117914512
21,1,1,65.63195011338547
22,1,1,66.8718594104376
23,1,1,68.18142857143536
24,0,1,69.06532879819271
25,0,1,70.26548428896047
26,0,1,70.90895691610659
27,0,1,72.17208616780728
28,0,1,73.38877551021086
29,0,1,74.65190476191157
30,0,1,75.98469387755785
31,0,1,77.47848072563039
32,0,1,78.76482993197958
33,0,1,80.09761904762587
34,0,1,81.4768480725692
35,0,1,82.85607709751247
36,0,1,84.1424263038617
37,0,1,85.45199546485944
38,0,1,86.78478458050566
39,0,1,88.04791383220635
40,0,1,89.42714285714968
41,0,1,91.34197278912245
42,0,1,92.79086167801137
43,0,1,94.12365079365759
44,0,1,95.43321995465531
45,0,1,96.7660090703016
46,0,1,98.58641723356693
47,0,1,100.91303854875963
48,0,1,101.79418450307631
49,0,1,103.06469387755784
50,0,1,104.3720494547093
51,0,1,105.4980725623651
52,0,1,106.97018140590252
53,0,1,108.76736961451928
54,0,1,110.05371882086848
55,0,1,111.29362811792065
56,0,1,112.71929705216098
24,1,1,113.78895691610654
25,1,1,115.0801133786916
26,1,1,115.72652127518352
27,1,1,117.0582539682608
28,1,1,118.29816326531297
29,1,1,119.58451247166212
30,1,1,120.98696145125399
31,1,1,122.5271882086236
32,1,1,123.85997732426985
33,1,1,125.12310657597052
34,1,1,126.50233560091384
35,1,1,127.8583446712086
36,1,1,129.1911337868549
37,1,1,130.59358276644673
38,1,1,131.87993197279593
39,1,1,133.11984126984805
40,1,1,134.51689342404305
41,1,1,136.36746031746716
42,1,1,137.83956916100453
43,1,1,139.24201814059631
44,1,1,140.55158730159414
45,1,1,141.9308163265374
46,1,1,143.7744444444512
47,1,1,146.2171655328866
48,1,1,147.0360317460386
49,1,1,148.36882086168484
50,1,1,149.6783900226825
51,1,1,150.82541950114066
52,1,1,152.32074829932654
53,1,1,154.37335600907707
54,1,1,155.6829251700749
55,1,1,156.96927437642407
56,1,1,158.76646258504078
57,0,2,160.97390022676416
58,0,2,163.62405895692288
59,0,2,164.41970521542638
60,0,2,165.3066893424104
61,0,2,166.19521541950797
62,0,2,167.0852834467188
