bar,repeat,movement,onset
1,0,1,0.4618628114579856
2,0,1,2.669209750233493
3,0,1,4.551477323929642
4,0,1,6.3873049883287365
5,0,1,8.565264172002204
6,0,1,10.540411564292459
7,0,1,12.422679137988606
8,0,1,14.16562698379359
9,0,1,16.27855215386161
10,0,1,18.416239228691552
11,0,1,20.461046484927373
12,0,1,22.552293650460253
13,0,1,24.733336734360478
14,0,1,26.6852641720022
15,0,1,28.799731292183605
16,0,1,30.93741836701354
17,0,1,33.3274410427505
18,0,1,35.76698752801125
19,0,1,37.951114512138226
20,0,1,40.11202154161669
21,0,1,43.050257461835145
22,0,1,44.92145464819266
23,0,1,47.17215759603846
24,0,1,49.56526417200219
25,0,1,51.865490929371795
26,0,1,54.026397958850225
27,0,2,58.999277777444355
28,0,2,66.30812131485929
29,0,3,73.41856727101958
30,0,3,75.52481065726293
31,0,3,77.56190816293189
32,0,3,79.50766780012007
33,0,3,81.54322335567564
34,0,3,83.60354081599311
35,0,3,85.59419841236497
36,0,3,87.5167380949047
37,0,3,89.8798917666298
38,0,3,91.59247505635592
39,0,3,93.90512811758049
40,0,3,95.90195351440583
41,0,3,97.98549092937185
42,0,3,100.04580838968933
43,0,3,102.17732766406576
44,0,3,104.16111395907151
45,0,3,106.43111451213832
46,0,3,108.90630725590243
47,0,3,111.03628458016547
48,0,3,113.16626190442851
49,0,3,115.20490136021087
50,0,3,117.24354081599316
51,0,3,119.37814399059633
52,0,3,121.62188374290747
53,0,3,123.56843877517686
54,0,3,125.79746371848752
55,0,3,128.0435408159932
56,0,3,130.08063832166206
57,0,3,132.11927777744438
58,0,4,137.58830272075502
59,0,4,138.68272448946254
60,0,4,140.10839342370286
61,0,4,141.62077437608383
62,0,4,143.00308730125388
63,0,4,144.52163605408845
64,0,4,145.99220294751242
65,0,4,147.55564965953062
66,0,4,148.93796258470067
67,0,4,150.54939115612922
68,0,4,152.04471995431513
69,0,4,153.58648866179817
70,0,4,155.01524149626528
58,1,4,156.43474263005217
59,1,4,156.67002607676412
60,1,4,158.18857482959862
61,1,4,159.72417573662813
62,1,4,161.24580838968936
63,1,4,162.7875770971723
64,1,4,164.32780385454186
65,1,4,165.93769047585712
66,1,4,167.36644331032423
67,1,4,168.9314319724557
68,1,4,170.40354081599318
69,1,4,171.89886961417912
70,1,4,173.3276224486462
71,0,4,174.6078038545419
72,0,4,174.95980571511518
73,0,4,176.47773582733103
74,0,4,178.05977664365756
75,0,4,179.4885294781247
76,0,4,181.09687414932654
77,0,4,182.45596711984805
78,0,4,184.01787188175277
79,0,4,185.5132006799388
80,0,4,187.05734183640132
81,0,4,188.66639795885024
82,0,4,190.27782653027893
83,0,4,191.79637528311335
84,0,4,193.35982199513145
85,0,4,194.8582346935442
71,1,4,196.23129591803394
72,1,4,196.4897993193945
73,1,4,198.03156802687755
74,1,4,199.61360884320402
75,1,4,201.0191417230226
76,1,4,202.650706348873
77,1,4,204.0794591833401
78,1,4,205.75746371848757
79,1,4,207.27601247132193
80,1,4,208.79456122415635
81,1,4,210.49886961417914
82,1,4,212.15673809490474
83,1,4,213.6288469384421
84,1,4,215.21551360510884
85,1,4,227.73850680238726
