bar,repeat,movement,onset
1,0,1,0.4648572849137572
2,0,1,2.6722042236892647
3,0,1,4.554471797385414
4,0,1,6.390299461784508
5,0,1,8.568258645457973
6,0,1,10.54340603774823
7,0,1,12.425673611444376
8,0,1,14.168621457249362
9,0,1,16.281546627317383
10,0,1,18.419233702147324
11,0,1,20.464040958383148
12,0,1,22.55528812391603
13,0,1,24.73633120781625
14,0,1,26.68825864545797
15,0,1,28.802725765639376
16,0,1,30.94041284046931
17,0,1,33.33043551620627
18,0,1,35.76998200146702
19,0,1,37.954108985594004
20,0,1,40.11501601507246
21,0,1,43.053251935290916
22,0,1,44.92444912164843
23,0,1,47.17515206949423
24,0,1,49.56825864545796
25,0,1,51.86848540282757
26,0,1,54.029392432306
27,0,2,59.00227225090013
28,0,2,66.31111578831508
29,0,3,73.42156174447535
30,0,3,75.52780513071872
31,0,3,77.56490263638766
32,0,3,79.51066227357586
33,0,3,81.54621782913142
34,0,3,83.60653528944889
35,0,3,85.59719288582076
36,0,3,87.51973256836047
37,0,3,89.88288624008557
38,0,3,91.5954695298117
39,0,3,93.90812259103627
40,0,3,95.90494798786162
41,0,3,97.98848540282764
42,0,3,100.0488028631451
43,0,3,102.18032213752154
44,0,3,104.1641084325273
45,0,3,106.4341089855941
46,0,3,108.9093017293582
47,0,3,111.03927905362126
48,0,3,113.1692563778843
49,0,3,115.20789583366665
50,0,3,117.24653528944893
51,0,3,119.38113846405211
52,0,3,121.62487821636326
53,0,3,123.57143324863263
54,0,3,125.80045819194329
55,0,3,128.04653528944897
56,0,3,130.08363279511784
57,0,3,132.12227225090012
58,0,4,137.5912971942108
59,0,4,138.6857189629183
60,0,4,140.11138789715864
61,0,4,141.6237688495396
62,0,4,143.00608177470966
63,0,4,144.52463052754422
64,0,4,145.99519742096817
65,0,4,147.5586441329864
66,0,4,148.94095705815644
67,0,4,150.552385629585
68,0,4,152.0477144277709
69,0,4,153.58948313525394
70,0,4,155.01823596972105
58,1,4,156.43773710350794
59,1,4,156.6730205502199
60,1,4,158.1915693030544
61,1,4,159.7271702100839
62,1,4,161.24880286314513
63,1,4,162.79057157062806
64,1,4,164.33079832799763
65,1,4,165.9406849493129
66,1,4,167.36943778377997
67,1,4,168.93442644591147
68,1,4,170.40653528944895
69,1,4,171.9018640876349
70,1,4,173.33061692210197
71,0,4,174.61079832799768
72,0,4,174.96280018857095
73,0,4,176.48073030078677
74,0,4,178.06277111711333
75,0,4,179.49152395158046
76,0,4,181.09986862278228
77,0,4,182.45896159330383
78,0,4,184.02086635520854
79,0,4,185.51619515339456
80,0,4,187.0603363098571
81,0,4,188.66939243230598
82,0,4,190.2808210037347
83,0,4,191.79936975656912
84,0,4,193.36281646858723
85,0,4,194.86122916699998
71,1,4,196.23429039148968
72,1,4,196.49279379285028
73,1,4,198.03456250033332
74,1,4,199.6166033166598
75,1,4,201.02213619647839
76,1,4,202.65370082232877
77,1,4,204.08245365679588
78,1,4,205.76045819194331
79,1,4,207.2790069447777
80,1,4,208.79755569761213
81,1,4,210.50186408763489
82,1,4,212.1597325683605
83,1,4,213.63184141189788
84,1,4,215.2185080785646
85,1,4,227.74150127584304
