bar,repeat,movement,onset
1,0,1,0.48976731356495173
2,0,1,2.650674343043407
3,0,1,4.532941916739557
4,0,1,6.391989535787175
5,0,1,8.546728764812116
6,0,1,10.568316066399426
7,0,1,12.427363685447046
8,0,1,14.170311531252032
9,0,1,16.28323670132005
10,0,1,18.374483866852934
11,0,1,20.558610850979925
12,0,1,22.53375824327017
13,0,1,24.73802128181892
14,0,1,26.689948719460645
15,0,1,28.80441583964205
16,0,1,30.98854282376903
17,0,1,33.332125590208946
18,0,1,35.748452120821156
19,0,1,37.979019014245196
20,0,1,40.11670608907513
21,0,1,42.987584563921885
22,0,1,44.92613919565109
23,0,1,47.20006209814542
24,0,1,49.56174010268059
25,0,1,51.870175476830234
26,0,1,59.58065166730639
27,0,2,67.28187615710233
28,0,2,70.32985801651274
29,0,3,73.24523216617266
30,0,3,75.52949520472137
31,0,3,77.5433727557418
32,0,3,79.51235234757851
33,0,3,81.52468794848556
34,0,3,83.58500540880303
35,0,3,85.57566300517489
36,0,3,87.52142264236313
37,0,3,89.5353001933835
38,0,3,91.6203795584629
39,0,3,93.90981266503893
40,0,3,95.9298580165128
41,0,3,97.99017547683029
42,0,3,100.02727298249924
43,0,3,102.1820122115242
44,0,3,104.11938398563062
45,0,3,106.41257910494824
46,0,3,108.90736368544704
47,0,3,111.04096912762392
48,0,3,113.14772649723842
49,0,3,115.16314599837226
50,0,3,117.2482253634516
51,0,3,119.3828285380548
52,0,3,121.55755696910973
53,0,3,123.38736368544708
54,0,3,125.77892831129743
55,0,3,127.9089056355605
56,0,3,130.03888295982347
57,0,3,132.10074237025427
58,0,4,138.4289056355604
59,0,4,138.66418908227243
60,0,4,140.06663806186424
61,0,4,141.62545892354225
62,0,4,143.0077718487123
63,0,4,144.50310064689836
64,0,4,145.99688749497088
65,0,4,147.56033420698907
66,0,4,148.94264713215912
67,0,4,150.53085574893913
68,0,4,152.02618454712504
69,0,4,153.54473329995957
70,0,4,154.9967060890752
58,1,4,156.41620722286208
59,1,4,156.69793057887108
60,1,4,158.17003942240854
61,1,4,159.70564032943804
62,1,4,161.3898126650389
63,1,4,162.7922616446307
64,1,4,164.30926844735177
65,1,4,165.919155068667
66,1,4,167.3014679938371
67,1,4,168.9128965652656
68,1,4,170.40822536345163
69,1,4,171.88033420698903
70,1,4,173.28586708680757
71,0,4,174.58926844735183
72,0,4,174.9406516673065
73,0,4,176.45920042014092
74,0,4,178.06446119111598
75,0,4,179.4699940709346
76,0,4,181.07833874213642
77,0,4,182.46065166730648
78,0,4,184.02255642921122
79,0,4,185.51788522739724
80,0,4,187.05965393488012
81,0,4,188.64786255166013
82,0,4,190.25929112308881
83,0,4,191.77783987592326
84,0,4,193.36450654258994
85,0,4,194.83969928635412
71,1,4,196.1895405561953
72,1,4,196.4944838668529
73,1,4,198.01303261968746
74,1,4,199.5950734360139
75,1,4,201.023826270481
76,1,4,202.60895098703438
77,1,4,204.08414373079853
78,1,4,205.73892831129746
79,1,4,207.26047026141077
80,1,4,208.77602581696627
81,1,4,210.48033420698903
82,1,4,213.62427978522024
83,1,4,215.79298726821347
84,1,4,220.7929872682135
85,1,4,228.4679079031341
