bar,repeat,movement,onset
1,0,1,2.064039682206285
2,0,1,4.759005668600841
3,0,1,6.896692743430775
4,0,1,8.895060090369546
5,0,1,12.210797051820794
6,0,1,14.766443310324204
7,0,1,16.880910430505608
8,0,1,18.879277777444393
9,0,1,21.758461450913774
10,0,1,24.267667800120115
11,0,1,26.5446746028412
12,0,1,28.89134126950787
13,0,1,31.861862811457986
14,0,1,34.371069160664334
15,0,1,36.973155328464784
16,0,1,39.22694217653735
17,0,1,41.98848412665071
18,0,1,44.54413038515416
19,0,1,46.937236961117854
20,0,1,49.492883219621284
21,0,1,52.70821907248092
22,0,1,54.74349546451924
23,0,1,57.714017006469355
24,0,1,60.13034353708158
25,0,1,62.593109976990895
26,0,1,64.93977664365755
27,0,2,69.8669421765375
28,0,2,76.29270181372557
29,0,3,82.90778873738392
30,0,3,86.27564965953056
31,0,3,88.47528684773921
32,0,3,90.6068061221156
33,0,3,92.78168140556231
34,0,3,95.3063979588503
35,0,3,97.57569501100447
36,0,3,99.80009410397498
37,0,3,102.6034501130453
38,0,3,104.52598979558499
39,0,3,107.00118253934907
40,0,3,109.34630725590243
41,0,3,111.70848412665065
42,0,3,114.2796405892357
43,0,3,116.45759977290919
44,0,3,119.23465192710422
45,0,3,121.54730498832872
46,0,3,123.92961791349877
47,0,3,126.40789455748973
48,0,3,128.63075170034685
49,0,3,130.90159070261439
50,0,3,133.03310997699086
51,0,3,135.4927925166733
52,0,3,137.7376157793118
53,0,3,140.17070634887293
54,0,3,142.56227097472322
55,0,3,145.01732766406565
56,0,3,147.42594444411102
57,0,3,149.51102380919042
58,0,4,153.4939716549954
59,0,4,153.93823469354413
60,0,4,155.17814399059628
61,0,4,156.50476530578905
62,0,4,157.72453854841942
63,0,4,159.24308730125387
64,0,4,160.61533219921304
65,0,4,161.9055816323196
66,0,4,163.07891496565296
67,0,4,164.38848412665072
68,0,4,165.58195351440582
69,0,4,166.86830272075497
70,0,4,168.1345158726824
58,1,4,169.69333673436043
59,1,4,169.8589603171269
60,1,4,171.12208956882753
61,1,4,172.47193083866884
62,1,4,173.73814399059626
63,1,4,175.21025283413363
64,1,4,176.54149999966657
65,1,4,177.8727471651994
66,1,4,179.1157403624783
67,1,4,180.4253095234761
68,1,4,181.7116587298253
69,1,4,182.9980079361745
70,1,4,184.31066099739903
71,0,4,184.98922437974122
72,0,4,186.03510544184343
73,0,4,187.27501473889555
74,0,4,188.67129591803385
75,0,4,189.91428911531276
76,0,4,191.54585374116317
77,0,4,192.76562698379357
78,0,4,194.30431179104983
79,0,4,195.6138809520475
80,0,4,196.99310997699078
81,0,4,198.2794591833401
82,0,4,199.70512811758036
83,0,4,200.96825736928102
84,0,4,202.27628458016542
85,0,4,203.5889376413899
71,1,4,205.14775850306793
72,1,4,205.4759217683741
73,1,4,206.7622709747233
74,1,4,208.20499206315864
75,1,4,209.44798526043758
76,1,4,211.10276984093636
77,1,4,212.3689829928638
78,1,4,214.0237675733627
79,1,4,215.33333673436036
80,1,4,216.7125657593038
81,1,4,218.0685748295985
82,1,4,219.49424376383885
83,1,4,220.78059297018814
84,1,4,222.15828004501802
85,1,4,226.95392630352163
