bar,repeat,movement,onset
1,0,1,2.2080439575558812
2,0,1,4.76369021605928
3,0,1,6.924597245537742
4,0,1,8.899744637827986
5,0,1,12.215481599279235
6,0,1,14.771127857782645
7,0,1,16.885594977964054
8,0,1,18.907182279551357
9,0,1,21.786365953020752
10,0,1,24.225912438281497
11,0,1,26.57257910494816
12,0,1,28.89602581696631
13,0,1,31.866547358916428
14,0,1,34.39897366277129
15,0,1,36.97783987592323
16,0,1,39.23162672399579
17,0,1,41.99316867410916
18,0,1,44.57203488726112
19,0,1,46.941921508576286
20,0,1,49.49756776707972
21,0,1,52.64399322370923
22,0,1,54.724960057329156
23,0,1,57.74192150857632
24,0,1,60.13502808454001
25,0,1,62.597794524449334
26,0,1,64.89802128181893
27,0,2,69.62709157660352
28,0,2,73.44133193941529
29,0,3,75.74585491933898
30,0,3,84.81747706413186
31,0,3,88.47997139519767
32,0,3,90.61149066957405
33,0,3,92.80958590766927
34,0,3,95.45040223419991
35,0,3,97.58037955846291
36,0,3,99.78155869678491
37,0,3,102.37593511401847
38,0,3,104.53067434304343
39,0,3,106.95942717751048
40,0,3,109.35099180336087
41,0,3,111.7131686741091
42,0,3,114.26110518204563
43,0,3,116.4390643657191
44,0,3,119.19289656526561
45,0,3,121.52876958113863
46,0,3,123.93430246095721
47,0,3,126.41257910494815
48,0,3,128.6354362478053
49,0,3,130.88305529542433
50,0,3,133.03779452444928
51,0,3,135.49747706413177
52,0,3,137.74230032677022
53,0,3,140.1289509870343
54,0,3,142.56695552218164
55,0,3,145.23099180336084
56,0,3,147.38418908227237
57,0,3,149.49248840200033
58,0,4,153.7308557489391
59,0,4,153.96613919565107
60,0,4,155.1596085834062
61,0,4,156.48622989859894
62,0,4,157.70600314122933
63,0,4,159.2477718487123
64,0,4,160.6022389688937
65,0,4,161.93348613442657
66,0,4,163.08359951311138
67,0,4,164.39316867410912
68,0,4,165.58663806186425
69,0,4,166.84976731356485
70,0,4,168.09276051084376
58,1,4,169.69802128181885
59,1,4,169.8557515987519
60,1,4,171.126774116286
61,1,4,172.47661538612726
62,1,4,173.71960858340617
63,1,4,175.21493738159208
64,1,4,176.54618454712502
65,1,4,177.9238716219549
66,1,4,179.12042490993673
67,1,4,180.4299940709345
68,1,4,181.7163432772837
69,1,4,183.0026924836329
70,1,4,184.2921255902089
71,0,4,185.64196686005013
72,0,4,186.01718946941918
73,0,4,187.25647933170546
74,0,4,188.65276051084373
75,0,4,189.89575370812264
76,0,4,191.52731833397308
77,0,4,192.770311531252
78,0,4,194.30899633850828
79,0,4,195.59534554485742
80,0,4,196.9977945244492
81,0,4,198.2841437307985
82,0,4,199.68659271039024
83,0,4,200.94972196209093
84,0,4,202.28096912762388
85,0,4,203.5704022341998
71,1,4,204.9899033679867
72,1,4,205.43416640653547
73,1,4,206.7437355675332
74,1,4,208.20967661061707
75,1,4,209.42944985324746
76,1,4,211.1074543883948
77,1,4,212.37366754032223
78,1,4,214.02845212082113
79,1,4,215.31480132717024
80,1,4,216.71725030676217
81,1,4,218.0732593770569
82,1,4,219.47570835664877
83,1,4,220.7852775176466
84,1,4,222.18618454712498
85,1,4,226.9353908963315
