bar,repeat,movement,onset
1,0,1,1.6925204078298677
2,0,1,4.24816666633327
3,0,1,6.083994330732357
4,0,1,7.780502267240294
5,0,1,10.956919500800389
6,0,1,13.350026076764117
7,0,1,15.023314058623528
8,0,1,16.534062357943252
9,0,1,19.738325396492005
10,0,1,22.108212017807197
11,0,1,24.315558956582702
12,0,1,26.221046484927378
13,0,1,28.886397958850278
14,0,1,31.073835600573638
15,0,1,33.18830272075503
16,0,1,35.0937902490997
17,0,1,37.948212017807194
18,0,1,40.550298185607616
19,0,1,43.05950453481397
20,0,1,45.38295124683211
21,0,1,48.48330519684126
22,0,1,50.517463718487434
23,0,1,53.441545351140505
24,0,1,55.97397165499539
25,0,1,58.29741836701352
26,0,1,60.411885487194944
27,0,2,64.17224829898629
28,0,2,70.60381292483662
29,0,3,75.27038888855513
30,0,3,78.40408503368016
31,0,3,80.65016213118587
32,0,3,82.92100113345343
33,0,3,85.23519614479129
34,0,3,87.99211224456454
35,0,3,90.28462925136725
36,0,3,92.53224829898633
37,0,3,95.14984467086838
38,0,3,97.49034353708156
39,0,3,99.84943650760316
40,0,3,102.0088015869682
41,0,3,104.64961791349883
42,0,3,107.14272448946257
43,0,3,109.49161337835143
44,0,3,111.99002607676411
45,0,3,114.62775850306802
46,0,3,117.26549092937191
47,0,3,119.72054761871422
48,0,3,122.05950453481401
49,0,3,124.35356349173014
50,0,3,126.69406235794327
51,0,3,129.06086507903171
52,0,3,131.47102380919048
53,0,3,133.8548786844739
54,0,3,136.3161031742698
55,0,3,138.88725963685488
56,0,3,141.77805102007477
57,0,3,144.00789455748975
58,0,4,148.01406235794323
59,0,4,148.4351054418435
60,0,4,149.6750147388956
61,0,4,150.95519614479133
62,0,4,152.2678492060158
63,0,4,153.60063832166213
64,0,4,154.90866553254645
65,0,4,156.30957256202495
66,0,4,157.55256575930386
67,0,4,158.93179478424713
68,0,4,160.24136394524484
69,0,4,161.66703287948525
70,0,4,162.9332460314127
58,1,4,164.4920668930907
59,1,4,164.6809104305056
60,1,4,166.06013945544896
61,1,4,167.4564206345873
62,1,4,168.81551360510886
63,1,4,170.21796258470064
64,1,4,171.572429704882
65,1,4,173.01977664365756
66,1,4,174.40208956882762
67,1,4,175.80453854841946
68,1,4,177.23020748265986
69,1,4,178.86485600873692
70,1,4,180.20072902460993
71,0,4,180.85506980854254
72,0,4,181.9025721550245
73,0,4,183.16508276610654
74,0,4,184.4917040812993
75,0,4,185.85079705182082
76,0,4,187.43592176837416
77,0,4,188.7253548749501
78,0,4,190.3104795915033
79,0,4,191.59682879785262
80,0,4,192.92961791349884
81,0,4,194.5874863942244
82,0,4,196.10603514705895
83,0,4,197.5317040812993
84,0,4,199.07193083866892
85,0,4,200.47746371848757
71,1,4,201.95936848039213
72,1,4,202.41088775476862
73,1,4,203.79011677971195
74,1,4,205.27927777744438
75,1,4,206.59193083866887
76,1,4,208.13061564592516
77,1,4,209.39682879785258
78,1,4,210.95873355975738
79,1,4,212.2915226754036
80,1,4,213.62431179104982
81,1,4,215.1893004531814
82,1,4,216.73106916066436
83,1,4,218.2031780042017
84,1,4,222.2120442173537
85,1,4,228.53288321962123
