bar,repeat,movement,onset
1,0,1,1.758489087301694
2,0,1,4.290915391156571
3,0,1,6.149963010204183
4,0,1,7.823250992063595
5,0,1,10.976448270975165
6,0,1,13.369554846938888
7,0,1,15.042842828798301
8,0,1,16.576811082766554
9,0,1,19.75785416666678
10,0,1,22.127740787981963
11,0,1,24.358307681406004
12,0,1,26.217355300453626
13,0,1,28.886017431972903
14,0,1,31.11658432539694
15,0,1,33.20783149092981
16,0,1,35.113319019274485
17,0,1,37.99096074263049
18,0,1,40.56982695578241
19,0,1,43.079033304988734
20,0,1,45.51857979024951
21,0,1,48.64055231872454
22,0,1,50.536992488662214
23,0,1,53.530733985260866
24,0,1,55.985291808390116
25,0,1,58.31694713718829
26,0,1,60.43141425736972
27,0,2,64.15186777210889
28,0,2,70.62334169501139
29,0,3,75.34213232237347
30,0,3,78.42361380385493
31,0,3,80.66969090136064
32,0,3,82.9405299036282
33,0,3,85.23150496031754
34,0,3,88.01164101473934
35,0,3,90.30415802154202
36,0,3,92.52855711451258
37,0,3,95.37835303287989
38,0,3,97.55631221655338
39,0,3,99.8457453231294
40,0,3,102.00511040249445
41,0,3,104.66932355442187
42,0,3,107.1706432823131
43,0,3,109.51114214852622
44,0,3,112.05599475623593
45,0,3,114.64728727324281
46,0,3,117.42433942743786
47,0,3,119.76329634353753
48,0,3,122.10225325963731
49,0,3,124.34987230725639
50,0,3,126.69037117346953
51,0,3,129.103613803855
52,0,3,131.44411267006822
53,0,3,133.85118750000015
54,0,3,136.3588518990931
55,0,3,138.90678840702967
56,0,3,141.803024234694
57,0,3,144.02742332766454
58,0,4,148.2890106292518
59,0,4,148.43141425736974
60,0,4,149.67132355442186
61,0,4,150.9747249149661
62,0,4,152.26415802154204
63,0,4,153.62016709183692
64,0,4,154.945972080499
65,0,4,156.3058813775512
66,0,4,157.57209452947865
67,0,4,158.92810359977338
68,0,4,160.2376727607711
69,0,4,161.68656164966004
70,0,4,162.975994756236
58,1,4,164.4419357993199
59,1,4,164.67721924603185
60,1,4,166.0564482709752
61,1,4,167.45272945011354
62,1,4,168.8118224206351
63,1,4,170.2374913548754
64,1,4,171.6151784297053
65,1,4,173.0160854591838
66,1,4,174.3751784297054
67,1,4,175.8008473639457
68,1,4,177.20329634353757
69,1,4,178.88438477891168
70,1,4,180.19703784013618
71,0,4,181.45399929138338
72,0,4,181.9214822845807
73,0,4,183.1846115362813
74,0,4,184.49885456682685
75,0,4,185.84710586734707
76,0,4,187.47867049319746
77,0,4,188.72166369047636
78,0,4,190.30678840702956
79,0,4,191.61635756802738
80,0,4,192.9491466836736
81,0,4,194.5837952097507
82,0,4,196.1023439625852
83,0,4,197.504792942177
84,0,4,199.09145960884368
85,0,4,200.47377253401382
71,1,4,202.0325933956917
72,1,4,202.4304165249434
73,1,4,203.7864255952382
74,1,4,205.2523666383221
75,1,4,206.61145960884363
76,1,4,208.1269244614514
77,1,4,209.41635756802734
78,1,4,210.97826232993216
79,1,4,212.28783149092985
80,1,4,213.6438405612246
81,1,4,215.18560926870765
82,1,4,216.75059793083918
83,1,4,218.2227067743765
84,1,4,222.22424872448997
85,1,4,229.09109679705222
