bar,repeat,movement,onset
1,0,1,0.36898299286388125
2,0,1,5.833382085834403
3,0,1,11.36871088402034
4,0,1,16.016057822795858
5,0,2,16.833529087163672
6,0,2,22.811704081299254
7,0,2,24.426216552954582
8,0,2,25.7373276640657
9,0,2,27.093336734360484
10,0,2,28.358007936174538
11,0,2,29.714017006469327
12,0,2,31.02358616746706
13,0,2,32.33469727857817
14,0,2,33.66748639422442
15,0,2,34.97705555522215
16,0,2,36.4042664395759
17,0,2,37.69524149626524
18,0,2,39.03265646225164
19,0,2,40.31746371848745
20,0,2,41.65333673436048
21,0,2,42.96598979558499
22,0,2,44.142044217353686
23,0,2,45.27855215386164
24,0,2,46.611341269507875
25,0,3,49.75220294751244
26,0,3,54.54322335567568
27,0,3,59.14902834433786
28,0,3,63.883631518941094
29,0,4,67.74757709717228
30,0,4,69.54784920601581
31,0,4,70.98076357811387
32,0,4,72.0555136051088
33,0,4,73.43474263005209
34,0,4,74.79537755068702
35,0,4,76.19782653027886
36,0,4,77.53524149626526
37,0,4,78.9609104305056
38,0,4,80.36335941009744
39,0,4,81.71936848039225
40,0,4,83.12181745998406
41,0,4,84.50258843504076
42,0,4,85.8369195008004
43,0,4,87.19447052120856
44,0,4,88.7579172332267
45,0,4,90.02104648492741
46,0,4,91.3073956912766
47,0,4,92.64018480692283
48,0,4,94.01941383186617
49,0,4,95.32898299286389
50,0,4,96.68534479684472
51,0,4,98.08898299286388
52,0,4,99.74530952347611
53,0,4,101.12453854841944
54,0,4,102.53161337835141
55,0,4,103.89224829898633
56,0,5,107.10431179104984
57,0,5,113.53306462551691
58,0,5,118.63673809490473
59,0,5,123.71873355975731
60,0,5,128.85179478424706
61,0,5,134.1473956912766
62,0,6,140.08852947812466
63,0,6,141.40118253934915
64,0,6,142.71383560057365
65,0,6,143.87011677971196
66,0,6,145.0496179134988
67,0,6,146.45206689309066
68,0,6,147.8560578227958
69,0,6,149.28172675703624
70,0,7,153.1656269837936
71,0,7,153.77088775476867
72,0,7,154.63773582733103
73,0,7,155.5262619044284
74,0,7,156.41478798152596
75,0,7,157.2367380949046
76,0,7,158.10358616746703
77,0,7,158.96889228991594
78,0,7,159.83419841236497
70,1,7,160.55864285680946
71,1,7,160.83882426270515
72,1,7,161.728892289916
73,1,7,162.57097845771642
74,1,7,163.50594444411098
75,1,7,164.37433446678668
76,1,7,165.2179625847006
77,1,7,166.106488661798
78,1,7,167.01823469354412
79,0,7,167.9284387751768
80,0,7,168.1869421765373
81,0,7,169.10177210851012
82,0,7,170.01660204048287
83,0,7,170.92989002234233
84,0,7,171.9112959180339
85,0,7,172.89578571395234
86,0,7,173.8338356005736
87,0,7,174.63102380919034
79,1,7,175.65732766406566
80,1,7,175.8926111107777
81,1,7,176.80744104275044
82,1,7,177.7461979472217
83,1,7,178.61233900193412
84,1,7,179.6169648522742
85,1,7,180.55580900254702
86,1,7,181.56272448946248
87,1,7,182.26703287948519
88,0,7,183.52553628084567
89,0,7,183.7840396822062
90,0,7,184.90476530578906
91,0,7,185.7205476187141
92,0,7,186.66265538245463
93,0,7,187.80716893390692
94,0,7,189.1136541946779
95,0,7,189.83655668900892
96,0,7,190.78576431572165
97,0,7,192.27147732392956
98,0,7,192.87290146299037
99,0,7,192.88423290774958
100,0,7,192.90638373619868
101,0,7,195.6629512468321
102,0,7,196.77511339959784
103,0,7,196.9207006799387
104,0,7,198.4631326527278
105,0,7,199.40272448946249
106,0,7,200.34385827631053
107,0,7,201.51092486052008
108,0,7,202.33605782279582
88,1,7,203.26639795885023
89,1,7,203.54812131485932
90,1,7,204.8436191503572
91,1,7,205.55428911531283
92,1,7,206.54186281145792
93,1,7,207.6641303851541
94,1,7,208.83129591803385
95,1,7,209.69351814025615
96,1,7,210.6346519271042
97,1,7,211.7104795915032
98,1,7,213.65362787962516
99,1,7,213.66597355863752
100,1,7,214.5423524598919
101,1,7,215.51991269807928
102,1,7,217.04414718705561
103,1,7,217.0561953798267
104,1,7,217.8123560087369
105,1,7,219.32934580465528
106,1,7,220.29369954615183
107,1,7,221.43399815910357
108,1,7,222.33233900193412
109,0,7,223.30911904728555
110,0,7,223.54440249399758
111,0,7,224.66512811758042
112,0,7,225.62177210851007
113,0,7,226.6093458046552
114,0,7,227.52417573662802
115,0,7,228.5984614509137
116,0,7,229.53188548719493
117,0,7,230.47301927404294
118,0,7,231.45750906996142
119,0,7,232.531794784247
120,0,7,233.54258843504067
121,0,7,234.5007743760838
122,0,7,235.53302611094864
123,0,7,236.4929739225691
124,0,7,237.47900566860082
125,0,7,238.42013945544892
126,0,7,239.33342743730825
127,0,7,240.32100113345336
128,0,7,241.49665324375997
129,0,7,242.3903726085392
70,2,7,242.4019759295021
71,2,7,242.41347018237573
72,2,7,244.7156496595306
73,2,7,245.62739569127652
74,2,7,246.56236167767102
75,2,7,247.33645438452132
76,2,7,248.41369954615178
77,2,7,249.25578571395226
78,2,7,250.16753174569837
70,3,7,251.03129591803386
71,3,7,251.33469727857806
72,3,7,252.2944251697346
73,3,7,253.15973129218364
74,3,7,254.048257369281
75,3,7,254.96308730125384
76,3,7,255.89959523776176
77,3,7,256.7649013602108
78,3,7,257.6534274373084
79,2,7,258.5171916096438
80,2,7,258.84535487495003
81,2,7,259.80662471621986
82,2,7,260.6982346935441
83,2,7,261.58830272075505
84,2,7,262.5697086164465
85,2,7,263.4613185937709
86,2,7,264.4225884350408
87,2,7,265.49841609943985
