bar,repeat,movement,onset
1,0,1,0.5022325683605805
2,0,1,6.547130527544254
3,0,1,11.962005810990965
4,0,1,17.379964994664434
5,0,2,22.14313959783904
6,0,2,23.47901261371206
7,0,2,24.791665674936546
8,0,2,26.337890820642208
9,0,2,27.458785856342434
10,0,2,28.67701714885944
11,0,2,30.311665674936545
12,0,2,31.644454790582806
13,0,2,32.90912599239685
14,0,2,34.474114654528385
15,0,2,35.83012372482316
16,0,2,37.2573346091769
17,0,2,38.89660898559414
18,0,2,40.30368381552611
19,0,2,41.936790391489836
20,0,2,43.411983135254
21,0,2,44.77107610577553
22,0,2,46.11311692210206
23,0,2,47.40871782913153
24,0,2,48.71828699012928
25,0,3,53.113026219154214
26,0,3,59.449080640922766
27,0,3,63.67393324863265
28,0,3,70.22858177470975
29,0,4,73.94123483593425
30,0,4,75.3003278064558
31,0,4,76.58976091303175
32,0,4,77.85443211484582
33,0,4,79.30332100373472
34,0,4,80.71039583366668
35,0,4,82.13606476790706
36,0,4,83.68245932573019
37,0,4,85.27066794251022
38,0,4,86.71955683139912
39,0,4,88.0755659016939
40,0,4,89.5476747452313
41,0,4,91.20708517607034
42,0,4,92.47175637788436
43,0,4,93.75964753434698
44,0,4,95.26976091303176
45,0,4,96.65588336201132
46,0,4,97.91901261371206
47,0,4,99.18214186541273
48,0,4,100.49171102641044
49,0,4,101.84772009670523
50,0,4,103.18050921235152
51,0,4,104.53806023275966
52,0,4,106.17116680872337
53,0,4,107.94513506269163
54,0,4,109.65406930305446
55,0,4,111.13080399693203
56,0,5,117.1060420921701
57,0,5,123.20971556155786
58,0,5,128.89388789715875
59,0,5,134.32418268173925
60,0,5,139.59656363412023
61,0,5,144.86894458650116
62,0,6,152.87665433706803
63,0,6,154.35184708083224
64,0,6,155.7341600060023
65,0,6,157.12264073162586
66,0,6,158.39725437195384
67,0,6,159.68137089035605
68,0,6,160.87638222822451
69,0,6,162.06985161597964
70,0,7,166.8128901647325
71,0,7,167.13951147992518
72,0,7,168.09923937108164
73,0,7,169.0574253121248
74,0,7,170.06205116246494
75,0,7,171.06976091303184
76,0,7,171.98304889489128
77,0,7,172.91801488128579
78,0,7,173.98540717153523
70,1,7,174.73996499466443
71,1,7,175.0665863098572
72,1,7,175.95665433706816
73,1,7,176.91484027811117
74,1,7,177.84980626450576
75,1,7,178.81107610577558
76,1,7,179.677924178338
77,1,7,180.636110119381
78,1,7,181.6639559243697
79,0,7,182.50450014205677
80,0,7,182.8558833620114
81,0,7,183.70105343003868
82,0,7,184.61588336201143
83,0,7,185.50595138922225
84,0,7,186.60345705815655
85,0,7,187.54150694477778
86,0,7,188.3866770128051
87,0,7,189.3500283704421
79,1,7,190.1405092123516
80,1,7,190.39901261371216
81,1,7,191.33706250033345
82,1,7,192.22867247765768
83,1,7,193.16518041416566
84,1,7,194.23289016473248
85,1,7,195.1775160150727
86,1,7,196.0691259923969
87,1,7,197.14495365679596
88,0,7,198.26413733026533
89,0,7,198.63874050486857
90,0,7,200.43284481325855
91,0,7,201.0164275796985
92,0,7,202.09688109443766
93,0,7,203.38168835067358
94,0,7,205.15257270441498
95,0,7,205.782595380152
