bar,repeat,movement,onset
1,0,1,0.5315226754035638
2,0,1,6.545400226423972
3,0,1,11.712656462251635
4,0,1,17.362815192410366
5,0,2,19.131736331236272
6,0,2,23.46186281145799
7,0,2,24.797735827331003
8,0,2,26.132066893090638
9,0,2,27.44163605408837
10,0,2,28.70630725590243
11,0,2,30.317735827331003
12,0,2,31.650524942977263
13,0,2,32.91519614479131
14,0,2,34.48018480692284
15,0,2,35.8129739225691
16,0,2,37.28662471621989
17,0,2,38.879459183340074
18,0,2,40.28653401327204
19,0,2,42.0357403624784
20,0,2,43.44127324229699
21,0,2,44.77714625816999
22,0,2,46.14240702914505
23,0,2,47.39156802687747
24,0,2,48.770797051820786
25,0,3,53.102225623249325
26,0,3,59.423586167466986
27,0,3,63.78068367313569
28,0,3,70.20263378651462
29,0,4,73.94730498832871
30,0,4,75.28317800420173
31,0,4,76.59583106542621
32,0,4,78.02304194977997
33,0,4,79.26295124683213
34,0,4,80.71646598606114
35,0,4,82.14213492030152
36,0,4,83.66530952347613
37,0,4,85.27673809490467
38,0,4,86.72562698379359
39,0,4,88.08163605408836
40,0,4,89.55374489762576
41,0,4,91.00417573662806
42,0,4,92.36172675703621
43,0,4,93.67283786814735
44,0,4,95.28272448946252
45,0,4,96.6619535144058
46,0,4,97.92508276610651
47,0,4,99.16499206315866
48,0,4,100.45134126950784
49,0,4,101.85379024909969
50,0,4,103.16335941009743
51,0,4,104.5209104305056
52,0,4,106.20045691576635
53,0,4,107.9512052150861
54,0,4,109.63691950080039
55,0,4,111.11365419467796
56,0,5,116.57805328764844
57,0,5,123.19256575930378
58,0,5,128.4355589565827
59,0,5,134.35347278878223
60,0,5,139.60263378651467
61,0,5,144.89823469354414
62,0,6,152.51120521508605
63,0,6,154.3579172332267
64,0,6,155.76345011304528
65,0,6,157.1054909293718
66,0,6,158.37787188175278
67,0,6,159.6874410427505
68,0,6,160.9056723352675
69,0,6,162.09914172302263
70,0,7,166.30812131485936
71,0,7,167.16880158696816
72,0,7,168.1285294781246
73,0,7,169.08671541916775
74,0,7,170.06812131485938
75,0,7,171.09905102007477
76,0,7,172.01233900193427
77,0,7,172.94730498832877
78,0,7,173.95193083866894
70,1,7,174.69959523776183
71,1,7,175.07265646225164
72,1,7,175.9627244894626
73,1,7,176.89769047585708
74,1,7,177.8558764169002
75,1,7,178.84036621281854
76,1,7,179.68399433073245
77,1,7,180.64218027177543
78,1,7,181.64680612211563
79,0,7,182.5105702944512
80,0,7,182.79229365046024
81,0,7,183.70712358243313
82,0,7,184.59873355975736
83,0,7,185.5352414962653
84,0,7,186.5863072559025
85,0,7,187.54757709717225
86,0,7,188.369527210551
87,0,7,189.35247505635598
79,1,7,190.14657936474603
80,1,7,190.38186281145812
81,1,7,191.31991269807932
82,1,7,192.23474263005212
83,1,7,193.19447052120861
84,1,7,194.22231632619722
85,1,7,195.1611436666572
86,1,7,196.05197619014288
87,1,7,197.1510238091904
88,0,7,198.29342743730837
89,0,7,198.66803061191155
90,0,7,200.32281519241033
91,0,7,201.04571768674143
92,0,7,202.1039246443212
93,0,7,203.38775850306803
94,0,7,205.11220294751237
95,0,7,205.81188548719498
96,0,7,206.84589909263715
97,0,7,208.24680612211566
98,0,7,208.60744104275054
99,0,7,210.64031195301936
100,0,7,211.60426643957595
101,0,7,212.91537755068703
102,0,7,214.26825089049913
103,0,7,215.30745779419584
104,0,7,216.31927777744448
105,0,7,217.5375090699614
106,0,7,218.68303218177022
107,0,7,219.11049275806027
108,0,7,221.12100113345352
88,1,7,222.12100113345357
89,1,7,222.49560430805664
90,1,7,224.0575090699614
91,1,7,224.9429512468322
92,1,7,225.86086507903175
93,1,7,227.51719160964393
94,1,7,229.10231632619727
95,1,7,229.5558558505341
96,1,7,230.97533219921317
97,1,7,232.44589909263715
98,1,7,232.9627937535318
99,1,7,234.8356340210913
100,1,7,235.7569195008005
101,1,7,237.13769047585714
102,1,7,238.46352606642563
103,1,7,239.54899514058016
104,1,7,240.51837074796597
105,1,7,241.71338208583435
106,1,7,242.8634954645193
